orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Btheta	Sodium pyruvate	cpd00020	0.902233	optimal	True	False	False
Btheta	Sodium D,L-Lactate	cpd00159	0.421604	optimal	True	False	False
Btheta	L-Glutamine	cpd00053	0.539514	optimal	True	False	False
Btheta	L-Malic acid disodium salt monohydrate	cpd00130	0.98564	optimal	True	False	False
Btheta	Sodium succinate dibasic hexahydrate	cpd00036	1.006607	optimal	True	False	False
Btheta	Sodium L-Lactate	cpd00159	0.421604	optimal	True	False	False
Btheta	D-Fructose	cpd00082	1.602096	optimal	True	True	True
Btheta	D-Glucose	cpd00027	1.602096	optimal	True	True	True
Btheta	Sodium D-Lactate	cpd00221	0.96969	optimal	True	False	False
Btheta	N-Acetyl-D-Glucosamine	cpd00122	0.421604	optimal	True	True	True
Btheta	D-Maltose monohydrate	cpd00179	2.797431	optimal	True	True	True
Btheta	Glycerol	cpd00100	1.054123	optimal	True	False	False
Btheta	a-Ketoglutaric acid disodium salt hydrate	cpd00024	0.475247	optimal	True	False	False
Btheta	D-Xylose	cpd00154	1.391294	optimal	True	True	True
Btheta	L-Proline	cpd00129	0.635856	optimal	True	False	False
Btheta	D-Trehalose dihydrate	cpd00794	0.421604	optimal	True	True	True
Btheta	L-Fucose	cpd00751	0.421604	optimal	True	True	True
Btheta	Trisodium citrate dihydrate	cpd00137	0.549148	optimal	True	False	False
Btheta	Potassium acetate	cpd00029	0.801048	optimal	True	False	False
Btheta	L-Rhamnose monohydrate	cpd00396	0.421604	optimal	True	True	True
Btheta	D-Sorbitol	cpd00588	0.421604	optimal	True	False	False
Btheta	D-Galactose	cpd00108	0.421604	optimal	True	True	True
Btheta	D-Cellobiose	cpd00158	2.755365	optimal	True	False	False
Btheta	D-Mannose	cpd00138	1.602096	optimal	True	True	True
Btheta	D-Gluconic Acid sodium salt	cpd00222	0.421604	optimal	True	False	False
Btheta	D-Ribose	cpd00105	1.433455	optimal	True	True	True
Btheta	D-Raffinose pentahydrate	cpd30716	0.421604	optimal	True	True	True
Btheta	m-Inositol	cpd00121	0.421604	optimal	True	False	False
Btheta	L-Glutamic acid monopotassium salt monohydrate	cpd00023	0.539514	optimal	True	False	False
Btheta	Sodium Fumarate dibasic	cpd00106	0.977143	optimal	True	False	False
Btheta	Sodium propionate	cpd00141	0.421604	optimal	True	False	False
Btheta	D-Glucosamine Hydrochloride	cpd00276	0.421604	optimal	True	True	True
Btheta	a-Cyclodextrin	cpd24451	0.421604	optimal	True	True	True
Btheta	Ethanol	cpd00363	0.421604	optimal	True	False	False
