carbon_source	cpd_id
D-Fructose	cpd00082
a-Ketoglutaric acid disodium salt hydrate	cpd00024
D-Gluconic Acid sodium salt	cpd00222
Sodium D-Lactate	cpd00221
Sodium L-Lactate	cpd00159
Sodium D,L-Lactate	cpd00159
Sodium pyruvate	cpd00020
Sodium succinate dibasic hexahydrate	cpd00036
Ethanol	cpd00363
Glycerol	cpd00100
L-Malic acid disodium salt monohydrate	cpd00130
L-Glutamine	cpd00053
L-Proline	cpd00129
Sodium butyrate	cpd00211
L-Leucine	cpd00107
D-Glucose	cpd00027
D-Arabinose	cpd26807
D-Raffinose pentahydrate	cpd30716
L-Fucose	cpd00751
D-Trehalose dihydrate	cpd00794
Beta-Lactose	cpd00208
D-Maltose monohydrate	cpd00179
L-Rhamnose monohydrate	cpd00396
D-Mannose	cpd00138
D-Xylose	cpd00154
a-Cyclodextrin	cpd24451
D-Galacturonic Acid monohydrate	cpd00280
N-Acetyl-D-Glucosamine	cpd00122
L-Arabinose	cpd00224
D-Galactose	cpd00108
D-Glucosamine Hydrochloride	cpd00276
D-Ribose	cpd00105
(+)-Arabinogalactan	
Chondroitin sulfate A sodium salt from bovine trachea	
dextran, Mw ~200,000	
Mannan from Saccharomyces cerevisiae	
Hyaluronic acid sodium salt from Streptococcus equi	
Levan - from Erwinia herbicola	
polygalacturonic acid	
Pectin	cpd27835
Red Arabinan from sugar-beet	
amylopectin from maize	
Amylose from potato	
Starch	cpd28193
Heparin sodium salt from porcine intestinal mucosa	
Isomaltose	
6-O-Acetyl-D-glucose	
Maltotetraose	cpd01399
Maltohexaose	cpd01329
Laminaribiose	
1,4-B-D-Galactobiose	
Rhamnogalacturonan - from potato	
D-Leucrose	
Stachyose - 70%	
Fructooligosaccharides (FOS)	
palatinose hydrate	cpd01200
Melibiose	cpd29840
Lactulose	cpd04349
Maltitol	
Agro_defined_trehalose	
Supernatant; Agrobacterium rhizogenes K599 grown in Agro_defined_trehalose (~7.5 mM 3-keto-trehalose)	
Trisodium citrate dihydrate	cpd00137
Sodium propionate	cpd00141
4-Hydroxybenzoic Acid	
L-Histidine	cpd00119
L-Threonine	cpd00161
L-Asparagine	cpd00132
L-Alanine	cpd00035
L-Phenylalanine	cpd00066
L-Tryptophan	cpd00065
Phenylacetic acid	cpd19069
Sodium Fumarate dibasic	cpd00106
Xylitol	cpd00306
L-Glutamic acid monopotassium salt monohydrate	cpd00023
casamino acids	
Sucrose	cpd00076
D-Cellobiose	cpd00158
D-Glucose-6-Phosphate sodium salt	cpd00079
m-Inositol	cpd00121
D-Sorbitol	cpd00588
D-Glucuronic Acid	cpd00164
Potassium acetate	cpd00029
Glycolic Acid	
D-Serine	cpd00550
D-Mannitol	cpd00314
L-Sorbose	cpd36480
D,L-Malic Acid	cpd30634
D-Alanine	cpd00117
Adenosine	cpd00182
Inosine	cpd00246
Cytidine	cpd00367
D-Salicin	
Gly-Glu	cpd24418
2-Deoxyadenosine 5-monophosphate	
2'-Deoxycytidine	cpd00654
2-Deoxyadenosine monohydrate	
2'-Deoxyinosine	cpd03279
2-Deoxy-D-ribonic acid lithium salt	
Tween 20	
L-Isoleucine	cpd00322
Gly-DL-Asp	
Gelatin	
Uridine	cpd00249
Glycine	cpd00033
L-Citrulline	
L-Serine	cpd00054
L-Ornithine	
L-Lysine	cpd00039
D-Tagatose	cpd00589
