orgId	expName	expGroup	condition_1	concentration_1	units_1	condition_2	media
azobra	set1IT067	carbon source	D-Fructose	20	mM		RCH2_defined_noCarbon
azobra	set1IT069	carbon source	a-Ketoglutaric acid disodium salt hydrate	20	mM		RCH2_defined_noCarbon
azobra	set1IT070	carbon source	D-Fructose	20	mM		RCH2_defined_noCarbon
azobra	set1IT072	carbon source	a-Ketoglutaric acid disodium salt hydrate	20	mM		RCH2_defined_noCarbon
azobra	set2IT001	carbon source	D-Gluconic Acid sodium salt	20	mM		RCH2_defined_noCarbon
azobra	set2IT002	carbon source	Sodium D-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set2IT003	carbon source	Sodium L-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set2IT004	carbon source	Sodium D,L-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set2IT005	carbon source	Sodium pyruvate	20	mM		RCH2_defined_noCarbon
azobra	set2IT006	carbon source	Sodium succinate dibasic hexahydrate	20	mM		RCH2_defined_noCarbon
azobra	set2IT007	carbon source	Ethanol	20	mM		RCH2_defined_noCarbon
azobra	set2IT008	carbon source	Glycerol	20	mM		RCH2_defined_noCarbon
azobra	set2IT009	carbon source	L-Malic acid disodium salt monohydrate	20	mM		RCH2_defined_noCarbon
azobra	set2IT010	carbon source	L-Glutamine	20	mM		RCH2_defined_noCarbon
azobra	set2IT011	carbon source	L-Proline	20	mM		RCH2_defined_noCarbon
azobra	set2IT014	carbon source	Sodium butyrate	4	mM		RCH2_defined_noCarbon
azobra	set3IT049	carbon source	D-Gluconic Acid sodium salt	20	mM		RCH2_defined_noCarbon
azobra	set3IT050	carbon source	Sodium D-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set3IT051	carbon source	Sodium L-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set3IT052	carbon source	Sodium D,L-Lactate	20	mM		RCH2_defined_noCarbon
azobra	set3IT053	carbon source	Sodium pyruvate	20	mM		RCH2_defined_noCarbon
azobra	set3IT054	carbon source	Sodium succinate dibasic hexahydrate	20	mM		RCH2_defined_noCarbon
azobra	set3IT055	carbon source	Ethanol	20	mM		RCH2_defined_noCarbon
azobra	set3IT056	carbon source	Glycerol	20	mM		RCH2_defined_noCarbon
azobra	set3IT057	carbon source	L-Malic acid disodium salt monohydrate	20	mM		RCH2_defined_noCarbon
azobra	set3IT058	carbon source	L-Glutamine	20	mM		RCH2_defined_noCarbon
azobra	set3IT059	carbon source	L-Proline	20	mM		RCH2_defined_noCarbon
azobra	set3IT061	carbon source	L-Leucine	20	mM		RCH2_defined_noCarbon
azobra	set3IT062	carbon source	Sodium butyrate	4	mM		RCH2_defined_noCarbon
Btheta	set1IT071	carbon source	D-Glucose	20	mM		Varel_Bryant_medium
Btheta	set1IT072	carbon source	D-Glucose	20	mM		Varel_Bryant_medium
Btheta	set1IT073	carbon source	D-Glucose	20	mM		Varel_Bryant_medium
Btheta	set1IT074	carbon source	D-Arabinose	20	mM		Varel_Bryant_medium
Btheta	set1IT075	carbon source	D-Raffinose pentahydrate	20	mM		Varel_Bryant_medium
Btheta	set1IT076	carbon source	L-Fucose	20	mM		Varel_Bryant_medium
Btheta	set1IT077	carbon source	D-Trehalose dihydrate	20	mM		Varel_Bryant_medium
Btheta	set1IT078	carbon source	Beta-Lactose	20	mM		Varel_Bryant_medium
Btheta	set1IT079	carbon source	D-Fructose	20	mM		Varel_Bryant_medium
Btheta	set1IT080	carbon source	D-Maltose monohydrate	20	mM		Varel_Bryant_medium
Btheta	set1IT081	carbon source	L-Rhamnose monohydrate	20	mM		Varel_Bryant_medium
Btheta	set1IT083	carbon source	D-Glucose	20	mM		Varel_Bryant_medium
Btheta	set1IT084	carbon source	D-Mannose	20	mM		Varel_Bryant_medium
Btheta	set1IT086	carbon source	D-Xylose	20	mM		Varel_Bryant_medium
Btheta	set1IT087	carbon source	a-Cyclodextrin	20	mM		Varel_Bryant_medium
Btheta	set1IT088	carbon source	D-Galacturonic Acid monohydrate	20	mM		Varel_Bryant_medium
Btheta	set1IT089	carbon source	N-Acetyl-D-Glucosamine	20	mM		Varel_Bryant_medium
Btheta	set1IT091	carbon source	L-Arabinose	20	mM		Varel_Bryant_medium
Btheta	set1IT092	carbon source	D-Galactose	20	mM		Varel_Bryant_medium
Btheta	set1IT094	carbon source	L-Fucose	20	mM		Varel_Bryant_medium
Btheta	set1IT095	carbon source	D-Glucosamine Hydrochloride	20	mM		Varel_Bryant_medium
Btheta	set1IT096	carbon source	D-Galacturonic Acid monohydrate	20	mM		Varel_Bryant_medium
Btheta	set2IT004	carbon source	D-Arabinose	20	mM		Varel_Bryant_medium
Btheta	set2IT005	carbon source	D-Raffinose pentahydrate	20	mM		Varel_Bryant_medium
Btheta	set2IT006	carbon source	D-Trehalose dihydrate	20	mM		Varel_Bryant_medium
