orgId	n_reactions	n_metabolites	n_genes	n_with_gpr	n_exchanges	baseline_growth
Btheta	989	1010	769	903	62	0.0
Koxy	1789	1492	1637	1604	161	0.0
Smeli	1309	1243	1429	1216	72	0.0
Phaeo	1188	1172	1044	1105	61	0.0
Keio	1739	1451	1302	1545	170	0.0
HerbieS	1312	1264	1178	1195	93	0.0
Cup4G11	1424	1343	1562	1290	112	0.0
Dino	1216	1196	1017	1125	70	0.0
Marino	1211	1151	953	1104	83	0.0
MR1	1256	1140	894	1156	76	0.0
azobra	1224	1194	1143	1109	92	0.0
PV4	1274	1164	883	1172	77	0.0
Korea	976	980	781	906	48	0.0
Dyella79	1201	1159	829	1095	84	0.0
