fit_threshold	t_threshold	blast_min_id	blast_min_cov	resolved	pct_resolved	n_high	n_medium	n_low	n_unresolved
-1.0	3.0	25	50	96	47.76119402985075	47	24	25	105
-1.0	3.0	25	60	96	47.76119402985075	46	23	27	105
-1.0	3.0	25	70	96	47.76119402985075	44	23	29	105
-1.0	3.0	25	80	95	47.2636815920398	44	20	31	106
-1.0	3.0	30	50	96	47.76119402985075	46	20	30	105
-1.0	3.0	30	60	96	47.76119402985075	45	19	32	105
-1.0	3.0	30	70	96	47.76119402985075	44	19	33	105
-1.0	3.0	30	80	95	47.2636815920398	44	17	34	106
-1.0	3.0	35	50	92	45.77114427860697	42	16	34	109
-1.0	3.0	35	60	92	45.77114427860697	42	15	35	109
-1.0	3.0	35	70	92	45.77114427860697	41	14	37	109
-1.0	3.0	35	80	91	45.27363184079602	40	12	39	110
-1.0	3.0	40	50	87	43.28358208955224	37	11	39	114
-1.0	3.0	40	60	87	43.28358208955224	37	10	40	114
-1.0	3.0	40	70	87	43.28358208955224	36	9	42	114
-1.0	3.0	40	80	86	42.78606965174129	35	7	44	115
-1.0	4.0	25	50	96	47.76119402985075	47	24	25	105
-1.0	4.0	25	60	96	47.76119402985075	46	23	27	105
-1.0	4.0	25	70	96	47.76119402985075	44	23	29	105
-1.0	4.0	25	80	95	47.2636815920398	44	20	31	106
-1.0	4.0	30	50	96	47.76119402985075	46	20	30	105
-1.0	4.0	30	60	96	47.76119402985075	45	19	32	105
-1.0	4.0	30	70	96	47.76119402985075	44	19	33	105
-1.0	4.0	30	80	95	47.2636815920398	44	17	34	106
-1.0	4.0	35	50	92	45.77114427860697	42	16	34	109
-1.0	4.0	35	60	92	45.77114427860697	42	15	35	109
-1.0	4.0	35	70	92	45.77114427860697	41	14	37	109
-1.0	4.0	35	80	91	45.27363184079602	40	12	39	110
-1.0	4.0	40	50	87	43.28358208955224	37	11	39	114
-1.0	4.0	40	60	87	43.28358208955224	37	10	40	114
-1.0	4.0	40	70	87	43.28358208955224	36	9	42	114
-1.0	4.0	40	80	86	42.78606965174129	35	7	44	115
-1.0	5.0	25	50	96	47.76119402985075	47	24	25	105
-1.0	5.0	25	60	96	47.76119402985075	46	23	27	105
-1.0	5.0	25	70	96	47.76119402985075	44	23	29	105
-1.0	5.0	25	80	95	47.2636815920398	44	20	31	106
-1.0	5.0	30	50	96	47.76119402985075	46	20	30	105
-1.0	5.0	30	60	96	47.76119402985075	45	19	32	105
-1.0	5.0	30	70	96	47.76119402985075	44	19	33	105
-1.0	5.0	30	80	95	47.2636815920398	44	17	34	106
-1.0	5.0	35	50	92	45.77114427860697	42	16	34	109
-1.0	5.0	35	60	92	45.77114427860697	42	15	35	109
-1.0	5.0	35	70	92	45.77114427860697	41	14	37	109
-1.0	5.0	35	80	91	45.27363184079602	40	12	39	110
-1.0	5.0	40	50	87	43.28358208955224	37	11	39	114
-1.0	5.0	40	60	87	43.28358208955224	37	10	40	114
-1.0	5.0	40	70	87	43.28358208955224	36	9	42	114
-1.0	5.0	40	80	86	42.78606965174129	35	7	44	115
-1.5	3.0	25	50	96	47.76119402985075	47	24	25	105
-1.5	3.0	25	60	96	47.76119402985075	46	23	27	105
-1.5	3.0	25	70	96	47.76119402985075	44	23	29	105
-1.5	3.0	25	80	95	47.2636815920398	44	20	31	106
-1.5	3.0	30	50	96	47.76119402985075	46	20	30	105
-1.5	3.0	30	60	96	47.76119402985075	45	19	32	105
-1.5	3.0	30	70	96	47.76119402985075	44	19	33	105
-1.5	3.0	30	80	95	47.2636815920398	44	17	34	106
-1.5	3.0	35	50	92	45.77114427860697	42	16	34	109
-1.5	3.0	35	60	92	45.77114427860697	42	15	35	109
-1.5	3.0	35	70	92	45.77114427860697	41	14	37	109
-1.5	3.0	35	80	91	45.27363184079602	40	12	39	110
-1.5	3.0	40	50	87	43.28358208955224	37	11	39	114
-1.5	3.0	40	60	87	43.28358208955224	37	10	40	114
-1.5	3.0	40	70	87	43.28358208955224	36	9	42	114
-1.5	3.0	40	80	86	42.78606965174129	35	7	44	115
-1.5	4.0	25	50	96	47.76119402985075	47	24	25	105
-1.5	4.0	25	60	96	47.76119402985075	46	23	27	105
-1.5	4.0	25	70	96	47.76119402985075	44	23	29	105
-1.5	4.0	25	80	95	47.2636815920398	44	20	31	106
-1.5	4.0	30	50	96	47.76119402985075	46	20	30	105
-1.5	4.0	30	60	96	47.76119402985075	45	19	32	105
-1.5	4.0	30	70	96	47.76119402985075	44	19	33	105
-1.5	4.0	30	80	95	47.2636815920398	44	17	34	106
-1.5	4.0	35	50	92	45.77114427860697	42	16	34	109
-1.5	4.0	35	60	92	45.77114427860697	42	15	35	109
-1.5	4.0	35	70	92	45.77114427860697	41	14	37	109
-1.5	4.0	35	80	91	45.27363184079602	40	12	39	110
-1.5	4.0	40	50	87	43.28358208955224	37	11	39	114
-1.5	4.0	40	60	87	43.28358208955224	37	10	40	114
-1.5	4.0	40	70	87	43.28358208955224	36	9	42	114
-1.5	4.0	40	80	86	42.78606965174129	35	7	44	115
-1.5	5.0	25	50	96	47.76119402985075	47	24	25	105
-1.5	5.0	25	60	96	47.76119402985075	46	23	27	105
-1.5	5.0	25	70	96	47.76119402985075	44	23	29	105
-1.5	5.0	25	80	95	47.2636815920398	44	20	31	106
-1.5	5.0	30	50	96	47.76119402985075	46	20	30	105
-1.5	5.0	30	60	96	47.76119402985075	45	19	32	105
-1.5	5.0	30	70	96	47.76119402985075	44	19	33	105
-1.5	5.0	30	80	95	47.2636815920398	44	17	34	106
-1.5	5.0	35	50	92	45.77114427860697	42	16	34	109
-1.5	5.0	35	60	92	45.77114427860697	42	15	35	109
-1.5	5.0	35	70	92	45.77114427860697	41	14	37	109
-1.5	5.0	35	80	91	45.27363184079602	40	12	39	110
-1.5	5.0	40	50	87	43.28358208955224	37	11	39	114
-1.5	5.0	40	60	87	43.28358208955224	37	10	40	114
-1.5	5.0	40	70	87	43.28358208955224	36	9	42	114
-1.5	5.0	40	80	86	42.78606965174129	35	7	44	115
-2.0	3.0	25	50	96	47.76119402985075	47	24	25	105
