tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
kbase,pathway,kescience,pathway,7,"cazy, cog, ec_number, eggnog, genome_id, kegg_ko, kegg_pathway"
kescience,pathway,phagefoundry,mobile_phage,7,"cazy, cog, ec_number, eggnog, feature_id, genome_id, kegg_pathway"
refdata,structural,kescience,structural,6,"alphafold_pdb, gene_cluster_id, ncbi_taxon_id, pfam, pmid_doi, protein_id"
kbase,pathway,phagefoundry,mobile_phage,6,"cazy, cog, ec_number, eggnog, genome_id, kegg_pathway"
kbase,pangenome,refdata,taxonomy,5,"gene_cluster_id, genome_id, genus, gtdb_taxonomy, species"
phagefoundry,mobile_phage,protect,annotation,5,"cazy, cog, ec_number, feature_id, sample_id"
enigma,multiomics,phagefoundry,mobile_phage,5,"feature_id, genome_id, kegg_pathway, protein_id, reaction_id"
kescience,pathway,protect,annotation,5,"cazy, cog, ec_number, feature_id, kegg_ko"
phagefoundry,mobile_phage,refdata,structural,4,"ec_number, feature_id, ncbi_taxon_id, protein_id"
phagefoundry,mobile_phage,nmdc,multiomics,4,"cog, ec_number, feature_id, ncbi_taxon_id"
phagefoundry,mobile_phage,protect,genome,4,"feature_id, genome_id, ncbi_taxon_id, sample_id"
kescience,pathway,nmdc,multiomics,4,"cog, ec_number, feature_id, kegg_ko"
kbase,pathway,protect,annotation,4,"cazy, cog, ec_number, kegg_ko"
kbase,pangenome,kescience,pathway,4,"cog, ec_number, feature_id, genome_id"
kbase,pangenome,phagefoundry,mobile_phage,4,"cog, ec_number, feature_id, genome_id"
kbase,pangenome,refdata,structural,4,"ec_number, feature_id, gene_cluster_id, pfam"
kbase,pangenome,protect,annotation,4,"cog, ec_number, feature_id, species"
nmdc,taxonomy,protect,taxonomy,4,"genus, ncbi_taxon_id, sample_id, species"
nmdc,multiomics,protect,annotation,4,"cog, ec_number, feature_id, kegg_ko"
kbase,pangenome,nmdc,multiomics,4,"cog, ec_number, feature_id, pfam"
