entity_class,table,count_col,rows,label,error
Genomes,kbase_ke_pangenome.genome,genome_id,293059,KBase ke_pangenome genomes,
Genomes,kbase_ke_pangenome.gtdb_metadata,,293059,KBase GTDB-r214 genome metadata,
Genomes,refdata_jgi_gem_mags.genome_metadata,,52515,JGI GEM-MAGs (refdata),
Genomes,refdata_spire.genome_metadata,,1158553,SPIRE MAGs (refdata),
Genomes,enigma_genome_depot_enigma.browser_genome,,3110,ENIGMA genome depot,
Genomes,protect_genomedepot.browser_genome,,4923,PROTECT genome depot (MIND),
Genomes,phagefoundry_acinetobacter_genome_browser.browser_genome,,891,PhageFoundry Acinetobacter genomes,
Genomes,phagefoundry_klebsiella_genome_browser_genomedepot.browser_genome,,220,PhageFoundry Klebsiella genomes,
Genomes,phagefoundry_paeruginosa_genome_browser.browser_genome,,535,PhageFoundry P. aeruginosa genomes,
Genomes,phagefoundry_pviridiflava_genome_browser.browser_genome,,259,PhageFoundry P. viridiflava genomes,
Genomes,phagefoundry_ecoliphagesgenomedepot.browser_genome,,45,PhageFoundry E. coli genomes,
Genomes,enigma_coral.sdt_genome,,6705,ENIGMA SDT genomes (canonical),
Species pangenomes,kbase_ke_pangenome.gtdb_species_clade,,27690,KBase species pangenomes (GTDB clades),
Species pangenomes,kbase_ke_pangenome.pangenome,,27702,KBase computed pangenome records,
Gene clusters,kbase_ke_pangenome.gene_cluster,,132531501,KBase pangenome gene clusters,
Genes (features),kbase_ke_pangenome.gene,,1011650903,KBase pangenome genes,
Genes (features),kescience_fitnessbrowser.gene,,228709,FitnessBrowser genes,
Genes (features),enigma_genome_depot_enigma.browser_gene,,16615828,ENIGMA genome-depot genes,
Genes (features),protect_genomedepot.browser_gene,,18133839,PROTECT genome-depot genes,
Genes (features),phagefoundry_acinetobacter_genome_browser.browser_gene,,3618004,PhageFoundry Acinetobacter genes,
Proteins,refdata_uniprot.protein,,215130942,UniProt proteins (refdata),
Proteins,refdata_uniref50_2026_01.cluster,,60315044,UniRef50 clusters,
Proteins,refdata_uniref90_2026_01.cluster,,188848220,UniRef90 clusters,
Proteins,refdata_uniref100_2026_01.cluster,,475217233,UniRef100 clusters,
Proteins,enigma_genome_depot_enigma.browser_protein,,6783430,ENIGMA proteins,
Proteins,protect_genomedepot.browser_protein,,1939423,PROTECT proteins,
AlphaFold models,kescience_alphafold.alphafold_entries,,241070489,AlphaFold predicted structures,
PDB entries,refdata_pdb.pdb_entries,,253482,PDB experimental structures (refdata),
PDB entries,kescience_pdb.pdb_entries,,250741,PDB experimental structures (kescience),
Fitness data,kescience_fitnessbrowser.genefitness,,27410721,FitnessBrowser per-gene fitness rows,
Fitness data,kescience_fitnessbrowser.experiment,,7552,FitnessBrowser fitness experiments,
Organismal phenotype,kescience_bacdive.strain,,97334,BacDive strain phenotype profiles,
Organismal phenotype,kescience_webofmicrobes.observation,,10744,Web of Microbes growth observations,
Organismal phenotype,kescience_webofmicrobes.organism,,37,Web of Microbes organisms,
Organismal phenotype,globalusers_carbon_source_phenotypes.phenotype_data_table,,57302,Carbon-source phenotype measurements,
Field samples,nmdc_metadata.biosample_set,,16640,NMDC biosamples,
Field samples,enigma_coral.sdt_sample,,4346,ENIGMA SDT samples,
Field samples,enigma_coral.ddt_ndarray,,579,ENIGMA DDT measurement datasets,
Field samples,planetmicrobe_planetmicrobe.sample,,2371,Planet Microbe samples,
Field samples,netl_pw_dna.dna_metadata,,5438,NETL produced-water DNA samples,
Field samples,usgs_produced_waters.usgspwdb_c,,114943,USGS produced waters (curated),
Field samples,usgs_produced_waters.usgspwdb_n,,114943,USGS produced waters (national),
Metagenome profiles,nmdc_arkin.kraken_gold,,29023980,NMDC kraken taxonomic profiles,
Metagenome profiles,nmdc_arkin.gottcha_gold,,482669,NMDC gottcha taxonomic profiles,
Metatranscriptomes,nmdc_arkin.metatranscriptomics_gold,,75119498,NMDC metatranscriptomic abundance,
Mass spec features,nmdc_arkin.nom_gold,,9928244,NMDC NOM mass spec assignments,
Mass spec features,nmdc_arkin.nom_matrix_optimized,,495,NMDC NOM matrix (samples × m/z),
16S / ASV / OTU,arkinlab_microbeatlas.otu_counts_long,,260831135,MicrobeAtlas OTU counts (sample × OTU),
16S / ASV / OTU,arkinlab_microbeatlas.otu_metadata,,98919,MicrobeAtlas OTUs (distinct),
16S / ASV / OTU,arkinlab_microbeatlas.sample_metadata,,463972,MicrobeAtlas samples (16S),
16S / ASV / OTU,enigma_coral.sdt_asv,,218510,ENIGMA SDT ASVs,
Env embeddings,kbase_ke_pangenome.alphaearth_embeddings_all_years,,83287,AlphaEarth env embeddings (KBase),
Trait / ML embeddings,nmdc_arkin.embeddings_v1,,5316,NMDC unified embeddings (v1),
Trait / ML embeddings,nmdc_arkin.trait_features,,6365,NMDC organism trait features,
Phages / MGE,refdata_jgi_virus.imgvr_sequence_info,,15677623,IMG/VR viral sequences,
Phages / MGE,refdata_jgi_virus.metavr_main,,24435662,MetaVR viral catalog,
Phages / MGE,phagefoundry_strain_modelling.strainmodelling_genome,,284,PhageFoundry strain models (genomes),
Phages / MGE,phagefoundry_strain_modelling.strainmodelling_gene,,933103,PhageFoundry strain-model genes,
Reactions,kbase_msd_biochemistry.reaction,,56012,ModelSEED reactions (KBase MSD),
Reactions,nmdc_arkin.rhea_reactions,,17783,Rhea reactions (NMDC integrated),
Compounds,kbase_msd_biochemistry.molecule,,45708,ModelSEED compounds/molecules,
Ontology terms,nmdc_arkin.go_terms,,48196,GO terms (NMDC integrated),
Ontology terms,nmdc_arkin.ec_terms,,8813,EC terms (NMDC integrated),
Curated literature,kescience_paperblast.curatedgene,,255096,PaperBLAST curated genes,
Curated literature,kescience_pubmed.pubmed_article_wide,,39994988,PubMed article records (kescience),
