tenant,agency,program,primary_funder,database,table,primary_topic,secondary_topics,n_columns,column_names,has_more_columns
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_dbcan,dbcan_integrated_results,genome,,9,genome_id|gene_id|ec|dbcan_hmm|dbcan_sub|diamond|oftools|recommend_results|substrate,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_dbcan,dbcan_pul,literature,taxonomy,21,id|pmid|notes|verification_final|genomic_accession_number|nucleotide_position_range|substrate_final|gene_locus_tags_or_modular|old_other_gene_locus_tags_or_modules|organism_name|ncbi_species_tax_id|degradation_biosynthesis|cazy_diamond_eval|dbcan_hmmer_eval|hotpep_hits|tp_eval|num_cgcs|cazymes_predicted_dbcan2|num_cazymes|num_genes|cazymes_predicted_dbcan,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_dbcan,fam_substrate_mapping,annotation,taxonomy,5,substrate_high_level|substrate_curated|family|name|ec_number,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_dbcan,genomad_summary,mobile_phage,genome,16,genome_id|element_type|seq_name|length|topology|n_genes|genetic_code|plasmid_score|fdr|n_hallmarks|marker_enrichment|conjugation_genes|amr_genes|coordinates|virus_score|taxonomy,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_dbcan,t4ss_structural_validation,genome,,4,genome_id|system|status|num_genes,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_envdbs,cmmi_ores,field_observational,,343,fid|deposit_analysis_id|deposit_uid|deposit_name|deposit_local_id|deposit_environment|deposit_group|deposit_type|primary_commodities|secondary_commodities|all_commodities|deposit_source|sample_uid|sample_name|sample_local_id|feature_type|feature_name|feature_uid|top_depth_m|base_depth_m|sample_deposit_relation|sample_type|sampling_method|material_class|province|strat_unit_name|strat_unit_uid|strat_grouping|earth_material_group|earth_material_qualifier|earth_material|mode_occurrence|alteration|texture|minerals|sample_description|sample_preparation|sio2_wt_percent|sio2_detection_limit|sio2_method|tio2_wt_percent|tio2_detection_limit|tio2_method|al2o3_wt_percent|al2o3_detection_limit|al2o3_method|fe2o3tot_wt_percent|fe2o3tot_detection_limit|fe2o3tot_method|fe2o3_wt_percent,True
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_envdbs,epa_tri_metals,field_observational,,9,id|year|facility_id|facility_name|chemical|carcinogen|total_releases_lbs|lat|lon,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_envdbs,mining_operations,field_observational,environment,4,latitude|longitude|mine_name|primary_commodity,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_envdbs,ngsa_geochemistry,field_observational,,195,id|SITEID|DATE_SAMPLED|lat|lon|STATE|DUPLICATE_CODE|DUPLICATE_SITEID|SAMPLEID|GRAIN_SIZE|DEPTH|Ag_ICP_MS_mg_kg_0_03|Ag_AR_mg_kg_0_002|Ag_MMI_ME_mg_kg_0_001|Al_XRF_mg_kg_26|Al_AR_mg_kg_100_100K|Al_MMI_ME_mg_kg_1|As_ICP_MS_mg_kg_0_4|As_AR_mg_kg_0_1|As_MMI_ME_mg_kg_0_01|Au_FA_mg_kg_0_001|Au_AR_mg_kg_0_0001|Au_MMI_ME_mg_kg_0_0001|B_AR_mg_kg_1|Ba_ICP_MS_mg_kg_0_5|Ba_AR_mg_kg_0_5|Ba_MMI_ME_mg_kg_0_01|Be_ICP_MS_mg_kg_1_1|Be_AR_mg_kg_0_1|Bi_ICP_MS_mg_kg_0_02|Bi_AR_mg_kg_0_02|Bi_MMI_ME_mg_kg_0_001|Ca_XRF_mg_kg_14|Ca_AR_mg_kg_100|Ca_MMI_ME_mg_kg_10|Cd_ICP_MS_mg_kg_0_1|Cd_AR_mg_kg_0_01|Cd_MMI_ME_mg_kg_0_001|Ce_ICP_MS_mg_kg_0_03|Ce_AR_mg_kg_0_01|Ce_MMI_ME_mg_kg_0_005|Cl_XRF_mg_kg_10|Co_ICP_MS_mg_kg_0_1|Co_AR_mg_kg_0_1|Co_MMI_ME_mg_kg_0_005|Cr_ICP_MS_mg_kg_0_5|Cr_AR_mg_kg_0_5|Cr_MMI_ME_mg_kg_0_001|Cs_ICP_MS_mg_kg_0_1|Cs_AR_mg_kg_0_02,True
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_envdbs,tectonic_plates,field_observational,environment,6,sample_id|latitude|longitude|plate1_name|plate2_name|boundary_type,False
