biome_id	n_genomes	n_species	mean_total_cazy	mean_GH	mean_GT	mean_length_Mbp	mean_completeness	pct_MAG
soil	16628	16628	50.7	23.5	22.8	3.9	84.5	99.1
marine	11132	11132	21.9	9.0	11.0	2.4	86.2	99.5
marine_sediment	5169	5169	32.5	14.6	15.6	2.9	85.9	95.1
human-gut	4158	4158	31.4	16.6	12.2	2.4	91.1	80.3
mouse-gut	2847	2847	36.2	20.0	12.9	2.5	89.7	95.4
cow-rumen	2729	2729	39.1	23.7	11.7	2.3	90.4	100.0
sheep-rumen	1871	1871	49.4	28.9	15.8	2.2	84.3	99.9
chicken-gut	1286	1286	30.5	16.4	11.4	2.3	90.3	100.0
pig-gut	1263	1263	30.1	16.8	10.8	2.1	88.1	100.0
human-skin	476	476	32.8	14.0	15.0	2.6	89.9	88.7
tomato-rhizosphere	471	471	60.2	31.9	22.0	4.1	87.4	95.1
human-oral	408	408	25.2	11.3	11.5	1.8	85.3	100.0
maize-rhizosphere	265	265	50.4	25.4	19.9	3.9	86.5	94.3
human-vaginal	249	249	20.5	8.9	9.0	1.7	90.2	100.0
non-model-fish-gut	152	152	30.0	15.0	12.4	2.3	86.8	100.0
honeybee-gut	128	128	35.1	14.8	18.4	2.7	93.5	74.2
barley-rhizosphere	74	74	68.5	37.7	24.6	4.4	90.5	67.6
zebrafish-fecal	67	67	41.5	19.3	18.2	4.0	90.9	100.0
