phylum	n	rho	p	p_adj
Pseudomonadota	1689	-0.013107904455780191	0.5903522178266047	0.7367702742775669
Firmicutes_A	1625	0.1047075941587998	2.3444033874249147e-05	7.81467795808305e-05
Bacteroidota	1618	0.14745715814878685	2.5317864281000667e-09	1.2658932140500332e-08
Bacillota_A	939	0.2879924358782675	2.1628530957491915e-19	2.1628530957491915e-18
Actinomycetota	385	-0.09367727885437857	0.06633640889965238	0.13267281779930476
Firmicutes	364	0.06545458363770672	0.21282497962926328	0.30403568518466184
Actinobacteriota	335	0.07139982580001863	0.1923662218387839	0.30403568518466184
Thermoplasmatota	289	0.11172865720441039	0.05781482476658199	0.13267281779930476
Bacillota	238	0.021900983301367968	0.7367702742775669	0.7367702742775669
Verrucomicrobiota	215	-0.02374589377491865	0.7291907464007058	0.7367702742775669
