ko_id,gene_name,n_bvbrc_total,n_bvbrc_plasmid,bvbrc_plasmid_frac,subcategory,D,lambda,is_resistance,is_double_signal,estimated
K00520,merA,64601,2929,0.0453398554201947,Resistance/Detoxification,0.6462936544464741,0.527460399489741,True,False,False
K00537,arsC,489855,2703,0.0055179593961478,Resistance/Detoxification,-0.0357573340702886,0.3820554324895516,True,False,False
K01551,arsA,77555,2069,0.0266778415318161,Resistance/Detoxification,0.1260919345619269,0.7322121892903733,True,False,False
K01799,nicE,29,4,0.1379310344827586,Resistance/Detoxification,0.1389728405580302,0.5183890662101167,True,False,False
K03297,emrE,69961,66,0.0009433827418132,Resistance/Detoxification,0.1593936643486114,0.5161859521140738,True,False,False
K03325,ACR3,15756,10,0.0006346788525006,Resistance/Detoxification,0.339733727498808,0.5419485256329538,True,False,False
K03446,emrB,220483,76,0.0003446977771528,Resistance/Detoxification,0.0224186110024233,0.6930795793230609,True,False,False
K03543,emrA,153042,43,0.0002809686229923,Resistance/Detoxification,0.0214388722777696,0.5255323907886912,True,False,False
K03712,marR,174903,77,0.0004402440209716,Resistance/Detoxification,-0.1148435016553082,0.1401017028549039,True,False,False
K03741,arsC,489855,2740,0.0055934919516999,Resistance/Detoxification,0.3305092861920083,0.5678439827444475,True,False,False
K03893,arsB,281935,1885,0.0066859382481777,Resistance/Detoxification,0.0760177795403512,0.6387928613856244,True,False,False
K03897,iucD,36014,371,0.0103015493974565,Unknown,0.3540835172019286,0.2369457486129448,False,True,False
K05908,doxDA,6,0,0.0,Metal-dependent Metabolism,0.2539129834282109,0.0001059596688143,False,True,False
K07233,pcoB,25090,1708,0.068074930251096,Resistance/Detoxification,0.0677723009629557,0.6870217318107015,True,False,False
K07240,chrA,135127,1653,0.0122329364227726,Resistance/Detoxification,0.1713873784304337,0.5772331476755415,True,False,False
K07552,bcr,114175,31,0.0002715130282461,Resistance/Detoxification,-0.0224124303550788,0.4517028265069407,True,False,False
K07665,cusR,111397,126,0.0011310897061859,Resistance/Detoxification,-0.0154155637693482,0.4088795708368367,True,False,False
K07785,nrsD,11,2,0.1818181818181818,Resistance/Detoxification,0.8212616730726315,0.0888993673574643,True,True,False
K07787,cusA,91537,97,0.0010596807848192,Resistance/Detoxification,0.249871715033394,0.7903100387029138,True,False,False
K07789,mdtC,160947,49,0.0003044480481152,Resistance/Detoxification,-0.1089589979223298,0.5137463807829915,True,False,False
K07796,cusC,86943,44,0.0005060786952371,Resistance/Detoxification,0.2581630650281558,0.8464795493793671,True,False,False
K07799,mdtA,105779,60,0.0005672203367398,Resistance/Detoxification,-0.1115353111295437,0.6541274386101386,True,False,False
K08151,tetA,81200,3339,0.0411206896551724,Resistance/Detoxification,0.0860237131200403,0.7165888679170402,True,False,False
K08160,mdfA,92304,11,0.000119171433524,Resistance/Detoxification,-0.3847327888942652,0.779887391946795,True,False,False
K08161,mdtG,131156,29,0.0002211107383573,Resistance/Detoxification,-0.1281418934523305,0.682988269770346,True,False,False
K08167,smvA,25406,7,0.0002755254664252,Resistance/Detoxification,-0.0410637766983518,0.8297695984496107,True,False,False
K08170,norB,42365,116,0.0027381092883276,Resistance/Detoxification,0.2388247547189204,0.0332455178537299,True,True,False
K08355,aoxA,27,0,0.0,Resistance/Detoxification,0.4234318815466451,0.8776552691142935,True,False,False
K08356,aoxB,24,0,0.0,Resistance/Detoxification,0.562213100734908,0.0001059596688143,True,True,False
K08721,oprJ,8102,43,0.0053073315230807,Resistance/Detoxification,0.0670769593809649,0.9998940403311856,True,False,False
K09771,TC.SMR3,0,0,,Resistance/Detoxification,0.1264053450991196,0.4911916577549345,True,False,False
K11741,sugE,204526,482,0.0023566685898125,Resistance/Detoxification,0.186325589818198,0.4777012817507137,True,False,False
K11811,arsH,72859,1942,0.0266542225394254,Resistance/Detoxification,0.1379157977997354,0.4581856903980537,True,False,False
K11923,cueR,208271,784,0.0037643262864248,Resistance/Detoxification,-0.294617326999611,0.6505933885761739,True,False,False
K13283,fieF,182928,46,0.0002514650572903,Resistance/Detoxification,0.1478374422177544,0.5649536204293847,True,False,False
K14470,mct,289,0,0.0,Resistance/Detoxification,0.0544611658552588,0.3668441075881008,True,False,False
K14588,cueO,185645,28,0.0001508255002827,Resistance/Detoxification,-0.2750601014573124,0.0001059596688143,True,False,False
K14974,nicC,839,1,0.00119189511323,Transport/Homeostasis,0.2235582149347867,0.0001059596688143,False,True,False
K15549,mdtN,114356,39,0.0003410402602399,Resistance/Detoxification,0.102572649087899,0.4762804026475084,True,False,False
K15585,nikB,142048,1063,0.0074833858977247,Transport/Homeostasis,0.2024132376423988,0.0001059596688143,False,True,False
K15726,czcA,16633,172,0.0103408885949618,Resistance/Detoxification,0.0629903868592324,0.6546049730743905,True,False,False
K17686,copA,255308,120,0.0004700205242295,Resistance/Detoxification,0.2720130105606624,0.5113467748694513,True,False,False
K18145,adeA,7930,1,0.0001261034047919,Resistance/Detoxification,0.2811968044745545,0.7242339125871968,True,False,False
K18146,adeB,8166,3,0.0003673769287288,Resistance/Detoxification,0.2449384539045696,0.9998940403311856,True,False,False
K18299,mexF,8276,5,0.00060415659739,Resistance/Detoxification,-0.2591550125706336,0.4917056643781625,True,False,False
K18303,mexK,7832,3,0.0003830439223697,Resistance/Detoxification,-0.1360590745255005,0.7666319808804644,True,False,False
K18307,mexI,9896,4,0.0004042037186742,Resistance/Detoxification,-0.0646140616033749,0.9211421877068048,True,False,False
K18324,acrD,139671,19,0.0001360339655332,Resistance/Detoxification,-0.4667761002929723,0.1340633223130827,True,False,False
K18902,bpeF,306,1,0.0032679738562091,Resistance/Detoxification,-0.1358921127088616,0.7791661089051799,True,False,False
K18903,oprC,974,2,0.002053388090349,Resistance/Detoxification,-0.1270858331746445,0.4066748384720279,True,False,False
K18908,mepA,211964,74,0.0003491158876035,Resistance/Detoxification,0.0516268784620033,0.0001044336939894,True,False,False
K18925,ykkD,5818,0,0.0,Resistance/Detoxification,-0.2800771871913264,0.7643067411161605,True,False,False
K18989,vexF,1416,0,0.0,Resistance/Detoxification,-0.0597118612284155,0.4865882490330308,True,False,False
K18990,vexE,2635,0,0.0,Resistance/Detoxification,-0.1200709728104688,0.3875024274777491,True,False,False
K19057,merD,37311,2681,0.0718554849776205,Resistance/Detoxification,0.7011488787956072,0.1653921090790372,True,True,False
K19059,merE,32577,2442,0.074960861957823,Transport/Homeostasis,0.7276838362930834,0.1024970858452611,False,True,False
K19578,bmr,23570,17,0.0007212558336868,Resistance/Detoxification,-0.3403491055725927,0.0001059596688143,True,False,False
K19592,golS,14368,5,0.000347995545657,Sensing/Regulation,0.2645941390066298,0.1348458699567263,False,True,False
K19594,gesB,1,0,0.0,Resistance/Detoxification,0.5965383911186886,0.1559578884302989,True,True,False
K19595,gesA,1,0,0.0,Resistance/Detoxification,0.4577217595751774,0.1610584292276534,True,True,False
K19784,chrR,58889,16,0.0002716976005705,Resistance/Detoxification,0.1823005471765238,0.2778590353694758,True,False,False
K23242,mntP,155345,60,0.0003862370851974,Resistance/Detoxification,0.0362197015193176,0.4822164272725218,True,False,False
K24073,cnrH,1088,2,0.0018382352941176,Resistance/Detoxification,-0.1328141749642716,0.6795430379388929,True,False,False
K24078,cnrR,41,0,0.0,Resistance/Detoxification,-0.0887315107668025,0.8980248062522506,True,False,False
K25119,shp,5202,0,0.0,Transport/Homeostasis,0.3853935161179785,0.0001055442208782,False,True,False
K27501,alcA,1093,4,0.0036596523330283,Resistance/Detoxification,0.0098410756300328,0.7757741468914529,True,False,False
K00013,hisD,525119,473,0.0009007482113578065,Metal-dependent Metabolism,0.1352460621479633,0.5095541270509686,False,False,True
K00031,IDH1,93,0,0.0,Metal-dependent Metabolism,0.0510896545029152,0.5296855334874764,False,False,False
K00108,betA,209650,241,0.0011495349391843549,Metal-dependent Metabolism,-0.0191004785546491,0.4550318732753353,False,False,True
K00244,frdA,208739,52,0.0002491149234211144,Metal-dependent Metabolism,-0.0392046141799765,0.0001059596688143,False,False,True
K00246,frdC,210111,53,0.00025224762149530486,Metal-dependent Metabolism,-0.0597686860032829,0.0358300727112952,False,False,True
K00247,frdD,208936,21,0.00010050924685071027,Metal-dependent Metabolism,-0.0840995710354259,0.0471144222276938,False,False,True
K00595,cobL-cbiET,2,0,0.0,Transport/Homeostasis,0.0365440691436304,0.6993335846366033,False,False,False
K00768,E2.4.2.21,11,0,0.0,Transport/Homeostasis,0.0602546733590096,0.6487989252248134,False,False,False
K01012,bioB,354041,319,0.0009010255874319641,Transport/Homeostasis,0.1182992721460494,0.6006582723530994,False,False,True
K01599,hemE,355333,142,0.0003996251403612949,Transport/Homeostasis,-0.0905509927171586,0.5417213177217107,False,False,True
K01772,hemH,346821,243,0.000700649614642712,Cofactor Biosynthesis,-0.090537565193059,0.5635569878556455,False,False,True
K01935,bioD,502194,352,0.0007009243439786219,Transport/Homeostasis,0.0477095796790205,0.4446475055987757,False,False,True
K02007,cbiM,71938,47,0.0006533403764352637,Transport/Homeostasis,0.1356961266593232,0.5554474595698389,False,False,True
K02009,cbiN,9154,4,0.00043696744592527855,Transport/Homeostasis,0.1346563585352567,0.5686107849885613,False,False,False
K02011,afuB,696,2,0.0028735632183908046,Transport/Homeostasis,0.1532905681913242,0.5657026536229095,False,False,False
K02012,afuA,1526,27,0.017693315858453473,Transport/Homeostasis,0.127205698708349,0.5256319286864727,False,False,False
K02019,modE,149413,22,0.00014724287712581904,Sensing/Regulation,0.0934558041752092,0.579854996849726,False,False,True
K02047,cysW,296489,311,0.0010489427938304625,Transport/Homeostasis,0.0170521477449609,0.5980455987664228,False,False,True
K02069,STAR2,0,0,,Transport/Homeostasis,0.1871705821122812,0.5138841377981769,False,False,False
K02167,betI,168745,236,0.001398559957332069,Sensing/Regulation,-0.0086232062711229,0.6270702479749174,False,False,True
K02188,cbiD,77507,128,0.0016514637387590799,Transport/Homeostasis,0.0958596231386418,0.5551410521164164,False,False,True
K02190,cbiK,19979,7,0.0003503678862805946,Transport/Homeostasis,-0.0050887234828443,0.7861808686665489,False,False,True
K02225,cobC1,6808,0,0.0,Cofactor Biosynthesis,-0.1069285184768186,0.8286025046403807,False,False,False
K02230,cobN,80815,190,0.002351048691455794,Transport/Homeostasis,0.0291859491421705,0.8493536953288198,False,False,True
K02302,cysG,194771,49,0.0002515774935693712,Metal-dependent Metabolism,-0.1588426607599326,0.7188914534758568,False,False,True
K03523,bioY,22732,16,0.0007038535984515221,Transport/Homeostasis,-0.0383914921879719,0.3913104502221118,False,False,True
K03577,acrR,172240,34,0.00019739897816999536,Sensing/Regulation,-0.2249504040732616,0.644982214252815,False,False,True
K03635,MOCS2B,25,0,0.0,Cofactor Biosynthesis,-0.0197190761501119,0.5305892439358237,False,False,False
K03895,iucC,58820,1615,0.02745664739884393,Transport/Homeostasis,0.2053873726125384,0.7231830134027047,False,False,True
K03937,NDUFS4,3,0,0.0,Metal-dependent Metabolism,-0.3240677377173403,0.4706177357639979,False,False,False
K03939,NDUFS6,1,0,0.0,Metal-dependent Metabolism,-0.1195187220387837,0.6325860487116701,False,False,False
K04080,ibpA,141959,14,9.862002409146302e-05,Transport/Homeostasis,-0.23390969278032,0.617782294526991,False,False,True
K04081,ibpB,141961,21,0.00014792795204316678,Transport/Homeostasis,-0.5769400961749647,0.0001049014244908,False,False,True
K04564,SOD2,132,0,0.0,Metal-dependent Metabolism,0.0498723995153049,0.6809726461698998,False,False,False
K05802,mscK,154646,8,5.17310502696481e-05,Transport/Homeostasis,-0.1556543329166348,0.4265257308913912,False,False,True
K05804,rob,30468,9,0.00029539188656951555,Sensing/Regulation,-0.5099104285556966,0.2774994624228533,False,False,True
K05836,hutC,92222,1157,0.012545813363405696,Sensing/Regulation,-0.0955433358770761,0.5505290168106605,False,False,True
K06042,cobH-cbiC,18,1,0.05555555555555555,Transport/Homeostasis,0.0694989179717053,0.5698196134757932,False,False,False
K06201,cutC,183525,92,0.0005012941016210326,Transport/Homeostasis,0.0440335326343589,0.4739694010470983,False,False,True
K07241,hoxN,9794,19,0.0019399632428017154,Transport/Homeostasis,0.1305675338043004,0.3413308758187686,False,False,False
K07243,FTR,295,0,0.0,Transport/Homeostasis,0.1526269210282279,0.3169310018580765,False,False,False
K07263,pqqL,42714,2,4.6823055672613196e-05,Transport/Homeostasis,-0.0956995304196555,0.6352343615662023,False,False,True
K07643,basS,10310,3,0.0002909796314258002,Sensing/Regulation,-0.5016958018923035,0.0001059596688143,False,False,True
K07644,cusS,97730,147,0.0015041440703980355,Sensing/Regulation,0.0083402600439183,0.5829791855461725,False,False,True
K07690,evgA,109527,27,0.0002465145580541784,Sensing/Regulation,-0.3150054676251039,0.0001059596688143,False,False,True
K07722,nikR,162285,89,0.0005484179067689559,Sensing/Regulation,0.1276861714113713,0.6470273544161742,False,False,True
K07771,basR,104456,10,9.573408899440913e-05,Sensing/Regulation,-0.5270465821004886,0.0001059596688143,False,False,True
K08225,entS,149538,75,0.0005015447578541909,Transport/Homeostasis,0.0342700405135055,0.4171390725213793,False,False,True
