ko_id,gene_name,subcategory,D,lambda,is_resistance,is_double_signal,n_ncbi_total,n_ncbi_plasmid,plasmid_frac
K00013,hisD,Metal-dependent Metabolism,0.1352460621479633,0.5095541270509686,False,False,,,
K00031,IDH1,Metal-dependent Metabolism,0.0510896545029152,0.5296855334874764,False,False,,,
K00108,betA,Metal-dependent Metabolism,-0.0191004785546491,0.4550318732753353,False,False,,,
K00169,porA,Unknown,0.0830984863532928,0.7268055802254435,False,False,,,
K00170,porB,Unknown,0.1261831348070435,0.4565314845926027,False,False,,,
K00174,korA,Unknown,-0.0382698057662768,0.6645560206705299,False,False,,,
K00177,korC,Unknown,-0.063410036427584,0.762471709271958,False,False,,,
K00209,fabV,Unknown,-0.1450494861185323,0.4588203314286469,False,False,,,
K00228,CPOX,Unknown,-0.1878816328747203,0.5962991667705864,False,False,,,
K00230,hemG,Unknown,0.1683514613167889,0.5020328495151931,False,False,,,
K00244,frdA,Metal-dependent Metabolism,-0.0392046141799765,0.0001059596688143,False,False,,,
K00246,frdC,Metal-dependent Metabolism,-0.0597686860032829,0.0358300727112952,False,False,,,
K00247,frdD,Metal-dependent Metabolism,-0.0840995710354259,0.0471144222276938,False,False,,,
K00390,cysH,Unknown,0.0414844601058818,0.6107505078965736,False,False,,,
K00425,cydA,Unknown,0.114030732900496,0.5496631729209888,False,False,,,
K00520,merA,Resistance/Detoxification,0.6462936544464741,0.527460399489741,True,False,302119.0,9935.0,0.0328843932357779
K00523,ascD,Unknown,-0.2464378552278534,0.6291594731859016,False,False,,,
K00537,arsC,Resistance/Detoxification,-0.0357573340702886,0.3820554324895516,True,False,2196004.0,8325.0,0.0037909767013174
K00595,cobL-cbiET,Transport/Homeostasis,0.0365440691436304,0.6993335846366033,False,False,,,
K00613,GATM,Unknown,0.1823688661164797,0.0606252925935263,False,False,,,
K00643,E2.3.1.37,Unknown,-0.2284947930109764,0.6135570023051748,False,False,,,
K00768,E2.4.2.21,Transport/Homeostasis,0.0602546733590096,0.6487989252248134,False,False,,,
K00817,hisC,Unknown,0.1025675724014917,0.5084372907344797,False,False,,,
K00826,E2.6.1.42,Unknown,0.1584076846597955,0.5026910991267858,False,False,,,
K00833,bioA,Unknown,0.0466875399835877,0.515357374392125,False,False,,,
K00955,cysNC,Unknown,0.0078024303218336,0.764871155530549,False,False,,,
K00957,cysD,Unknown,0.0391155474904705,0.6481160939550455,False,False,,,
K01002,mdoB,Unknown,0.0236712040919034,0.1971437220468155,False,False,,,
K01012,bioB,Transport/Homeostasis,0.1182992721460494,0.6006582723530994,False,False,,,
K01195,uidA,Unknown,0.4617865083728238,0.7280495861176425,False,False,,,
K01262,pepP,Unknown,0.0505771753563197,0.5605873258642452,False,False,,,
K01414,prlC,Unknown,-0.2354036300497596,0.3831641000797611,False,False,,,
K01531,mgtA,Unknown,0.3250565357456146,0.5954916149358696,False,False,,,
K01551,arsA,Resistance/Detoxification,0.1260919345619269,0.7322121892903733,True,False,415780.0,5168.0,0.0124296502958295
K01584,adiA,Unknown,-0.1094136865235186,0.578172300635994,False,False,,,
K01595,ppc,Unknown,-0.014806449678258,0.4290798901130557,False,False,,,
K01599,hemE,Transport/Homeostasis,-0.0905509927171586,0.5417213177217107,False,False,,,
K01626,E2.5.1.54,Unknown,-0.1051002038461569,0.6225834503004058,False,False,,,
K01676,E4.2.1.2A,Unknown,-0.0938783757736172,0.5160915236775082,False,False,,,
K01679,E4.2.1.2B,Unknown,0.0484543024581278,0.4796325392468514,False,False,,,
K01682,acnB,Unknown,-0.1611405290686237,0.4555599738918597,False,False,,,
K01698,hemB,Unknown,0.0010493883950844,0.5764933727793681,False,False,,,
K01749,hemC,Unknown,-0.0106500850015508,0.5588158919152437,False,False,,,
K01772,hemH,Cofactor Biosynthesis,-0.090537565193059,0.5635569878556455,False,False,,,
K01799,nicE,Resistance/Detoxification,0.1389728405580302,0.5183890662101167,True,False,29.0,2.0,0.0689655172413793
K01847,MUT,Unknown,-0.0700231071476622,0.6655544590504849,False,False,,,
K01906,bioW,Unknown,-0.0401212053195668,0.7066682857610382,False,False,,,
K01935,bioD,Transport/Homeostasis,0.0477095796790205,0.4446475055987757,False,False,,,
K01958,PC,Unknown,-0.0623668642147068,0.6122256910029336,False,False,,,
K01965,PCCA,Unknown,-0.2435142730852628,0.4896278032969662,False,False,,,
K01966,PCCB,Unknown,-0.1169711688636345,0.5602982187550132,False,False,,,
K02007,cbiM,Transport/Homeostasis,0.1356961266593232,0.5554474595698389,False,False,,,
K02009,cbiN,Transport/Homeostasis,0.1346563585352567,0.5686107849885613,False,False,,,
K02011,afuB,Transport/Homeostasis,0.1532905681913242,0.5657026536229095,False,False,,,
K02012,afuA,Transport/Homeostasis,0.127205698708349,0.5256319286864727,False,False,,,
K02019,modE,Sensing/Regulation,0.0934558041752092,0.579854996849726,False,False,,,
K02047,cysW,Transport/Homeostasis,0.0170521477449609,0.5980455987664228,False,False,,,
