stratum,metric,n,rho_vs_Bstd,p_vs_Bstd
all,sig_pos_partners,1572,0.3268252616214616,1.889885447427846e-40
all,sig_neg_partners,1572,0.0034625628381039744,0.8908913058836403
all,degree,1572,0.22485861169567542,1.8133261752866559e-19
all,betweenness,1572,,
all,clustering,1572,,
env,sig_pos_partners,1572,0.36977631771976643,4.051232167827761e-52
env,sig_neg_partners,1572,-0.04055094275397239,0.10801831673025049
env,degree,1572,0.23897849548975023,7.460406426303201e-22
env,betweenness,1572,,
env,clustering,1572,,
soil,sig_pos_partners,1547,0.337368219571879,1.7332477362265483e-42
soil,sig_neg_partners,1547,0.2839695414766118,4.406497657755889e-30
soil,degree,1547,0.38623293254104335,3.3129168186346994e-56
soil,betweenness,1547,,
soil,clustering,1547,,
