response,stratum,predictor,n,lambda,beta,SE,t,p
sig_pos_partners,all,predictor_z,1572,0.599374554346976,138.381578333348,13.7274644605011,10.0806364300939,3.3624892012858996e-23
sig_pos_partners,all,genome_mb_z,1572,0.599374554346976,48.1274501492818,15.8459947980035,3.03719966860936,0.0024272461120473
sig_neg_partners,all,predictor_z,1572,0.690988363799264,39.4742667926422,12.001726943465,3.28904889926163,0.0010275317302223
sig_neg_partners,all,genome_mb_z,1572,0.690988363799264,165.616040259503,14.0420509917189,11.7942913294626,8.01757754669258e-31
degree,all,predictor_z,1572,0.540746191150807,16.1528406461672,1.33258918627126,12.1213955602962,2.17016583223963e-32
degree,all,genome_mb_z,1572,0.540746191150807,20.7252519575264,1.52484210243302,13.591736432551,7.359638822555869e-40
sig_pos_partners,env,predictor_z,1572,0.625315332062787,133.993125004995,13.7596672753587,9.73810792975752,8.46748917329231e-22
sig_pos_partners,env,genome_mb_z,1572,0.625315332062787,64.1978134874962,15.9440836724251,4.02643480845029,5.9331920484141e-05
sig_neg_partners,env,predictor_z,1572,0.689407520567118,45.3297023939476,12.2191949940996,3.70971266240012,0.0002147285194479
sig_neg_partners,env,genome_mb_z,1572,0.689407520567118,150.2697610095,14.2931599985357,10.5134036857416,4.97888094392655e-25
degree,env,predictor_z,1572,0.546406630104149,16.491245949392,1.37596373703753,11.9852329719808,9.84644004599558e-32
degree,env,genome_mb_z,1572,0.546406630104149,21.2128634272375,1.57581848963166,13.4614891034791,3.59574874479673e-39
sig_pos_partners,soil,predictor_z,1547,0.569552226656111,210.540425864155,15.2825578765905,13.7765174890426,8.23375249319067e-41
sig_pos_partners,soil,genome_mb_z,1547,0.569552226656111,146.32326417653,17.5096136156479,8.35673861162561,1.41867545765272e-16
sig_neg_partners,soil,predictor_z,1547,0.581088973976887,27.3730044608149,6.31304143597342,4.3359456354644,1.54527489660956e-05
sig_neg_partners,soil,genome_mb_z,1547,0.581088973976887,83.313495295742,7.24542807997736,11.4987678265661,2.03083187696249e-29
degree,soil,predictor_z,1547,0.559227767873975,15.2003326462644,1.25809813829176,12.0819927981956,3.53712973192569e-32
degree,soil,genome_mb_z,1547,0.559227767873975,19.4346775237323,1.43921592199661,13.5036565581978,2.3216549426760902e-39
