genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,median_cmmi_nearest_km,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
achromobacter,Proteobacteria,Bacteria,18180,90.0,70.0,260.2439880371094,44.57,8.800642198780132,6.476800068965517,-0.006926651459367798,1.6212604468252096,0.3824708127696951
actinotalea,Actinobacteria,Bacteria,11590,80.0,65.0,334.0929870605469,17.65,10.272412611997389,3.504532125,0.3712278293863998,-0.18505367256027505,0.3485850896289182
anaerofilum,Firmicutes,Bacteria,2332,84.0,63.0,280.3710021972656,53.45,6.078563149242783,2.632201,-0.7063335566089045,-0.7151889287258628,0.1420979685866183
anaeromassilibacillus,Firmicutes,Bacteria,555,122.0,55.0,356.5710144042969,44.96,8.189715642751134,2.6862959545454546,-0.16389720376516112,-0.6823142074607922,0.0975258220513013
anaerostipes,Firmicutes,Bacteria,269,68.0,59.0,309.7279968261719,18.36,9.86754108009875,2.93892873255814,0.26720074569222596,-0.5287835828512678,0.1165947155912339
blastomonas,Proteobacteria,Bacteria,34852,79.0,66.0,280.3710021972656,29.84,7.184933200034654,4.036224025,-0.42206449641904875,0.13806746060766983,0.3751100688324422
cryobacterium,Actinobacteria,Bacteria,2210,73.0,59.0,277.4840087890625,19.19,8.278106597741687,3.744817686746988,-0.1411861644646449,-0.039026729145145045,0.3421583880822563
desulfitobacterium,Firmicutes,Bacteria,3666,76.0,66.0,346.6440124511719,17.65,7.0475538254554495,4.966262176470588,-0.4573625467170924,0.7032725754356313,0.1901604521467534
hyphomonas,Proteobacteria,Bacteria,33734,61.0,69.0,353.89898681640625,32.86,11.35141818439583,3.435694057471264,0.6484659015719094,-0.22688811537382297,0.1262994839946554
klebsiella,Proteobacteria,Bacteria,1246,80.0,64.0,311.7690124511719,17.65,14.583650308706922,5.622734930159652,1.478950772014433,1.1022258415393493,0.1656085122783746
longimicrobium,Gemmatimonadetes,Bacteria,1288,101.0,70.0,159.05999755859375,41.21,3.079902045426502,6.818398666666667,-1.4768050396354164,1.8288576022036844,0.2892347361406029
marinomonas,Proteobacteria,Bacteria,6535,63.0,65.0,353.89898681640625,29.99,12.070173868643922,4.308140095238096,0.8331419082308767,0.30331697586623996,0.1199407273308305
niastella,Bacteroidetes,Bacteria,45883,99.0,66.0,245.48699951171875,17.65,2.051352825876699,8.77469725,-1.741078932254944,3.01774427710227,0.4595472315453532
ponticaulis,Proteobacteria,Bacteria,952,130.0,65.0,152.51199340820312,30.45,7.909414587901631,3.4136534,-0.23591733606652146,-0.24028271893630232,0.1266866915868326
pseudoleptotrichia,Fusobacteria,Bacteria,427,79.0,59.0,277.4840087890625,65.75,9.622148436218644,2.2863916666666664,0.20414992810784408,-0.92534504290913,0.2423209274644864
salinicoccus,Firmicutes,Bacteria,1159,122.0,55.0,356.5710144042969,64.77,13.719240188127674,2.4782713571428574,1.2568505331117368,-0.8087354368222565,0.132489251410708
streptobacillus,Fusobacteria,Bacteria,884,79.0,59.0,277.4840087890625,55.14,10.434821333211191,1.6291606206896552,0.41295688243970685,-1.324759140301333,0.2143370560716949
sulfurospirillum,Proteobacteria,Bacteria,1488,43.0,63.0,416.53900146484375,50.65,15.702665166873029,2.4836548181818183,1.7664687700311787,-0.8054637863959955,0.0845250200403809
tenacibaculum,Bacteroidetes,Bacteria,5710,57.0,55.0,416.53900146484375,29.39,11.14017938283696,3.0520154866071425,0.5941905209686541,-0.46005821743833164,0.0433838008318296
variibacter,Proteobacteria,Bacteria,78030,91.0,63.0,297.093994140625,17.65,5.887764382427306,4.585781333333333,-0.755357105365669,0.4720458044744698,0.473750621636708
acetanaerobacterium,Firmicutes,Bacteria,612,92.0,63.0,335.0920104980469,17.65,8.52387387905731,2.346351,-0.07803908809991142,-0.8889064066788973,0.2677484640548389
acetomicrobium,Synergistetes,Bacteria,2588,51.0,55.0,335.697998046875,53.45,11.203066075492751,1.963748125,0.6103485333867551,-1.1214227841586248,0.1924141178334138
agathobaculum,Firmicutes,Bacteria,553,122.0,55.0,356.5710144042969,57.35,9.83880696032343,2.439320142857143,0.25981784408704717,-0.8324069663269705,0.1018985336138848
alkalibacterium,Firmicutes,Bacteria,407,80.0,61.0,245.48699951171875,17.65,13.68870146381781,2.1185355,1.2490039591261626,-1.0273550129360582,0.1716860037954161
alkalihalobacillus,Firmicutes,Bacteria,14655,80.0,59.0,347.3320007324219,17.65,8.613427845140345,4.2956185,-0.055029226474971736,0.29570732064598154,0.3270195930873961
aurantimonas,Proteobacteria,Bacteria,1685,79.0,59.0,277.4840087890625,17.65,9.709228038697098,4.5317712000000006,0.22652403046224073,0.4392226309688771,0.4575655049774919
desulfocapsa,Proteobacteria,Bacteria,3986,57.0,61.0,416.53900146484375,20.39,7.51796687293329,4.389484625,-0.3364953243877638,0.35275187723238793,0.0564499466749194
desulfococcus,Proteobacteria,Bacteria,363,61.0,65.0,347.3320007324219,30.94,8.588111138746246,4.4247215,-0.0615340630155144,0.37416611916328335,0.1843376816836647
marinibacterium,Proteobacteria,Bacteria,3020,71.0,64.0,216.41900634765625,20.39,7.037583313529901,6.110052,-0.45992435508551194,1.3983793917794332,0.0432691276908657
microvirga,Proteobacteria,Bacteria,41620,99.0,69.0,245.48699951171875,17.65,6.99744030159861,6.716741833333333,-0.47023864031650736,1.7670784568359785,0.3478248247764948
pandoraea,Proteobacteria,Bacteria,801,78.0,59.0,560.7440185546875,40.63,8.142476140435855,5.526574376623376,-0.17603485058359164,1.0437869090961462,0.5571930021000934
parafilimonas,Bacteroidetes,Bacteria,28880,80.0,63.0,248.1009979248047,17.65,1.974128389413934,3.039316,-1.7609208630458661,-0.4677759812469416,0.5886047889730722
rhodobaculum,Proteobacteria,Bacteria,175,61.0,69.0,347.3320007324219,52.59,14.16391461222874,2.541670222222222,1.3711045121842913,-0.7702065197445167,0.2313281865008408
salmonella,Proteobacteria,Bacteria,10684,91.0,66.0,217.97999572753903,33.99,15.475139590594194,4.846482938711912,1.7080086899778126,0.6304800370603502,0.1836480408569124
