genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
achromobacter,Proteobacteria,Bacteria,18180,90.0,70.0,2.604987292693883,0.1491916117104496,1.067780231000702,0.0295257228958886
actinotalea,Actinobacteria,Bacteria,11590,80.0,65.0,-1.0946610468568774,-0.0625548018893579,-0.516073536240249,0.0444304413522865
anaerostipes,Firmicutes,Bacteria,269,68.0,59.0,-0.3843311372940071,-0.8308532326489966,-0.8174706783458514,0.1198311426652594
hyphomonas,Proteobacteria,Bacteria,33734,61.0,69.0,1.8751958702304448,2.112380830597646,-0.5527557717050339,0.1383124450869625
marinomonas,Proteobacteria,Bacteria,6535,63.0,65.0,0.0306673155526799,-0.5616971095160836,-0.08784918532647086,0.0549450549450549
niastella,Bacteroidetes,Bacteria,45883,99.0,66.0,-0.7994625455459399,-1.7428066517354208,2.292277206215549,0.0897796378595089
sulfurospirillum,Proteobacteria,Bacteria,1488,43.0,63.0,-0.482222517901446,-0.0999847219678229,-1.0600757590470944,0.0008671066893202
aurantimonas,Proteobacteria,Bacteria,1685,79.0,59.0,-0.1737546701961899,-0.1816286951649117,0.031318727670240784,0.0026290247266024
desulfococcus,Proteobacteria,Bacteria,363,61.0,65.0,-1.0669740764324365,-0.97556269740858,-0.025725614839742873,0.0857391434212761
pandoraea,Proteobacteria,Bacteria,801,78.0,59.0,0.7582973697032155,0.3867794005833517,0.5614266414460247,0.0661924402733774
streptacidiphilus,Actinobacteria,Bacteria,3945,90.0,53.0,-1.2304152069938397,-0.8777698661497426,2.7667294678754857,0.1581227504598586
ureibacillus,Firmicutes,Bacteria,441,80.0,57.0,-0.3243613770548872,1.0571110394733385,-0.3728667044151244,0.0046457546424716
aeromicrobium,Actinobacteria,Bacteria,37982,99.0,65.0,-0.6953555017595807,0.7545282480903981,-0.5122916935550109,0.2829512602643273
actinocatenispora,Actinobacteria,Bacteria,643,91.0,70.0,-1.3686896002950617,-1.0329992973690725,1.344309880640176,0.2296592490578241
anoxybacillus,Firmicutes,Bacteria,4463,76.0,65.0,-0.4619660583530457,2.829682742341824,-0.9279074759966005,0.1788759352705759
orientia,Proteobacteria,Bacteria,67,157.0,65.0,-1.5886653265272186,-1.4782500717743243,-1.3143510652210635,0.175829611331765
kordiimonas,Proteobacteria,Bacteria,3883,70.0,63.0,-0.010313881852371,-0.4689312882535212,-0.2187456534225667,0.1252949434007347
nevskia,Proteobacteria,Bacteria,3366,79.0,56.0,0.247689814447569,-0.3212886370385842,-0.1507645795873279,0.0688830185957415
rhodopirellula,Planctomycetes,Bacteria,16386,63.0,70.0,-0.2269607825533942,-0.5353529195831693,1.5308468995555042,0.2108654423546689
acaryochloris,Cyanobacteria,Bacteria,1155,57.0,66.0,-0.5465845467239592,-1.0217176706939066,0.8953001826165896,0.1934207777387699
parvibaculum,Proteobacteria,Bacteria,20252,99.0,66.0,0.7592505519991426,0.1730696017787437,-0.4626111541843947,0.0753056414480967
aneurinibacillus,Firmicutes,Bacteria,12339,101.0,60.0,-0.6371110668746396,0.277155669875218,0.2879924155405347,0.3379069356971824
enterococcus,Firmicutes,Bacteria,7758,79.0,59.0,-0.3185034838297204,-0.3608893233708097,-0.7896868566052871,0.02899083601767
