genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,env_gradient_breadth,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
achromobacter,Proteobacteria,Bacteria,18180,90.0,70.0,260.2439880371094,0.4388249030776497,8.800642198780132,6.476800068965517,-0.00741750854945067,1.6046746704360544,0.3824708127696951
actinotalea,Actinobacteria,Bacteria,11590,80.0,65.0,334.0929870605469,0.2278676757137176,10.272412611997389,3.504532125,0.36874746755244164,-0.19623675274352767,0.3485850896289182
anaerofilum,Firmicutes,Bacteria,2332,84.0,63.0,280.3710021972656,0.11455672782751265,6.078563149242783,2.632201,-0.7031447710498191,-0.7247863712249704,0.1420979685866183
anaeromassilibacillus,Firmicutes,Bacteria,555,122.0,55.0,356.5710144042969,1.1204624390741047,8.189715642751134,2.6862959545454546,-0.16356222465792422,-0.6920099784454842,0.0975258220513013
anaerostipes,Firmicutes,Bacteria,269,68.0,59.0,309.7279968261719,0.5323151755905569,9.86754108009875,2.93892873255814,0.2652676797042358,-0.5389385648414906,0.1165947155912339
blastomonas,Proteobacteria,Bacteria,34852,79.0,66.0,280.3710021972656,0.2102341908286858,7.184933200034654,4.036224025,-0.42037127595949575,0.12591792320555467,0.3751100688324422
cryobacterium,Actinobacteria,Bacteria,2210,73.0,59.0,277.4840087890625,0.4643743580114706,8.278106597741687,3.744817686746988,-0.1409706701783353,-0.05064657677913149,0.3421583880822563
desulfitobacterium,Firmicutes,Bacteria,3666,76.0,66.0,346.6440124511719,0.3663149519114944,7.0475538254554495,4.966262176470588,-0.45548362003938103,0.6894325061948585,0.1901604521467534
hyphomonas,Proteobacteria,Bacteria,33734,61.0,69.0,353.89898681640625,0.7341420260311864,11.35141818439583,3.435694057471264,0.6445269652988429,-0.23794606849139022,0.1262994839946554
klebsiella,Proteobacteria,Bacteria,1246,80.0,64.0,311.7690124511719,0.13489983536083924,14.583650308706922,5.622734930159652,1.4706425801245437,1.087192500721956,0.1656085122783746
longimicrobium,Gemmatimonadetes,Bacteria,1288,101.0,70.0,159.05999755859375,0.8791417427527891,3.079902045426502,6.818398666666667,-1.4695627342897255,1.8116509014959499,0.2892347361406029
marinomonas,Proteobacteria,Bacteria,6535,63.0,65.0,353.89898681640625,0.5136739009522704,12.070173868643922,4.308140095238096,0.8282313748726554,0.2906731761874071,0.1199407273308305
niastella,Bacteroidetes,Bacteria,45883,99.0,66.0,245.48699951171875,0.408900670699946,2.051352825876699,8.77469725,-1.7324462581851459,2.99698160932392,0.4595472315453532
ponticaulis,Proteobacteria,Bacteria,952,130.0,65.0,152.51199340820312,1.0460016927412614,7.909414587901631,3.4136534,-0.23520345256405534,-0.25130060871545573,0.1266866915868326
pseudoleptotrichia,Fusobacteria,Bacteria,427,79.0,59.0,277.4840087890625,0.383703604330731,9.622148436218644,2.2863916666666664,0.20254857814344507,-0.9343139072287503,0.2423209274644864
salinicoccus,Firmicutes,Bacteria,1159,122.0,55.0,356.5710144042969,1.1204624390741047,13.719240188127674,2.4782713571428574,1.249710830559656,-0.8180530811628134,0.132489251410708
streptobacillus,Fusobacteria,Bacteria,884,79.0,59.0,277.4840087890625,0.383703604330731,10.434821333211191,1.6291606206896552,0.4102569803035386,-1.3325333546952254,0.2143370560716949
sulfurospirillum,Proteobacteria,Bacteria,1488,43.0,63.0,416.53900146484375,0.9835479000447173,15.702665166873029,2.4836548181818183,1.7566479200875638,-0.8147912162623119,0.0845250200403809
tenacibaculum,Bacteroidetes,Bacteria,5710,57.0,55.0,416.53900146484375,1.1824718891603305,11.14017938283696,3.0520154866071425,0.590537132355751,-0.4704187574026526,0.0433838008318296
variibacter,Proteobacteria,Bacteria,78030,91.0,63.0,297.093994140625,0.14461995798831478,5.887764382427306,4.585781333333333,-0.7519104025062384,0.4588973358721287,0.473750621636708
acetanaerobacterium,Firmicutes,Bacteria,612,92.0,63.0,335.0920104980469,0.2678788722358405,8.52387387905731,2.346351,-0.07815581626329621,-0.8979842591748246,0.2677484640548389
acetomicrobium,Synergistetes,Bacteria,2588,51.0,55.0,335.697998046875,1.0295131612701747,11.203066075492751,1.963748125,0.6066101360168872,-1.1298051787954022,0.1924141178334138
agathobaculum,Firmicutes,Bacteria,553,122.0,55.0,356.5710144042969,1.1204624390741047,9.83880696032343,2.439320142857143,0.2579236202085944,-0.8416538089828867,0.1018985336138848
alkalibacterium,Firmicutes,Bacteria,407,80.0,61.0,245.48699951171875,0.36594049555510727,13.68870146381781,2.1185355,1.241905538105726,-1.0360187648324772,0.1716860037954161
alkalihalobacillus,Firmicutes,Bacteria,14655,80.0,59.0,347.3320007324219,0.4796487658424055,8.613427845140345,4.2956185,-0.05526701159041578,0.2830862814908835,0.3270195930873961
aurantimonas,Proteobacteria,Bacteria,1685,79.0,59.0,277.4840087890625,0.383703604330731,9.709228038697098,4.5317712000000006,0.22480496833250002,0.4261723366724672,0.4575655049774919
desulfocapsa,Proteobacteria,Bacteria,3986,57.0,61.0,416.53900146484375,0.8921050783823263,7.51796687293329,4.389484625,-0.3352522910403798,0.33996021747142224,0.0564499466749194
desulfococcus,Proteobacteria,Bacteria,363,61.0,65.0,347.3320007324219,0.5215856451169675,8.588111138746246,4.4247215,-0.061737625600720006,0.36131040927815006,0.1843376816836647
marinibacterium,Proteobacteria,Bacteria,3020,71.0,64.0,216.41900634765625,0.4257693547787759,7.037583313529901,6.110052,-0.4580319505035047,1.3824602539430857,0.0432691276908657
microvirga,Proteobacteria,Bacteria,41620,99.0,69.0,245.48699951171875,0.554084076088948,6.99744030159861,6.716741833333333,-0.4682919713519895,1.7500565379171364,0.3478248247764948
pandoraea,Proteobacteria,Bacteria,801,78.0,59.0,560.7440185546875,1.1232970603487797,8.142476140435855,5.526574376623376,-0.17563601422449632,1.0289283594710488,0.5571930021000934
parafilimonas,Bacteroidetes,Bacteria,28880,80.0,63.0,248.1009979248047,0.261597136142303,1.974128389413934,3.039316,-1.7521837987931252,-0.47811343733410117,0.5886047889730722
rhodobaculum,Proteobacteria,Bacteria,175,61.0,69.0,347.3320007324219,0.7151635189689701,14.16391461222874,2.541670222222222,1.3633637091696083,-0.7796394043037486,0.2313281865008408
salmonella,Proteobacteria,Bacteria,10684,91.0,66.0,217.97999572753903,0.3808345602388674,15.475139590594194,4.846482938711912,1.6984954037746387,0.6168576907320419,0.1836480408569124
sneathia,Fusobacteria,Bacteria,936,84.0,61.0,241.8249969482422,0.3227431343816148,4.5595710811483965,1.31591325,-1.091378975150063,-1.5223314411366928,0.224955254451604
streptacidiphilus,Actinobacteria,Bacteria,3945,90.0,53.0,523.5830078125,1.2696699135663971,2.586637683218984,9.66505675,-1.5956345559239848,3.5364547068089243,0.430151869159695
succinivibrio,Proteobacteria,Bacteria,1460,99.0,61.0,233.7469940185547,0.51116624068529,9.749961161311738,2.2564192447552447,0.2352158136364201,-0.9524743416237134,0.1811302977962852
syntrophorhabdus,Proteobacteria,Bacteria,8977,68.0,62.0,335.697998046875,0.46218474660040765,10.140463550088404,3.2542891000000003,0.3350230392897751,-0.3478602035190482,0.1946224109312789
ureibacillus,Firmicutes,Bacteria,441,80.0,57.0,558.260986328125,1.186019814190413,7.950653398893916,3.773274785714286,-0.22466336002511575,-0.03340428383417444,0.3862203809969345
aeromicrobium,Actinobacteria,Bacteria,37982,99.0,65.0,248.1009979248047,0.3529517797501424,13.953637444887937,3.51162915,1.3096196571645007,-0.191936631208711,0.3082644197935794
methylocystis,Proteobacteria,Bacteria,19864,91.0,63.0,291.7300109863281,0.1392461101930632,12.701595929270406,3.1492105576923075,0.9896144698260035,-0.411527797000041,0.4514719062383273
actinocatenispora,Actinobacteria,Bacteria,643,91.0,70.0,255.49099731445312,0.4660061120089271,2.8588839174485834,6.995737,-1.526052033219956,1.919101049426265,0.3472025737891058
anoxybacillus,Firmicutes,Bacteria,4463,76.0,65.0,252.6439971923828,0.2823057944092338,15.009065020834957,2.731682482758621,1.5793729320761243,-0.664510063007678,0.4084577184844581
chryseolinea,Bacteroidetes,Bacteria,61329,101.0,70.0,245.48699951171875,0.629368795778862,3.6102537286320486,5.262788,-1.3340118858374108,0.8690989268976234,0.533330016252208
limnoglobus,Planctomycetes,Bacteria,9197,63.0,60.0,356.302001953125,0.6857446233461181,4.873636904678222,5.334825,-1.0111079206829023,0.9127464911944356,0.561059696750274
pacificibacter,Proteobacteria,Bacteria,1722,66.0,60.0,342.3429870605469,0.6050678692997777,9.248101120792787,3.892691,0.10694705075537252,0.03895057396275728,0.0172335978705343
planktosalinus,Bacteroidetes,Bacteria,548,61.0,79.0,235.2030029296875,1.2119094908182357,5.699951918530588,2.807041222222222,-0.7999127745874317,-0.6188498408154127,0.3598703442711617
orientia,Proteobacteria,Bacteria,67,157.0,65.0,245.48699951171875,1.1403234878174275,2.9903106459295272,2.0064805,-1.4924611064461846,-1.1039134275374658,0.2776961907902944
kordiimonas,Proteobacteria,Bacteria,3883,70.0,63.0,258.31201171875,0.3665386910345603,5.907693580118616,4.062499125,-0.7468167641874097,0.14183813249599117,0.0480582054779071
nevskia,Proteobacteria,Bacteria,3366,79.0,56.0,374.0989990234375,0.7156335847376122,6.68246153959976,4.19007275,-0.5487963607702396,0.21913560462510298,0.3892325766727226
rhodopirellula,Planctomycetes,Bacteria,16386,63.0,70.0,347.3320007324219,0.7366677362050579,4.492367075649042,7.345793307692308,-1.1085554266506439,2.131201847592548,0.0779419413538587
acaryochloris,Cyanobacteria,Bacteria,1155,57.0,66.0,312.2059936523437,0.5222468980342206,6.338244675839647,6.153123142857143,-0.6367736207880884,1.4085572662727819,0.0641151121326881
caldithrix,Calditrichaeota,Bacteria,96,76.0,61.0,186.56399536132807,0.5900077377847991,6.8451919573021085,4.96699,-0.5072046266680141,0.6898734979670971,0.1063159948910675
draconibacterium,Bacteroidetes,Bacteria,3373,63.0,62.0,416.53900146484375,0.7630398562385862,5.60520723752366,4.995355,-0.8241282570748428,0.707059987705413,0.1019095613712213
morganella,Proteobacteria,Bacteria,491,81.0,59.0,277.4840087890625,0.35681335310381784,16.56007434260241,3.985489354368932,1.975790321104274,0.0951775425893835,0.3109495119825685
parvibaculum,Proteobacteria,Bacteria,20252,99.0,66.0,280.3710021972656,0.30808634235217913,10.541325059539762,3.6048599,0.43747791864376007,-0.13544767199240562,0.526575046022981
acidipropionibacterium,Actinobacteria,Bacteria,33,89.0,60.0,286.6839904785156,0.27212220006094895,9.888963607583824,3.3370534375,0.27074299329057794,-0.29771289390712286,0.3729363105195635
amphiplicatus,Proteobacteria,Bacteria,4714,63.0,70.0,353.89898681640625,0.7556462432672738,6.644200830778216,3.160651,-0.5585752899362612,-0.4045959780568732,0.2874962246189661
aneurinibacillus,Firmicutes,Bacteria,12339,101.0,60.0,379.58599853515625,0.6626554731083463,8.576934336386966,5.013446333333333,-0.0645942678831149,0.718021613465532,0.3761038924954203
brooklawnia,Actinobacteria,Bacteria,5616,78.0,63.0,280.3710021972656,0.1952274815082522,11.111971945974828,2.879776888888889,0.5833276860196578,-0.5747789510295414,0.2220656696240108
enterococcus,Firmicutes,Bacteria,7758,79.0,59.0,335.697998046875,0.45947177024138725,18.72240956977061,2.991067992146597,2.528454494637932,-0.5073471370297364,0.1974481463991197
fournierella,Firmicutes,Bacteria,1205,122.0,55.0,356.5710144042969,1.1204624390741047,7.367278478214958,2.7147066666666664,-0.37376624395654445,-0.6747957915133687,0.2220966143299848
lentibacter,Proteobacteria,Bacteria,82,72.0,64.0,16.95800018310547,0.9887640244867527,9.384746262028491,2.7704531666666665,0.14187173454148458,-0.6410187194105295,0.0213994942059787
