genus_lower,Cu_sd,Zn_sd,metal_niche_composite,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z
13-2-20cm-66-19,7341.05541136203,431.4666449810753,7353.724091806747,-0.0902688862432739,0.0192557332485873,-0.2032505500329075,
40cm-4-65-16,20.5,11.499999999999998,23.50531854708632,-0.5362917904435183,-0.6619666035837963,-0.3368945159452916,
acidiferrum,54034.86284526561,721.3547092128971,54039.677601954376,0.7564832090155822,0.7819754086993455,0.6454278335240168,
allosphingosinicella,14561.927004500243,521.4754986115588,14571.26126250043,0.1643592130983914,0.3654360563021103,-0.0790486141524115,
bacillus_a,295.3778544899345,4.160251471689219,295.4071505826909,-0.5863098457683955,-0.5495598054896725,-0.5636051948307033,
bog-1198,79249.77350603456,43.878723013931626,79249.7856533386,0.3293097137956385,0.4623952412740522,0.1441661389186279,
dasrjg01,28592.943966000727,53452.24838248488,60619.298097105304,-0.8889411637190341,-0.8389578094953051,-0.8480851408685439,
epibacterium,6632.982046705922,41.08255157552953,6633.1092715232,-0.5307013764123414,-0.4213826601121815,-0.5954383469035247,
jaaxqd01,25347.0775408363,102299.83742425288,105393.22120938204,-0.788584564604968,-0.8180761357370103,-0.6695447094631086,
jabfxx01,14181.25593873829,3311.426704334828,14562.745854342917,0.613442573518915,0.9782338050533896,0.137486432049372,
listeria,19037.47085330402,92729.8613755589,94663.89220405408,-1.0244616043405752,-0.9816845238945744,-0.9607505981682778,
longimicrobium,14662.61105643958,41.08850388509116,14662.668626739667,0.4226659495276678,0.2212548311081337,0.6024540321301172,
methanosarcina,2829.4863285789856,40186.58743043313,40286.07454428219,-0.890021410035653,-0.9556597455085744,-0.7193879548582507,
palsa-744,14934.997459444923,35.88802564387438,14935.04057791645,-0.0493746051940226,-0.2468905712204136,0.1775049497777769,
palsa-881,17657.841914055574,39.496476636108525,17657.886086206483,0.3822758286522918,0.8221368430345425,-0.152663880139948,
peribacillus,549.9636351614532,7.745966692414833,550.0181815176659,1.057891910773608,0.63425630937283,1.4176362037960422,
phenylobacterium,16188.396843243414,102437.59851626148,103708.85103082143,0.9108254024087956,1.2506614738962278,0.4304350845056801,
pseudomonas_e,462.734148468741,11.536227522658589,462.8779285130642,0.768109341001622,0.7438740053223696,0.7115516476170984,
psrf01,15788.787781918849,3468.0650061990214,16165.187735058698,0.6010670881476091,0.7799684830014226,0.3349193460858347,
qhvt01,14580.043765522294,36.84724816006885,14580.090326340318,0.6298500569211545,0.7102765885443694,0.4709955312955797,
rhizomicrobium,18053.188096099864,2671.0360773159787,18249.713262390876,0.4918598172165695,0.7694981788232683,0.1268923955402013,
shzi01,55511.79070009154,103774.90433255416,117689.37792324988,-0.9971266844136546,-0.964804109472492,-0.9246717785206762,
streptomyces,15669.77422493072,28949.361138496708,32918.19154491034,0.0046038933436802,-0.1471315084225921,0.1742600558443005,
uba3076,16786.049451372568,4843.306667218923,17470.80638255294,0.490204542501498,0.4691251514311621,0.4604035503691831,
udaeobacter,9735.454225196554,33.1754040803942,9735.51075076872,0.5552729794994876,0.4602001282709959,0.6013557755994231,
