genus_lower,ko_per_mb_primary,mean_genome_mb,predictor_z,genome_mb_z,pH_sd,pH_n,temp_sd,temp_n,georoc_Cu_sd,georoc_Cu_n,georoc_Ni_sd,georoc_Ni_n,georoc_Zn_sd,georoc_Zn_n,georoc_Co_sd,georoc_Co_n,georoc_Cr_sd,georoc_Cr_n,georoc_Pb_sd,georoc_Pb_n,georoc_As_sd,georoc_As_n,georoc_Cd_sd,georoc_Cd_n,georoc_Hg_sd,georoc_Hg_n,total_n,PF1_As_sd,PF1_Cd_sd,PF1_Cr_sd,PF1_Cu_sd,PF1_Hg_sd,PF1_Pb_sd,PF1_As_n,PF1_Cd_n,PF1_Cr_n,PF1_Cu_n,PF1_Hg_n,PF1_Pb_n,Cu_ICP_MS_mg_kg_0_2_sd,Ni_ICP_MS_mg_kg_0_5_sd,Zn_ICP_MS_mg_kg_0_9_sd,Pb_ICP_MS_mg_kg_0_1_sd,As_ICP_MS_mg_kg_0_4_sd,Co_ICP_MS_mg_kg_0_1_sd,Cr_ICP_MS_mg_kg_0_5_sd,Hg_AR_mg_kg_0_01_sd,Cu_MMI_ME_mg_kg_0_01_sd,Ni_MMI_ME_mg_kg_0_005_sd,Zn_MMI_ME_mg_kg_0_02_sd,Pb_MMI_ME_mg_kg_0_01_sd,As_MMI_ME_mg_kg_0_01_sd,Co_MMI_ME_mg_kg_0_005_sd,Cr_MMI_ME_mg_kg_0_001_sd,Hg_MMI_ME_mg_kg_0_001_sd,Cu_ICP_MS_mg_kg_0_2_n,Ni_ICP_MS_mg_kg_0_5_n,Zn_ICP_MS_mg_kg_0_9_n,Pb_ICP_MS_mg_kg_0_1_n,As_ICP_MS_mg_kg_0_4_n,Co_ICP_MS_mg_kg_0_1_n,Cr_ICP_MS_mg_kg_0_5_n,Hg_AR_mg_kg_0_01_n
achromobacter,8.800642198780132,6.476800068965517,0.0509542996496222,1.680326135893138,1.0181193259453687,132262,5.909786996692748,177864,113.0849478631663,40290,201.5122953111365,63851,80.06518011784068,74767,32.220303880860115,64219,332.58558593322425,97008,14.560480729657558,71166,7.637828239239206,28782,0.1931297587787714,960,0.0625825620675771,98,196992,0.0337850760979814,0.0594812932726342,0.0407938634859672,0.0306032641806785,0.0522458482311648,0.0242004543176316,18561,18561,18561,18561,18561,18561,10.24756621204603,11.020135872404394,29.263314954940093,16.426343153635102,17.99288625112595,6.7364233731180345,33.90376473858556,0.1983281800121637,1.7764876536711467,0.9268899937529218,2.3215826530258235,0.8360869793380835,0.1671738107597974,0.2935897548836099,0.1029845513259868,0.0362843622660636,663.0,665.0,660.0,667.0,653.0,664.0,667.0,472.0
marinomonas,12.070173868643922,4.308140095238096,0.9046709159078602,0.3516728941997923,1.067199225902827,47154,6.024280160841337,175197,69.43711926034193,44289,133.88164321161818,63738,141.1854744677856,96100,50.61284157474505,33640,261.74411194071746,62677,14.982021349250289,90817,6.022111416052259,7900,0.3750246655096873,384,0.8441699993527094,124,186005,0.0385418119954495,0.0581321844742576,0.0505770680446839,0.0393366685480326,0.0534782642878448,0.023898241371708,13263,13263,13263,13263,13263,13263,9.288344665907289,14.40851628412818,28.534273471571737,8.774262573709105,3.207329400310853,6.58268350847189,51.14675651815737,0.0177711505152099,0.7405744841093002,1.5991545570591947,2.6527034026055896,0.7316751996486132,0.0314025340016274,0.2510876996621873,0.1132940416655929,0.0002236067977499,1388.0,1388.0,1337.0,1389.0,1379.0,1337.0,1389.0,1068.0
actinotalea,10.272412611997389,3.504532125,0.4352524144720332,-0.1406663141788729,1.0643287790122482,113072,5.429084012351157,143420,148.58197451846684,14251,188.82691936454347,24162,47.58710407988686,55405,44.35603624965038,41828,261.00113443965535,47193,16.150978495615675,58526,4.878137616287927,26732,0.4358421082462487,867,0.1324699956253225,75,153866,0.0322975852004086,0.061608401636528,0.0395940595853557,0.0289745447025304,0.0533411127906284,0.024250522932467,11729,11729,11729,11729,11729,11729,10.45925456911026,11.96604132757415,35.754992104166845,13.79293297269802,3.7511061109423673,7.20619349339335,34.642706475819665,0.1704666854057447,1.7512145268066146,1.1273541886421057,2.289686621404257,0.7526278724568554,0.0132840917763199,0.3068264988748425,0.0962920801934015,0.0004879500364742,469.0,473.0,464.0,475.0,457.0,469.0,475.0,323.0
hyphomonas,11.35141818439583,3.435694057471264,0.7169945962904337,-0.1828407088197988,0.6285376143372707,292352,5.871703696745183,537950,51.89915459582325,181180,160.4753246824316,231537,104.78152283549898,240739,46.75459557915626,85379,316.1714667476075,220112,21.419688599266813,234860,20.304067536902345,4043,0.4693234531016196,1719,0.7370580949170401,208,570349,0.0378417929815898,0.0595148334317963,0.0483354441430348,0.0373912415131432,0.052953587874059,0.023987587851205,34305,34305,34305,34305,34305,34305,10.014419141821929,13.655739714206314,31.577564242328584,10.19468568175884,3.7484960022169433,6.828238097387724,44.30192450790377,0.0724994542318174,1.157240802245789,1.5026061024856694,2.6809034760013155,0.7994973608087785,0.1960529862330555,0.2790454337607185,0.115214907469234,0.0399451399753496,2664.0,2666.0,2483.0,2669.0,2641.0,2548.0,2669.0,1886.0
variibacter,5.887764382427306,4.585781333333333,-0.7096354251331995,0.5217728340206752,0.9055364836848512,723733,6.030632511590664,772806,167.9880488244339,109931,208.9322880333578,230960,118.63500380053408,167570,38.41869184406822,167750,340.83697766254414,263067,15.33941867869373,206809,6.716780281893137,51904,0.1996202221573071,6312,1.9585216826221896,426,848267,0.0337993789424009,0.0598586349023675,0.041382231778799,0.0307040743440811,0.0527148873102659,0.0258452467847583,84236,84236,84236,84236,84236,84236,11.073344039104931,13.760185935859576,32.421834557230376,16.34470827264724,16.76217024942887,7.194200930499424,52.18444362552268,0.12368597351171,1.7353889066341632,1.0867807286394175,2.211480639143952,0.877996030408101,0.0984709518843459,0.3155871814828848,0.1245050173172338,0.0221535224011567,3503.0,3505.0,3506.0,3557.0,3398.0,3529.0,3557.0,2497.0
ponticaulis,7.909414587901631,3.4136534,-0.1817566501442375,-0.1963441585781834,0.798983973366751,12484,7.673272743456286,37227,32.210696359990635,14114,163.49148518681469,17978,80.90884368152098,21870,21.32402970537897,6380,183.4646518904852,17061,10.79096377000459,17648,1.7519311265871031,113,0.5549124972983559,99,0.0,2,40226,0.036905059758827,0.0493895383554255,0.0476024076706116,0.0391975063380418,0.0535491356870276,0.0189344232173924,3642,3642,3642,3642,3642,3642,8.81063295598173,14.360445642540984,25.21908954800632,7.505754567004573,2.7708014678273627,7.12655916896944,54.464458746091765,0.0137374668516289,0.8313425113954865,1.6188196278885996,1.6271615374273471,0.4409434233490852,0.1825199382299339,0.2409383174709022,0.110405267978195,0.0577350269189625,517.0,517.0,463.0,517.0,514.0,501.0,517.0,406.0
tenacibaculum,11.14017938283696,3.0520154866071425,0.6618374382939194,-0.4179055798104776,0.8221339112459932,24979,6.548599442184752,152262,30.69610688703489,47426,130.43750350825988,66395,54.48443551809598,85566,67.98082722476033,22333,244.5040847785627,61674,14.146832176021348,65289,11.044679125123102,941,0.3969885495353271,785,0.6712828605562428,110,163501,0.0369279297980002,0.0585358503578158,0.0488991405807644,0.0379675432831605,0.0529935991518601,0.0229219679285011,11158,11158,11158,11158,11158,11158,10.944376890546126,14.79966418623434,33.70169415735413,10.180237944002917,3.7579788223543065,7.051482047879831,43.560816129747415,0.0222400434174605,1.0334017953856651,1.6479889995366883,2.9288379421135544,0.7359887191758954,0.1509485465965822,0.2437311749285488,0.1071382687169573,0.0346269479672339,1682.0,1683.0,1560.0,1685.0,1680.0,1578.0,1685.0,1243.0
aquidulcibacter,5.28055593692904,3.408732,-0.8681853312963047,-0.1993593080911938,0.5670059519432255,56830,3.4638687520653133,208092,116.6331036473044,46598,166.26030851055089,56543,137.27371480409198,52638,32.620111741202514,23842,296.1685774154699,55636,10.434078195607771,58226,14.9302316620534,5817,0.1241928148609952,836,0.0917436790125641,47,216205,0.0343984142140217,0.0599613399739644,0.0489126970644494,0.0331431539952808,0.0541836617256534,0.0218922745873408,10491,10491,10491,10491,10491,10491,9.377152903255986,10.93888923922721,26.30108587887504,8.371250149268306,2.8659973685795213,4.866467637378466,33.12355604378846,0.0191480900000326,1.368993192867394,1.2064455429732226,2.089125776074402,0.5780847643889717,0.0121759756139985,0.3042663962706238,0.0856301114427899,0.0,204.0,204.0,201.0,204.0,199.0,202.0,204.0,176.0
desulfitobacterium,7.0475538254554495,4.966262176470588,-0.4067995394923479,0.7548785821604572,0.6156360930671111,64833,6.290679782108739,74366,143.44733067049842,9464,160.34152490591234,26568,132.94026613821168,10481,28.06050847526345,19236,314.7878071217517,25684,18.38137282771795,29609,15.880401842557028,1209,0.1975070654872561,379,0.0660120441382918,20,82154,0.0329975710152177,0.0556772542147066,0.0368557282582514,0.0299036262743042,0.0520710995202117,0.0225743574899135,7960,7960,7960,7960,7960,7960,9.205604826503585,10.60991373010494,29.021697259571432,12.115314553820395,2.7143200881256098,8.154068407315028,29.201964463967773,0.0236097176700974,1.6132298912217402,0.8047143880439016,1.9781817267704376,0.7692199390293661,0.3041340425018078,0.3106363291260386,0.1503770863315914,0.0540435009968821,243.0,243.0,244.0,246.0,241.0,246.0,246.0,163.0
klebsiella,14.583650308706922,5.622734930159652,1.560971823231624,1.1570737915704328,0.7350073650667335,3097,6.47646551855897,4784,71.84858805089121,1919,149.35249953884238,3161,51.74956040717695,2002,27.838468099756167,614,298.0311237401873,2941,19.5059342028674,2277,15.208939493179498,67,0.1819919672200324,56,0.0,2,7558,0.0319961140730236,0.0529718752064378,0.0376080489896487,0.0268856655747326,0.0520325297730657,0.0237626767067966,1230,1230,1230,1230,1230,1230,6.7279677058194505,10.753647477295043,16.427391023049758,5.72422176677012,4.074424384613618,7.923344975728094,34.94516033400377,0.0187487373312218,1.972713309682327,1.0929040857547112,0.8783363394934341,0.1779236301951435,0.0,0.2765524511584705,0.1141897639799741,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0
