"response","model","predictor","n","lambda","beta","SE","t","p"
"pH_sd","pH_sd ~ KO_primary + genome","predictor_z",1573,0.324996775353856,0.0135137268069672,0.00673300521017869,2.00708693742546,0.0449115488237246
"pH_sd","pH_sd ~ KO_primary + genome","genome_mb_z",1573,0.324996775353856,0.0419474296142211,0.00743563918490038,5.64140197918751,1.99735409297978e-08
"temp_sd","temp_sd ~ KO_primary + genome","predictor_z",1573,0.444326605079318,0.0960277074403884,0.0516716745378169,1.85842065888747,0.0632963396569815
"temp_sd","temp_sd ~ KO_primary + genome","genome_mb_z",1573,0.444326605079318,0.124195432462111,0.0582470797178654,2.13221732426214,0.0331438034265916
"georoc_Cu_sd","GeoROC_Cu_sd ~ KO_primary + genome","predictor_z",1571,0.522229352264741,1.02082307091698,3.03879368537291,0.335930364680782,0.736968323134308
"georoc_Cu_sd","GeoROC_Cu_sd ~ KO_primary + genome","genome_mb_z",1571,0.522229352264741,11.6000580530986,3.46786724792746,3.34501214255859,0.000842212214471464
"georoc_Ni_sd","GeoROC_Ni_sd ~ KO_primary + genome","predictor_z",1573,0.48034284834093,3.05896226786121,1.96179875910958,1.55926404462077,0.119135438929993
"georoc_Ni_sd","GeoROC_Ni_sd ~ KO_primary + genome","genome_mb_z",1573,0.48034284834093,9.51028204567126,2.22419214806905,4.27583653414464,2.01891913406153e-05
"georoc_Zn_sd","GeoROC_Zn_sd ~ KO_primary + genome","predictor_z",1570,0.0509289807712349,5.9034779355232,2.44103265064936,2.41843464648159,0.0157008047987426
"georoc_Zn_sd","GeoROC_Zn_sd ~ KO_primary + genome","genome_mb_z",1570,0.0509289807712349,7.28998444822904,2.50190980788852,2.91376788453513,0.0036215945276911
"georoc_Co_sd","GeoROC_Co_sd ~ KO_primary + genome","predictor_z",1570,0.0918168378191448,1.8237422986942,0.500510484311729,3.64376442823591,0.000277440165970798
"georoc_Co_sd","GeoROC_Co_sd ~ KO_primary + genome","genome_mb_z",1570,0.0918168378191448,1.65010382927909,0.521557287692443,3.16380169200538,0.00158712278185975
"georoc_Cr_sd","GeoROC_Cr_sd ~ KO_primary + genome","predictor_z",1573,0.331680918066412,6.16701069373718,4.35777374273418,1.41517459551901,0.157215625862627
"georoc_Cr_sd","GeoROC_Cr_sd ~ KO_primary + genome","genome_mb_z",1573,0.331680918066412,6.83617754469354,4.81853530910136,1.41872521547808,0.156177620462484
"georoc_Pb_sd","GeoROC_Pb_sd ~ KO_primary + genome","predictor_z",1570,0.154288053252982,0.40434015662762,0.160394281368014,2.52091379554791,0.0118036096893751
"georoc_Pb_sd","GeoROC_Pb_sd ~ KO_primary + genome","genome_mb_z",1570,0.154288053252982,0.756615664605724,0.170529740056077,4.43685461759878,9.76516096662534e-06
"georoc_As_sd","GeoROC_As_sd ~ KO_primary + genome","predictor_z",1520,0.744090716088885,0.280991660528714,0.797461608342605,0.352357602659656,0.724619038427507
"georoc_As_sd","GeoROC_As_sd ~ KO_primary + genome","genome_mb_z",1520,0.744090716088885,-0.917727165682342,0.931812823582987,-0.984883597280317,0.324838302704409
"georoc_Cd_sd","GeoROC_Cd_sd ~ KO_primary + genome","predictor_z",1512,0.16124519688523,0.0402246008621776,0.00664296333467718,6.05521946089928,1.76674349812589e-09
"georoc_Cd_sd","GeoROC_Cd_sd ~ KO_primary + genome","genome_mb_z",1512,0.16124519688523,0.0240891491057473,0.00706244872696397,3.41087773335281,0.000664633835389719
"georoc_Hg_sd","GeoROC_Hg_sd ~ KO_primary + genome","predictor_z",1169,0.19314304763899,0.0224047288495424,0.0328904333518393,0.681192874836034,0.495884715803785
"georoc_Hg_sd","GeoROC_Hg_sd ~ KO_primary + genome","genome_mb_z",1169,0.19314304763899,0.185209637534734,0.0347773376500085,5.32558413178845,1.20664438527106e-07
"PF1_As_sd","CSU_As_sd ~ KO_primary + genome","predictor_z",1574,0.491008612147794,0.00015313010567449,0.000230858030232083,0.663308551669384,0.507230276875136
"PF1_As_sd","CSU_As_sd ~ KO_primary + genome","genome_mb_z",1574,0.491008612147794,-0.000228019619365327,0.000262270716441382,-0.869405561014242,0.384758149568307
"PF1_Cd_sd","CSU_Cd_sd ~ KO_primary + genome","predictor_z",1574,0.37881021382196,0.000122521268019715,0.000149456676011846,0.819777819827891,0.412467130360265
"PF1_Cd_sd","CSU_Cd_sd ~ KO_primary + genome","genome_mb_z",1574,0.37881021382196,0.000304423438463068,0.000166697197064309,1.82620610198759,0.0680089323448432
"PF1_Cr_sd","CSU_Cr_sd ~ KO_primary + genome","predictor_z",1574,0.525648003683367,0.000313183653276759,0.000240239871408395,1.30362895817723,0.192551120693408
"PF1_Cr_sd","CSU_Cr_sd ~ KO_primary + genome","genome_mb_z",1574,0.525648003683367,-0.000499508368478938,0.000274396049566984,-1.82039198183501,0.0688895179330595
"PF1_Cu_sd","CSU_Cu_sd ~ KO_primary + genome","predictor_z",1574,0.517761963609965,6.11697099447211e-05,0.000228169635870909,0.268088738938642,0.788666208777289
"PF1_Cu_sd","CSU_Cu_sd ~ KO_primary + genome","genome_mb_z",1574,0.517761963609965,-0.000410727541749711,0.000260294319859304,-1.57793509275085,0.114781844128328
"PF1_Hg_sd","CSU_Hg_sd ~ KO_primary + genome","predictor_z",1574,0.39322056119837,0.000396739244881989,9.44969411962292e-05,4.19843478381097,2.83834003829173e-05
"PF1_Hg_sd","CSU_Hg_sd ~ KO_primary + genome","genome_mb_z",1574,0.39322056119837,-3.03901575065802e-05,0.000105659412461941,-0.287623760140886,0.773672690733475
"PF1_Pb_sd","CSU_Pb_sd ~ KO_primary + genome","predictor_z",1574,0.363147040666073,0.000163823025596141,7.77281197194444e-05,2.10764168987301,0.0352200758704379
"PF1_Pb_sd","CSU_Pb_sd ~ KO_primary + genome","genome_mb_z",1574,0.363147040666073,0.000527418079039154,8.64565994959369e-05,6.1003796368829,1.32987467913345e-09
"Cu_ICP_MS_mg_kg_0_2_sd","NGSA_ICP_Cu_sd ~ KO_primary + genome","predictor_z",1530,0.258105364365894,0.0816585236506456,0.0751202490598722,1.08703744559689,0.277191816467664
"Cu_ICP_MS_mg_kg_0_2_sd","NGSA_ICP_Cu_sd ~ KO_primary + genome","genome_mb_z",1530,0.258105364365894,0.366662669105936,0.081244365207186,4.51308430031902,6.87872229422929e-06
"Ni_ICP_MS_mg_kg_0_5_sd","NGSA_ICP_Ni_sd ~ KO_primary + genome","predictor_z",1530,0.268742320236537,0.183203293559354,0.0949577394271724,1.92931397340036,0.053876996177983
"Ni_ICP_MS_mg_kg_0_5_sd","NGSA_ICP_Ni_sd ~ KO_primary + genome","genome_mb_z",1530,0.268742320236537,0.55933423388589,0.102915239442376,5.4349019340238,6.37300533247086e-08
"Zn_ICP_MS_mg_kg_0_9_sd","NGSA_ICP_Zn_sd ~ KO_primary + genome","predictor_z",1526,0.394223392948121,0.512240101171929,0.214404567080086,2.38912868390809,0.0170094660614268
"Zn_ICP_MS_mg_kg_0_9_sd","NGSA_ICP_Zn_sd ~ KO_primary + genome","genome_mb_z",1526,0.394223392948121,1.09329626757272,0.237485996100261,4.60362415268965,4.49712061103877e-06
"Pb_ICP_MS_mg_kg_0_1_sd","NGSA_ICP_Pb_sd ~ KO_primary + genome","predictor_z",1530,0.345048954363541,0.273907875379917,0.162449420381341,1.68611174319326,0.091978563301086
"Pb_ICP_MS_mg_kg_0_1_sd","NGSA_ICP_Pb_sd ~ KO_primary + genome","genome_mb_z",1530,0.345048954363541,1.31330265493911,0.178544407047574,7.35560792217463,3.08846221589428e-13
"As_ICP_MS_mg_kg_0_4_sd","NGSA_ICP_As_sd ~ KO_primary + genome","predictor_z",1527,0.305094616844699,0.404058337738775,0.246903447442921,1.63650342643428,0.101940740712343
"As_ICP_MS_mg_kg_0_4_sd","NGSA_ICP_As_sd ~ KO_primary + genome","genome_mb_z",1527,0.305094616844699,2.19621797784551,0.269432563278407,8.1512715134441,7.43548513037686e-16
"Co_ICP_MS_mg_kg_0_1_sd","NGSA_ICP_Co_sd ~ KO_primary + genome","predictor_z",1529,0.125617593453292,0.0605366412966799,0.0592595172584056,1.02155137431689,0.307155199898538
