Response,Source,n,lambda,beta_ko,SE_ko,p_ko,sig,beta_genome,p_genome
pH_sd,pH/Temp,1573,0.325,0.013514,0.006733,0.0449115488237246,*,0.041947,1.99735409297978e-08
temp_sd,pH/Temp,1573,0.444,0.096028,0.051672,0.0632963396569815,.,0.124195,0.0331438034265916
georoc_Cu_sd,GeoROC,1571,0.522,1.020823,3.038794,0.736968323134308,,11.600058,0.0008422122144714
georoc_Ni_sd,GeoROC,1573,0.48,3.058962,1.961799,0.119135438929993,,9.510282,2.01891913406153e-05
georoc_Zn_sd,GeoROC,1570,0.051,5.903478,2.441033,0.0157008047987426,*,7.289984,0.0036215945276911
georoc_Co_sd,GeoROC,1570,0.092,1.823742,0.50051,0.0002774401659707,***,1.650104,0.0015871227818597
georoc_Cr_sd,GeoROC,1573,0.332,6.167011,4.357774,0.157215625862627,,6.836178,0.156177620462484
georoc_Pb_sd,GeoROC,1570,0.154,0.40434,0.160394,0.0118036096893751,*,0.756616,9.76516096662534e-06
georoc_As_sd,GeoROC,1520,0.744,0.280992,0.797462,0.724619038427507,,-0.917727,0.324838302704409
georoc_Cd_sd,GeoROC,1512,0.161,0.040225,0.006643,1.76674349812589e-09,***,0.024089,0.0006646338353897
georoc_Hg_sd,GeoROC,1169,0.193,0.022405,0.03289,0.495884715803785,,0.18521,1.20664438527106e-07
PF1_As_sd,CSU,1574,0.491,0.000153,0.000231,0.507230276875136,,-0.000228,0.384758149568307
PF1_Cd_sd,CSU,1574,0.379,0.000123,0.000149,0.412467130360265,,0.000304,0.0680089323448432
PF1_Cr_sd,CSU,1574,0.526,0.000313,0.00024,0.192551120693408,,-0.0005,0.0688895179330595
PF1_Cu_sd,CSU,1574,0.518,6.1e-05,0.000228,0.788666208777289,,-0.000411,0.114781844128328
PF1_Hg_sd,CSU,1574,0.393,0.000397,9.4e-05,2.83834003829173e-05,***,-3e-05,0.773672690733475
PF1_Pb_sd,CSU,1574,0.363,0.000164,7.8e-05,0.0352200758704379,*,0.000527,1.3298746791334502e-09
Cu_ICP_MS_mg_kg_0_2_sd,NGSA-ICP,1530,0.258,0.081659,0.07512,0.277191816467664,,0.366663,6.87872229422929e-06
Ni_ICP_MS_mg_kg_0_5_sd,NGSA-ICP,1530,0.269,0.183203,0.094958,0.053876996177983,.,0.559334,6.37300533247086e-08
Zn_ICP_MS_mg_kg_0_9_sd,NGSA-ICP,1526,0.394,0.51224,0.214405,0.0170094660614268,*,1.093296,4.49712061103877e-06
Pb_ICP_MS_mg_kg_0_1_sd,NGSA-ICP,1530,0.345,0.273908,0.162449,0.091978563301086,.,1.313303,3.08846221589428e-13
As_ICP_MS_mg_kg_0_4_sd,NGSA-ICP,1527,0.305,0.404058,0.246903,0.101940740712343,,2.196218,7.43548513037686e-16
Co_ICP_MS_mg_kg_0_1_sd,NGSA-ICP,1529,0.126,0.060537,0.05926,0.307155199898538,,-0.033066,0.594866190614436
Cr_ICP_MS_mg_kg_0_5_sd,NGSA-ICP,1530,0.231,0.722717,0.407562,0.0763835967440248,.,3.800726,1.07660871087971e-17
Hg_AR_mg_kg_0_01_sd,NGSA-ICP,1511,0.736,0.004484,0.003261,0.169379959136066,,0.015824,3.05402771199133e-05
Cu_MMI_ME_mg_kg_0_01_sd,NGSA-MMI,1530,0.611,0.048147,0.016098,0.0028271396248854,**,0.133184,7.92857732493837e-13
Ni_MMI_ME_mg_kg_0_005_sd,NGSA-MMI,1530,0.392,0.037842,0.010016,0.0001641141439014,***,0.034935,0.0016729342446497
Zn_MMI_ME_mg_kg_0_02_sd,NGSA-MMI,1530,0.456,0.083004,0.023504,0.0004256180099136,***,0.059115,0.0247521719704761
Pb_MMI_ME_mg_kg_0_01_sd,NGSA-MMI,1525,0.329,0.017462,0.010338,0.0913884131960887,.,0.07272,1.81170451842466e-10
As_MMI_ME_mg_kg_0_01_sd,NGSA-MMI,1470,0.17,0.014766,0.003888,0.0001517843220084,***,0.019915,1.54276227038171e-06
Co_MMI_ME_mg_kg_0_005_sd,NGSA-MMI,1529,0.383,0.005602,0.002969,0.0593937655305139,.,0.004282,0.19276644094039
Cr_MMI_ME_mg_kg_0_001_sd,NGSA-MMI,1530,0.23,0.005577,0.001176,2.29522625791421e-06,***,0.009799,1.6654020138302e-14
Hg_MMI_ME_mg_kg_0_001_sd,NGSA-MMI,1072,0.276,0.002461,0.000736,0.0008559712678271,***,0.002755,0.0004113639864346
