genus_lower,Cu_mean,Cu_sd,Cu_n,Zn_mean,Zn_sd,Zn_n,Pb_mean,Pb_sd,Pb_n,Ni_mean,Ni_sd,Ni_n,Co_mean,Co_sd,Co_n,As_mean,As_sd,As_n,Cr_mean,Cr_sd,Cr_n,Hg_mean,Hg_sd,Hg_n,pH_mean,pH_sd,pH_n,ko_per_mb_primary,mean_genome_mb,mean_levins_B_std,phylum,kingdom,Cu_sd_01,Zn_sd_01,Pb_sd_01,Ni_sd_01,Co_sd_01,composite_metal_sd,ko_z,genome_z
acaryochloris,22.43617021276596,17.569878195266035,47,51.83673469387755,29.09175637729091,49,19.205,24.679320621251524,50,26.98510638297872,27.467894133708366,47,10.953999999999995,8.239457333032144,50,9.131999999999998,31.929989997250072,50,100.962,212.97126939508792,50,0.0284090909090909,0.0187942571409437,44,,,0,6.338244675839647,6.153123142857143,0.0641151121326881,Cyanobacteria,Bacteria,0.4326015591932011,0.537993627316181,0.3012395810870903,0.42131091120517605,0.5839797335056163,0.4554250824614529,-0.4676781221120015,0.7364759019822098
acholeplasma,15.727272727272728,18.82283774512283,22,38.409523809523805,33.7288882823301,21,19.770454545454548,37.13482353305545,22,19.12727272727273,17.112601366861952,22,9.345454545454546,6.279272574850058,22,18.063636363636363,48.77201134779138,22,67.22272727272727,71.5768513511921,22,0.0322222222222222,0.024145528280568,18,,,0,10.126890256401287,1.4812049523809525,0.1590991255640901,Tenericutes,Bacteria,0.47185402311634234,0.6664737792401674,0.4604776546316674,0.23646589243867075,0.3912569926441051,0.4453056684141906,0.47203736392431717,-1.6496510145996066
achromobacter,18.231617647058822,12.92359141808546,136,46.696527777777774,27.180776354695578,144,17.113680555555554,20.51004978791704,144,20.4112676056338,14.125873341941029,142,10.824999999999998,6.617168811275944,144,9.169444444444444,27.1597148140423,144,59.07708333333332,44.35145036496016,144,0.0366115702479338,0.0215078946361665,121,,,0,8.800642198780132,6.476800068965517,0.3824708127696951,Proteobacteria,Bacteria,0.2870436246863021,0.4850464589684485,0.24793730495365537,0.1831519195508636,0.4244784981878885,0.3255315612694316,0.14308185421220707,0.9017900607870611
acidiphilium,15.98235294117647,9.515923187880777,17,20.49411764705882,18.690889177224665,17,14.859411764705882,5.513761727020214,17,13.352941176470589,9.316525482110997,17,6.9,6.0566079615573605,17,2.666666666666666,1.8144919267885853,15,38.994117647058815,19.74058226687587,17,0.027,0.0170293863659264,10,,,0,8.78739868528743,3.755377578947369,0.1820723284815553,Proteobacteria,Bacteria,0.18028888205839222,0.24981873271084287,0.056216421578188305,0.09730364703739951,0.3693649059989487,0.19059851787675433,0.13979700360953393,-0.48814426384663695
acidisoma,14.97,15.534250925204889,250,34.89322709163347,32.24311886192499,251,20.53701195219124,29.39056613670204,251,15.6472,12.422816008875015,250,7.575298804780878,5.411604883059975,251,11.904065040650408,38.10304802928872,246,52.113545816733065,47.842929423028565,251,0.0291428571428571,0.022757901439326,210,,,0,3.606221044886869,6.3778675,0.3242780853835226,Proteobacteria,Bacteria,0.3688298388785507,0.6253078420257832,0.36147076285373775,0.1527518457162644,0.3059490669392607,0.3628618712827193,-1.14531472327513,0.8512614222042126
acidobacterium,23.155696202531644,21.759028464097284,79,48.30375000000001,34.62007701601683,80,27.719125,45.03433450196428,80,18.364556962025315,7.467846254832533,79,9.385,4.941559739417085,80,22.943037974683545,59.69188984886732,79,54.36375,23.826781250240984,80,0.0337878787878787,0.0272743977732373,66,,,0,4.680242737094631,4.0596185,0.4013811468140469,Acidobacteria,Bacteria,0.5638384134194289,0.6911657798650772,0.5614693943904208,0.06430417960045876,0.25973485777689886,0.42810252501045687,-0.8789200988518687,-0.33275681456954836
acidocella,15.782352941176471,15.04513701631417,340,39.82248520710059,29.90106977396255,338,20.571407624633437,25.79904455163933,341,16.183823529411764,11.623757716401018,340,8.67624633431085,5.738947842517907,341,9.266272189349111,32.28433927345145,338,50.65747800586509,63.597084964436704,341,0.0288628762541806,0.0209676466921489,299,,,0,10.874682563913618,3.126528043478261,0.2324933956398548,Proteobacteria,Bacteria,0.3535069770469506,0.5604171231942029,0.31555475429521035,0.13848842039421352,0.33813298842172274,0.3412200526704601,0.657515788011692,-0.809321720704003
acidovorax,20.458474576271183,19.174124864511047,118,51.1603305785124,32.25681963900254,121,22.115454545454547,34.16774246273815,121,24.738333333333333,24.047534101411383,120,11.839669421487605,7.787580704117325,121,16.927272727272726,45.3520469953305,121,87.6603305785124,148.0342187239935,121,0.0386407766990291,0.0239299854432131,103,,,0,10.429377269029322,4.794150092592592,0.2811818665887904,Proteobacteria,Bacteria,0.4828590751006831,0.6256874469101057,0.42254484075546866,0.36025647956396606,0.5395518283848306,0.48617993414301086,0.5470646326532357,0.04239650205696756
acinetobacter,17.355757575757575,16.951093034457198,165,43.50186335403728,33.66580882744704,161,19.290666666666667,27.669585004277582,165,22.45757575757576,23.975068736428724,165,10.603636363636364,7.778283487589263,165,11.86829268292683,35.588158498130305,164,80.00484848484848,153.2576002993639,165,0.0332857142857142,0.0234273055081248,140,,,0,16.95406023088738,3.8928728045780656,0.2569934734607408,Proteobacteria,Bacteria,0.41321638254994864,0.6647260485064674,0.33946878332113084,0.35896295150524943,0.5386377385041743,0.46300238087739415,2.1654122691261097,-0.41792020481929865
actinoallomurus,16.106686930091186,15.35677732165877,658,38.70757575757576,30.14950612291281,660,18.08261654135339,24.01208560059681,665,19.415407854984892,20.99356298001565,662,9.161954887218045,7.126603334571331,665,9.217933130699087,30.641510636849397,658,67.2996992481203,132.53611612772826,665,0.0288607594936708,0.0204825074927422,553,,,0,2.7223218138285783,9.550671,0.6691342654168633,Actinobacteria,Bacteria,0.3632699816418984,0.5673005029449241,0.2927092776506998,0.3057421976448586,0.47456541841780503,0.4007174756600372,-1.3645523842964433,2.471733254910543
