"model","predictor","beta","SE","t_stat","p_value"
"A1: Temp ~ KO_density + genome_size","(Intercept)",81.1995987168304,3.5785329939686,22.6907503308443,4.9236159767304e-95
"A1: Temp ~ KO_density + genome_size","ko_per_mb_z",0.0788570965647725,0.885632606572754,0.0890404169624421,0.929064746873301
"A1: Temp ~ KO_density + genome_size","genome_mb_z",0.909619759771692,0.928327473850599,0.979847936632415,0.327360009160819
"A2: Soil_pH ~ KO_density + genome_size","(Intercept)",62.763723129732,1.02764997087097,61.0750011276089,0
"A2: Soil_pH ~ KO_density + genome_size","ko_per_mb_z",-0.760002059049224,0.232660106400581,-3.26657659882909,0.00111956142085122
"A2: Soil_pH ~ KO_density + genome_size","genome_mb_z",0.0525825237450102,0.246164152071472,0.213607559437587,0.83088963328186
"A3: Soil_moisture ~ KO_density + genome_size","(Intercept)",309.135986843746,11.4220563118279,27.0648277686765,3.9887776353629e-126
"A3: Soil_moisture ~ KO_density + genome_size","ko_per_mb_z",1.78244417517502,3.55761643618055,0.501022020543803,0.616448207085039
"A3: Soil_moisture ~ KO_density + genome_size","genome_mb_z",1.8067132411708,3.65584481037037,0.494198560082687,0.621257090640943
"B1: Temp ~ Tier1(resist) + Tier2(cofactor) + genome_size","(Intercept)",85.7796445925689,3.06379773667724,27.9978157714807,5.99066680367722e-99
"B1: Temp ~ Tier1(resist) + Tier2(cofactor) + genome_size","ko_per_mb_tier1_z",2.53941539420888,1.67189782726019,1.51888192735458,0.129527105112684
"B1: Temp ~ Tier1(resist) + Tier2(cofactor) + genome_size","ko_per_mb_tier2_z",-0.55027217159097,1.43821008607308,-0.382609033909257,0.70219871740326
"B1: Temp ~ Tier1(resist) + Tier2(cofactor) + genome_size","genome_mb_z",2.31777814748558,1.28044505914626,1.81013478940749,0.0709728367549872
"B2: Soil_pH ~ Tier1(resist) + Tier2(cofactor) + genome_size","(Intercept)",63.3332467816775,1.07266660081868,59.0428067149106,2.20477089992768e-208
"B2: Soil_pH ~ Tier1(resist) + Tier2(cofactor) + genome_size","ko_per_mb_tier1_z",0.0439617952803357,0.457986379162995,0.0959893072817565,0.923573783634737
"B2: Soil_pH ~ Tier1(resist) + Tier2(cofactor) + genome_size","ko_per_mb_tier2_z",0.133303284449274,0.387436377930007,0.344064966644293,0.730965617454922
"B2: Soil_pH ~ Tier1(resist) + Tier2(cofactor) + genome_size","genome_mb_z",0.451021847306957,0.349273804057567,1.29131312473872,0.197288848173654
"C1: Env_gradient ~ KO_density + genome_size","(Intercept)",0.679544085142496,0.0566526866738245,11.9949136579337,2.40180676491475e-31
"C1: Env_gradient ~ KO_density + genome_size","ko_per_mb_z",-0.0638364161293364,0.0174113045165504,-3.66637755767562,0.00025705993216128
"C1: Env_gradient ~ KO_density + genome_size","genome_mb_z",-0.0571007943582265,0.0178775721643232,-3.19399042741262,0.00144068289786016
"D1: Cu_niche ~ KO_density (MGnify, n=25)","(Intercept)",13705.2763874685,2380.39271168608,5.75756946330121,0.00119623155438872
"D1: Cu_niche ~ KO_density (MGnify, n=25)","ko_per_mb_total_z",-2862.90824692668,3487.25825601033,-0.820962497398183,0.44305587767456
"D2: Zn_niche ~ KO_density (MGnify, n=25)","(Intercept)",30743.4139446617,17076.2334633429,1.80036270941468,0.121891178652336
"D2: Zn_niche ~ KO_density (MGnify, n=25)","ko_per_mb_total_z",-12389.7973413974,25016.5595929852,-0.495263838952162,0.638026848284107
"D3: Metal_niche_composite ~ KO_density (MGnify, n=25)","(Intercept)",37983.7626636773,15662.445597334,2.42514889693489,0.0515010948957669
"D3: Metal_niche_composite ~ KO_density (MGnify, n=25)","ko_per_mb_total_z",-11965.1830072552,22945.3705056625,-0.521463926865005,0.620723935726404
