genus_lower,ko_per_mb_primary,mean_genome_mb,predictor_z,genome_mb_z,pH_sd,pH_n,temp_sd,temp_n,georoc_Cu_sd,georoc_Cu_n,georoc_Ni_sd,georoc_Ni_n,georoc_Zn_sd,georoc_Zn_n,georoc_Co_sd,georoc_Co_n,georoc_Cr_sd,georoc_Cr_n,georoc_Pb_sd,georoc_Pb_n,georoc_As_sd,georoc_As_n,georoc_Cd_sd,georoc_Cd_n,georoc_Hg_sd,georoc_Hg_n,total_n,PF1_As_sd,PF1_Cd_sd,PF1_Cr_sd,PF1_Cu_sd,PF1_Hg_sd,PF1_Pb_sd,PF1_As_n,PF1_Cd_n,PF1_Cr_n,PF1_Cu_n,PF1_Hg_n,PF1_Pb_n,Cu_ICP_MS_mg_kg_0_2_sd,Ni_ICP_MS_mg_kg_0_5_sd,Zn_ICP_MS_mg_kg_0_9_sd,Pb_ICP_MS_mg_kg_0_1_sd,As_ICP_MS_mg_kg_0_4_sd,Co_ICP_MS_mg_kg_0_1_sd,Cr_ICP_MS_mg_kg_0_5_sd,Hg_AR_mg_kg_0_01_sd,Cu_MMI_ME_mg_kg_0_01_sd,Ni_MMI_ME_mg_kg_0_005_sd,Zn_MMI_ME_mg_kg_0_02_sd,Pb_MMI_ME_mg_kg_0_01_sd,As_MMI_ME_mg_kg_0_01_sd,Co_MMI_ME_mg_kg_0_005_sd,Cr_MMI_ME_mg_kg_0_001_sd,Hg_MMI_ME_mg_kg_0_001_sd,Cu_ICP_MS_mg_kg_0_2_n,Ni_ICP_MS_mg_kg_0_5_n,Zn_ICP_MS_mg_kg_0_9_n,Pb_ICP_MS_mg_kg_0_1_n,As_ICP_MS_mg_kg_0_4_n,Co_ICP_MS_mg_kg_0_1_n,Cr_ICP_MS_mg_kg_0_5_n,Hg_AR_mg_kg_0_01_n,ko_per_mb_tier1_z,ko_per_mb_tier2_z
achromobacter,8.800642198780132,6.476800068965517,0.0509542996496222,1.680326135893138,1.0181193259453687,132262,5.909786996692748,177864,113.0849478631663,40290,201.5122953111365,63851,80.06518011784068,74767,32.220303880860115,64219,332.58558593322425,97008,14.560480729657558,71166,7.637828239239206,28782,0.1931297587787714,960,0.0625825620675771,98,196992,0.0337850760979814,0.0594812932726342,0.0407938634859672,0.0306032641806785,0.0522458482311648,0.0242004543176316,18561,18561,18561,18561,18561,18561,10.24756621204603,11.020135872404394,29.263314954940093,16.426343153635102,17.99288625112595,6.7364233731180345,33.90376473858556,0.1983281800121637,1.7764876536711467,0.9268899937529218,2.3215826530258235,0.8360869793380835,0.1671738107597974,0.2935897548836099,0.1029845513259868,0.0362843622660636,663.0,665.0,660.0,667.0,653.0,664.0,667.0,472.0,2.604987292693883,0.1491916117104496
actinotalea,10.272412611997389,3.504532125,0.4352524144720332,-0.1406663141788729,1.0643287790122482,113072,5.429084012351157,143420,148.58197451846684,14251,188.82691936454347,24162,47.58710407988686,55405,44.35603624965038,41828,261.00113443965535,47193,16.150978495615675,58526,4.878137616287927,26732,0.4358421082462487,867,0.1324699956253225,75,153866,0.0322975852004086,0.061608401636528,0.0395940595853557,0.0289745447025304,0.0533411127906284,0.024250522932467,11729,11729,11729,11729,11729,11729,10.45925456911026,11.96604132757415,35.754992104166845,13.79293297269802,3.7511061109423673,7.20619349339335,34.642706475819665,0.1704666854057447,1.7512145268066146,1.1273541886421057,2.289686621404257,0.7526278724568554,0.0132840917763199,0.3068264988748425,0.0962920801934015,0.0004879500364742,469.0,473.0,464.0,475.0,457.0,469.0,475.0,323.0,-1.0946610468568774,-0.0625548018893579
hyphomonas,11.35141818439583,3.435694057471264,0.7169945962904337,-0.1828407088197988,0.6285376143372707,292352,5.871703696745183,537950,51.89915459582325,181180,160.4753246824316,231537,104.78152283549898,240739,46.75459557915626,85379,316.1714667476075,220112,21.419688599266813,234860,20.304067536902345,4043,0.4693234531016196,1719,0.7370580949170401,208,570349,0.0378417929815898,0.0595148334317963,0.0483354441430348,0.0373912415131432,0.052953587874059,0.023987587851205,34305,34305,34305,34305,34305,34305,10.014419141821929,13.655739714206314,31.577564242328584,10.19468568175884,3.7484960022169433,6.828238097387724,44.30192450790377,0.0724994542318174,1.157240802245789,1.5026061024856694,2.6809034760013155,0.7994973608087785,0.1960529862330555,0.2790454337607185,0.115214907469234,0.0399451399753496,2664.0,2666.0,2483.0,2669.0,2641.0,2548.0,2669.0,1886.0,1.8751958702304448,2.112380830597646
anaerostipes,9.86754108009875,2.93892873255814,0.329535269286468,-0.4871894159950571,0.299728923660391,45613,3.448589226261323,47142,119.92587369188809,3989,118.18261247316237,5377,257.412204331148,4197,16.37984138720148,3867,480.0269328312255,5616,6.376688814045484,42737,3.4714197441994648,254,0.097690116811501,119,0.7048652526901862,2,49103,0.0403859933880865,0.0556462147527828,0.0436700310167986,0.036761869728937,0.0585950757083769,0.0203597870000241,1798,1798,1798,1798,1798,1798,10.000738621669852,10.53458103408373,34.00661211844082,9.241449155991097,3.3150598714381485,5.833271317499803,27.89425233627492,0.0121108788738379,1.2520679682512084,0.8439639785682258,2.3672025370330387,0.7186028901959751,0.0199088833530069,0.2381333867231589,0.0696117933389992,,43.0,43.0,43.0,43.0,41.0,43.0,43.0,32.0,-0.3843311372940071,-0.8308532326489966
leptonema,4.47689847636595,4.4673785,-1.0780305926793188,0.449232043744724,0.8337737808847248,30201,4.395726453601683,45043,254.60078469644483,7132,130.14572756902618,25187,38.16318620288988,9345,27.63668014502437,24168,253.66965265552489,26321,14.244176375939473,21925,1.875202655028752,2543,0.2300768407297522,481,0.210516032643597,3,48710,0.031881278127661,0.0496570096452282,0.035341165960291,0.0290948075028424,0.0505504641253625,0.0222740594099545,5207,5207,5207,5207,5207,5207,9.140390534897008,11.156005650011394,28.7857630003992,10.103951547353653,3.0513055980277373,10.146311992976738,32.86815254669642,0.4259154845741112,1.124377652999367,0.7906986731559661,1.9479298802611769,0.9107015650419616,0.0272824730061872,0.3649776016315424,0.0713868852295658,0.0,69.0,69.0,66.0,69.0,67.0,68.0,69.0,51.0,-0.7274822372142282,0.4007792339802012
aurantimonas,9.709228038697098,4.5317712000000006,0.2881977054816192,0.488682935370366,0.4862601003666361,242430,4.571213220257827,288945,158.90854883107886,25157,191.8064288624432,62133,72.30388502097021,46661,49.12483028404701,40454,352.1956167079462,60080,16.069083174904808,66375,6.495989246405313,3441,0.2280420749641051,777,0.6936091224303603,133,304593,0.0343955357750938,0.0576782663053209,0.0419174837903783,0.0306203944548718,0.0523514556233342,0.0238109047877063,14248,14248,14248,14248,14248,14248,11.501022558535135,13.372875275554168,34.42552809574399,17.311321240154182,17.291651773084723,6.604106580591691,44.802473082092,0.1850526684895963,1.7116190415870904,1.109652878986717,2.550696862418968,0.8436394901865792,0.0769289317943252,0.258692699986159,0.1111837545536239,0.0148978677885952,1612.0,1620.0,1576.0,1635.0,1602.0,1585.0,1635.0,1091.0,-0.1737546701961899,-0.1816286951649117
pandoraea,8.142476140435855,5.526574376623376,-0.1209012922214625,1.0981599771749917,0.758865363170511,184218,5.205786482712361,204001,104.28533983934275,42733,220.9966413364564,67109,177.00668873580875,59613,37.74814671411757,57781,432.21105606260943,73287,16.054738997475795,68975,6.035137384470082,16362,0.1469125781392122,909,2.3114508157458813,79,220818,0.032009031468367,0.0566791802105581,0.0384020105682639,0.0285873125483694,0.0524700345400649,0.0238600408103776,17426,17426,17426,17426,17426,17426,9.18961994953218,13.77934413023984,28.664585045808494,11.995804188124277,9.788751136989353,7.412957834611679,43.061530214119685,0.0189515873279258,1.5148584955155575,1.2709552814149991,1.7176356107052635,0.711996283153455,0.0146745614069249,0.3091626400904262,0.1044147277012314,0.0004830458915396,590.0,589.0,587.0,591.0,578.0,590.0,591.0,426.0,0.7582973697032155,0.3867794005833517
ureibacillus,7.950653398893916,3.773274785714286,-0.170988668141386,0.0239818149262251,1.1064787762869308,160595,5.052286872562824,178700,192.3938170048581,24670,195.96830385125853,56614,60.04301743037473,59723,35.624876881368884,69403,256.2383103553961,94101,16.123080034171394,68047,2.5607239484596622,37148,0.4324398140996094,903,0.1477891552576328,17,196935,0.0327543459311828,0.0549561716131811,0.0364378824740326,0.0299747245340228,0.0530016939125778,0.0238610384235056,14298,14298,14298,14298,14298,14298,10.95587436152078,13.408708122249497,31.792939275163825,14.830700966031875,16.162909539316225,8.6918829276992,36.31728581362846,0.233731991661838,1.456611616893928,1.3526985713121047,2.301023968598381,0.8862226172885419,0.0116634487196556,0.3397105481394816,0.095090574601332,0.0004082482904638,219.0,220.0,220.0,222.0,201.0,222.0,222.0,170.0,-0.3243613770548872,1.0571110394733385
desulfococcus,8.588111138746246,4.4247215,-0.0045402835943028,0.423097766348762,0.7888725089599284,33528,4.721566512317773,59388,80.6869103833434,17893,155.14431148616998,23399,106.27650471810482,30088,54.79375559663698,13113,320.7241961100506,22607,16.398025262076494,35942,8.202946583268956,296,0.4282635664328721,162,2.3145502494313788,8,64355,0.0425902609034135,0.0580578781364928,0.0509146019800953,0.0419749360245324,0.0510596357019009,0.0209781214453779,4843,4843,4843,4843,4843,4843,9.144813083182122,11.18468320641272,25.7168980854652,8.280796097145823,4.838947474969156,6.873017800161352,37.941691799595766,0.0168568169087504,0.8587733095782443,1.206281850307052,2.2687638826589027,1.1253767060169002,0.3343371156941644,0.2981701591138648,0.0870732551307017,0.05,310.0,310.0,308.0,310.0,308.0,309.0,310.0,196.0,-1.0669740764324365,-0.97556269740858
streptacidiphilus,2.586637683218984,9.66505675,-1.5716019084262836,3.633646447018762,0.8132739621470264,63879,7.332456207500368,65387,157.42447485634634,13173,218.7400295480149,20067,132.4065523760565,14048,33.83065332012751,13159,374.05993263283113,19808,15.333453475327072,20712,11.445925153282996,2159,0.1487562749074528,1015,2.086709986679497,97,73554,0.0314666139456425,0.0603995634108242,0.0377162162331547,0.0288422312547843,0.0535275248659533,0.0229750870758737,9674,9674,9674,9674,9674,9674,11.451041029213394,14.311353674652064,32.56391439450172,17.37868242923272,18.32934815902312,6.966024670801411,72.52285055003631,0.1513952606158796,1.942112268419028,0.9344680110523834,1.942388597036904,0.8476586714275843,0.0904862225012693,0.30689820497135,0.1006979935090044,0.0195907749090856,1142.0,1145.0,1136.0,1147.0,1105.0,1146.0,1147.0,822.0,-1.2304152069938397,-0.8777698661497426
calothrix,4.199198519486299,10.240049333333332,-1.1505416099933767,3.985921939281565,0.592118297332604,48850,3.80632636989025,80900,103.3413676570959,17092,129.7446586347832,24104,45.118541157712606,35452,81.4546001224919,14096,296.525727041025,20179,15.918114712784051,60701,2.1585964545251803,1679,0.3109041141144768,108,0.0303781719880135,13,84272,0.030281807318803,0.0574234202353773,0.0372334179980461,0.0271404364733687,0.0516254158151224,0.0222541591176302,3688,3688,3688,3688,3688,3688,16.43215195104532,14.116894232204762,35.38946669649016,30.158799555398595,38.42513980021776,6.6685141126416125,41.887513503976194,0.0232891812847141,1.7293049377612864,1.2349145899638136,2.407685089633296,1.506466424819654,0.0187529589501965,0.3283622870279041,0.1008369326999636,0.0,103.0,104.0,104.0,105.0,102.0,104.0,105.0,76.0,-1.0376323172413942,-1.208386518786731
aeromicrobium,13.953637444887937,3.51162915,1.396467391218854,-0.1363182442246781,1.0352896524705584,671161,4.851175067792942,689972,161.0480352326456,87160,196.8352787139804,193001,82.25159703632643,199798,32.16897953824523,193172,258.3411619234324,302215,15.076375402574277,195037,10.039431809997224,114422,0.2351613337601627,2350,1.3236691875897697,230,735857,0.0343347287675346,0.0576270477490464,0.040621782011771,0.0309108075005941,0.0522413123711653,0.0271413871908716,49264,49264,49264,49264,49264,49264,11.572128676681718,14.973770681019154,33.33602602974736,16.04147279255818,17.240380647330454,7.677278622058033,55.98432352181739,0.1928949761576865,1.896500030707274,1.1220539406343728,2.0670963918544825,0.8912233926282501,0.1153641048336863,0.3313789066346468,0.1407875341995678,0.0212572116614349,2018.0,2025.0,2047.0,2077.0,1970.0,2067.0,2077.0,1503.0,-0.6953555017595807,0.7545282480903981
anoxybacillus,15.009065020834957,2.731682482758621,1.6720530560246825,-0.6141610966461476,0.8680615913387479,150371,7.589131940052837,173118,194.7492330308916,33957,230.4655031711581,71773,107.03222577987528,57714,41.89892608863821,71886,373.9853594637999,90391,17.32237319715583,64422,8.77568171831266,24089,0.5238320400265332,1056,3.1165918742634755,41,193473,0.0361082593216793,0.0561422932283312,0.0441879589404907,0.034674582993426,0.0519162836721615,0.0245892318059405,19508,19508,19508,19508,19508,19508,9.987085445326638,12.972435260154077,33.817146155750514,12.0744261632194,3.221281436665706,7.021008579418428,57.29190594002456,0.2924355170343976,1.2561584785649502,1.0403692243628286,2.501229930762894,0.7376722618502329,0.1390329034480903,0.2796888086040365,0.1142751470472579,0.0375518688901478,485.0,484.0,465.0,488.0,457.0,485.0,488.0,323.0,-0.4619660583530457,2.829682742341824
actinocatenispora,2.8588839174485834,6.995737,-1.500514927982621,1.9982585199488527,1.0456800702673223,55312,5.331439797053728,57235,232.2917643907909,11940,267.91694483915484,21795,92.19307629267206,28943,46.37986267166024,26784,341.8537257556298,38141,15.67364553326477,17424,1.786516761647989,18659,0.0775053428263179,301,0.052403721841994,54,63132,0.0330373365640625,0.0570083030456268,0.0392886822950227,0.0315612768507032,0.0522380642330938,0.0247482306918491,6969,6969,6969,6969,6969,6969,10.76552654793694,13.853814899599389,32.385174922795066,14.239643685488176,13.976527464556517,7.572198895414781,57.13277665773537,0.1544292412966106,1.6481407608283218,1.0856554604734387,1.9754443431775333,0.8024271307692462,0.1364874970963255,0.3240356067627209,0.1854881743543351,0.0228420715767666,590.0,591.0,592.0,593.0,553.0,592.0,593.0,398.0,-1.3686896002950617,-1.0329992973690725
