ko_id,gene_name,D,lambda,n_present,group,plasmid_fraction,mobile_fraction,n_total,mgnify_rho,mgnify_p,mgnify_q,env_p,best_metal_env,D_norm,hgt_score,abs_mgnify_rho
K07785,nrsD,0.8212616730726315,0.0888993673574643,59,double-signal,0.125,0.0,16,,,,0.1601247345859302,Ni,0.9999999992065828,0.37499999973552756,
K19059,merE,0.7276838362930834,0.1024970858452611,154,double-signal,0.042417994190945406,0.00017347859274165567,201754,,,,,,0.9257537374579684,0.3227817367472185,
K19057,merD,0.7011488787956072,0.1653921090790372,156,double-signal,0.04268147782287187,0.00023763704901380624,214613,,,,,,0.904700446768131,0.3158731872133389,
K19594,gesB,0.5965383911186886,0.1559578884302989,89,double-signal,0.0,0.0,1,0.0294251119648716,0.0063993429971923,0.2669100658590139,0.0162797199793904,Co,0.8217006904475382,0.2739002301491794,0.0294251119648716
K08356,aoxB,0.562213100734908,0.0001059596688143,259,double-signal,0.00625,0.0020833333333333333,480,0.0298701802346646,0.0056428403724882,0.1255030385100502,,,0.7944664159426124,0.2675999164253152,0.0298701802346646
K19595,gesA,0.4577217595751774,0.1610584292276534,103,double-signal,0.0,0.0,1,0.0460189756973843,1.9941952531109613e-05,9.371880811008928e-05,0.0140266233244494,Co,0.7115611925136316,0.23718706417121052,0.0460189756973843
K25119,shp,0.3853935161179785,0.0001055442208782,123,double-signal,0.0005455537370430987,0.0,3666,,,,0.398297973811081,Cu,0.6541747228072239,0.21824009218142235,
K03897,iucD,0.3540835172019286,0.2369457486129448,362,double-signal,0.017948466886095398,0.0,265538,-0.0732322198574675,1.0945577702031612e-11,0.0001078341745828,,,0.6293328323033184,0.21576043306313794,0.0732322198574675
K19592,golS,0.2645941390066298,0.1348458699567263,144,double-signal,1.732051615138131e-05,0.0,519615,-0.0344971138524916,0.0013894891733276,0.1993367588190717,,,0.5583304237644086,0.18611591476018663,0.0344971138524916
K05908,doxDA,0.2539129834282109,0.0001059596688143,241,double-signal,0.0,0.0,8,,,,,,0.5498558116110926,0.1832852705370309,
K08170,norB,0.2388247547189204,0.0332455178537299,315,double-signal,0.0006923222543743408,0.0,184885,-0.0182064967167712,0.0916375600035384,0.0707217548501097,,,0.5378845519984985,0.1795256247509576,0.0182064967167712
K14974,nicC,0.2235582149347867,0.0001059596688143,382,double-signal,0.0050195203569436695,0.0,1793,0.0621596924041159,8.206600918270486e-09,5.631283852503656e-05,,,0.5257718173188254,0.176930445891923,0.0621596924041159
K15585,nikB,0.2024132376423988,0.0001059596688143,448,double-signal,0.004360719488541796,0.0,828533,-0.0326375720302382,0.0024911978021536,2.8321149758373053e-05,,,0.5089950294302827,0.1711185829729415,0.0326375720302382
K07787,cusA,0.249871715033394,0.7903100387029138,3590,high-λ control,0.0005232172418917024,0.0,477813,,,,0.0219505982745435,Cr,0.5466493999075946,0.18239087238316212,
K07796,cusC,0.2581630650281558,0.8464795493793671,2697,high-λ control,0.0004542299634705716,0.0,471127,,,,,,0.5532278992953363,0.18456070975293562,
K02230,cobN,0.0291859491421705,0.8493536953288198,3620,high-λ control,0.0014801228459307286,0.0,234440,,,,0.0003717798878226,Ni,0.3715535256873619,0.12434454951109754,
K09883,cobT,-0.1190615744783561,0.846628805205085,2194,high-λ control,0.00024140965802114923,0.0,1835055,,,,0.0011603237985038,Ni,0.2539313961200421,0.08472426859268777,
K13638,zntR,-0.3684254382895105,0.9113917988122212,698,high-λ control,0.00011538264629717221,0.0,1308689,,,,0.0122004642055744,Cr,0.05608182681673452,0.018732403154343897,
K08721,oprJ,0.0670769593809649,0.9998940403311856,101,high-λ control,0.0006956717933290715,0.0,53186,,,,,,0.4016169035226124,0.1341041917719805,
K18307,mexI,-0.0646140616033749,0.9211421877068048,393,high-λ control,0.00019466270262617682,0.0,56508,,,,,,0.2971309873010216,0.09910855000121593,
K24078,cnrR,-0.0887315107668025,0.8980248062522506,239,high-λ control,0.0,0.0,58,,,,,,0.2779957892143728,0.0926652630714576,
K21479,cbiH60,-0.1539442808600602,0.9702512546347516,154,high-λ control,0.0,0.0,6,,,,,,0.2262548581956037,0.07541828606520123,
K05368,fre,-0.4391093476548626,0.9379865631585788,757,high-λ control,0.00010728947765098113,0.0,1127790,,,,,,0.0,3.576315921699371e-05,
