ko_id,gene_name,subcategory,evidence_tier,lambda_original,lambda_asin,delta_lambda,n_genera_original,n_genera_asin
K00013,hisD,Metal-dependent Metabolism,Tier 2-Fitness,0.5095541270509686,0.7622402319673334,0.2526861049163648,1351,1574
K00108,betA,Metal-dependent Metabolism,Tier 2-Fitness,0.4550318732753353,0.5650236863338136,0.10999181305847833,438,1574
K00425,cydA,Unknown,Tier 2-Fitness,0.5496631729209888,0.6890895452184399,0.13942637229745114,1139,1574
K00523,ascD,Unknown,Tier 2-Fitness,0.6291594731859016,0.739479304899924,0.11031983171402238,213,1574
K00817,hisC,Unknown,Tier 2-Fitness,0.5084372907344797,0.6568605769916025,0.14842328625712276,1416,1574
K00826,E2.6.1.42,Unknown,Tier 2-Fitness,0.5026910991267858,0.6582276794211479,0.15553658029436213,1422,1574
K01002,mdoB,Unknown,Tier 2-Fitness,0.1971437220468155,0.36123330122012587,0.16408957917331038,165,1574
K01262,pepP,Unknown,Tier 2-Fitness,0.5605873258642452,0.762112309874765,0.20152498401051977,1349,1574
K01414,prlC,Unknown,Tier 2-Fitness,0.3831641000797611,0.6481533831193302,0.26498928303956915,390,1574
K01626,E2.5.1.54,Unknown,Tier 2-Fitness,0.6225834503004058,0.8031970505308397,0.18061360023043382,979,1574
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,0.8212152842527619,0.26576782468292304,539,1574
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,0.82608338686957,0.2574726018810086,235,1574
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,0.7462322089230403,0.22060028023656764,926,1574
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,0.7806414835410647,0.2667573457428878,562,1574
K02167,betI,Sensing/Regulation,Tier 2-Fitness,0.6270702479749174,0.646337412730189,0.01926716475527157,340,1574
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,0.9653766650536723,0.17919579638712335,242,1574
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,0.664217512331706,-0.16438499230867465,308,1574
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,0.8182862020998444,-0.031067493228975396,504,1574
K02297,cyoA,Unknown,Tier 2-Fitness,0.5940048008199803,0.4722075505165422,-0.12179725030343813,262,1574
K02298,cyoB,Unknown,Tier 2-Fitness,0.4111357753868623,0.43222749577548175,0.02109172038861945,256,1574
K02493,hemK,Unknown,Tier 2-Fitness,0.502302122956015,0.666629513467821,0.164327390511806,1479,1574
K02826,qoxA,Unknown,Tier 2-Fitness,0.9849380104101708,0.6524548956820898,-0.332483114728081,58,1574
K02827,qoxB,Unknown,Tier 2-Fitness,0.941150246826185,0.6599092891592185,-0.28124095766696644,59,1574
K03306,TC.PIT,Unknown,Tier 2-Fitness,0.4235369537018262,0.8386014514264436,0.4150644977246174,696,1574
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,0.642655093669938,0.10070656803698419,1069,1574
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,0.810540986566475,0.11746140724341414,706,1574
K03453,TC.BASS,Unknown,Tier 2-Fitness,0.4859029121321077,0.6829005875790347,0.19699767544692703,620,1574
K03501,gidB,Unknown,Tier 2-Fitness,0.4578819616867641,0.5961679266392168,0.1382859649524527,1518,1574
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,0.7898450297280442,0.39853457950593235,834,1574
K03568,tldD,Unknown,Tier 2-Fitness,0.6505415134519655,0.8621823123613954,0.21164079890942988,807,1574
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,0.8309509439291658,0.30036169999334206,1035,1574
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,0.7199543601185858,0.07859486784728609,490,1574
K03701,uvrA,Unknown,Tier 2-Fitness,0.5469154747276513,0.5382353184832823,-0.00868015624436902,1540,1574
K03760,eptA,Unknown,Tier 2-Fitness,0.2391202276283753,0.40880196962955145,0.16968174200117617,270,1574
K03781,katE,Unknown,Tier 2-Fitness,0.5106238795839142,0.6272500533806246,0.11662617379671036,933,1574
K03802,cphA,Unknown,Tier 2-Fitness,0.3854170734373203,0.7202521232223337,0.3348350497850134,344,1574
K03814,mtgA,Unknown,Tier 2-Fitness,0.5478824364692876,0.7922596655939987,0.24437722912471116,632,1574
K03837,sdaC,Unknown,Tier 2-Fitness,0.0001059596688143,0.27586693798387923,0.2757609783150649,98,1574
