genus,genus_for_tree,count_breadth_std,shannon_breadth_std,count_breadth_ses,shannon_breadth_ses,mean_levins_B_std
acaryochloris,acaryochloris,0.9342560553633218,0.9779814439339556,,,0.0641151121326881
acetobacter,acetobacter,1.0,0.9861742293388294,,,0.2654755705218656
acetobacterium,acetobacterium,0.9919261822376008,0.988245658493502,,,0.2306819880934687
acholeplasma,acholeplasma,0.9919261822376008,0.988245658493502,,,0.1590991255640901
achromobacter,achromobacter,1.0,0.9861742293388294,,,0.3824708127696951
acidaminococcus,acidaminococcus,0.9919261822376008,0.988245658493502,,,0.1323136374070082
acidiphilium,acidiphilium,1.0,0.9861742293388294,,,0.1820723284815553
acidisoma,acidisoma,1.0,0.9861742293388294,0.0,1.0,0.3242780853835226
acidobacterium,acidobacterium,0.9077277970011534,0.980275105936958,,,0.4013811468140469
acidocella,acidocella,1.0,0.9861742293388294,,,0.2324933956398548
acinetobacter,acinetobacter,1.0,0.9861742293388294,,,0.2569934734607408
actinoallomurus,actinoallomurus,0.9538638985005768,0.9813914120752876,,,0.6691342654168633
actinoalloteichus,actinoalloteichus,1.0,0.9861742293388294,,,0.4298603188883119
actinobacillus,actinobacillus,0.9077277970011534,0.980275105936958,,,0.1494761206643097
actinobaculum,actinobaculum,0.9077277970011534,0.980275105936958,0.6849260902350721,0.8621155742383375,0.084068289012504
actinocatenispora,actinocatenispora,0.9261822376009228,0.9793386826591984,,,0.3472025737891058
actinomyces,actinomyces,1.0,0.9861742293388294,,,0.2403403045841251
actinoplanes,actinoplanes,1.0,0.9861742293388294,0.0,1.0,0.4139140624490732
actinopolymorpha,actinopolymorpha,0.8638985005767013,0.9718890883941396,-0.3597664335445692,-0.2905304161233982,0.4860407248971539
adlercreutzia,adlercreutzia,0.9261822376009228,0.9793386826591984,,,0.3782809259750745
aequorivita,aequorivita,1.0,0.9861742293388294,,,0.3162774529269461
aeriscardovia,aeriscardovia,0.9077277970011534,0.980275105936958,,,0.2563011942332186
aeromicrobium,aeromicrobium,1.0,0.9861742293388294,,,0.3082644197935794
afifella,afifella,1.0,0.9861742293388294,,,0.3485948735089769
aggregatibacter,aggregatibacter,1.0,0.9861742293388294,,,0.1315136868962124
agrobacterium,agrobacterium,1.0,0.9861742293388294,,,0.3274516103789065
agromyces,agromyces,1.0,0.9861742293388294,0.0,1.0,0.3398384380913924
akkermansia,akkermansia,1.0,0.9861742293388294,,,0.1720260721796463
alcaligenes,alcaligenes,1.0,0.9861742293388294,,,0.1823858647093429
alcanivorax,alcanivorax,1.0,0.9861742293388294,,,0.1729655386880221
algoriphagus,algoriphagus,1.0,0.9861742293388294,,,0.2224078543907995
