genus,n_habitats,count_breadth_raw,count_breadth_std,weighted_breadth,shannon_breadth_std,cooccurrence_mean,cooccurrence_max,genus_lower_clean,mean_levins_B_std,gtdb_genus_lower,kingdom,count_breadth_ses,shannon_breadth_ses
acaryochloris,3,810,0.9342560553633218,0.5699588477366254,0.9779814439339557,2.050749711649366,3,acaryochloris,0.0641151121326881,acaryochloris,Bacteria,,
acetobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acetobacter,0.2654755705218656,acetobacter,Bacteria,,
acetobacterium,3,860,0.9919261822376009,0.6227713178294573,0.9882456584935019,2.2549019607843137,3,acetobacterium,0.2306819880934687,acetobacterium,Bacteria,,
acholeplasma,3,860,0.9919261822376009,0.6227713178294573,0.9882456584935019,2.2549019607843137,3,acholeplasma,0.1590991255640901,acholeplasma,Bacteria,,
achromobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,achromobacter,0.3824708127696951,achromobacter,Bacteria,,
acidaminobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acidaminobacter,0.3167899375675269,acidaminobacter,Bacteria,,
acidaminococcus,3,860,0.9919261822376009,0.6227713178294573,0.9882456584935019,2.2549019607843137,3,acidaminococcus,0.1323136374070082,acidaminococcus,Bacteria,,
acidicapsa,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,acidicapsa,0.4226973755800177,,Bacteria,,
acidiphilium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acidiphilium,0.1820723284815553,acidiphilium,Bacteria,,
acidisoma,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acidisoma,0.3242780853835226,acidisoma,Bacteria,0.0,1.0
acidobacterium,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,acidobacterium,0.4013811468140469,acidobacterium,Bacteria,,
acidocella,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acidocella,0.2324933956398548,acidocella,Bacteria,,
acinetobacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,acinetobacter,0.2569934734607408,acinetobacter,Bacteria,,
actinoallomurus,3,827,0.9538638985005767,0.5894800483675937,0.9813914120752875,2.121107266435986,3,actinoallomurus,0.6691342654168633,actinoallomurus,Bacteria,,
actinoalloteichus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,actinoalloteichus,0.4298603188883119,actinoalloteichus,Bacteria,,
actinobacillus,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,actinobacillus,0.1494761206643097,actinobacillus,Bacteria,,
actinobaculum,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,actinobaculum,0.084068289012504,actinobaculum,Bacteria,0.6849260902350721,0.8621155742383375
actinocatenispora,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,actinocatenispora,0.3472025737891058,actinocatenispora,Bacteria,,
actinocorallia,2,749,0.8638985005767013,0.4857587894971072,0.9718890883941397,1.4382929642445212,2,actinocorallia,0.6184941672232452,actinocorallia,Bacteria,,
actinomadura,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,actinomadura,0.425508012095051,,Bacteria,,
actinomyces,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,actinomyces,0.2403403045841251,actinomyces,Bacteria,,
actinomycetospora,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,actinomycetospora,0.7320932877752121,actinomycetospora,Bacteria,,
actinoplanes,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,actinoplanes,0.4139140624490732,actinoplanes,Bacteria,0.0,1.0
actinopolymorpha,2,749,0.8638985005767013,0.4857587894971073,0.9718890883941397,1.4382929642445212,2,actinopolymorpha,0.4860407248971539,actinopolymorpha,Bacteria,-0.3597664335445692,-0.29053041612339825
adhaeribacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,adhaeribacter,0.2234463088649664,adhaeribacter,Bacteria,,
adlercreutzia,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,adlercreutzia,0.3782809259750745,adlercreutzia,Bacteria,,
aequorivita,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,aequorivita,0.3162774529269461,aequorivita,Bacteria,,
aeriscardovia,2,787,0.9077277970011534,0.5419313850063533,0.9802751059369579,1.572087658592849,2,aeriscardovia,0.2563011942332186,aeriscardovia,Bacteria,,
aeromicrobium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,aeromicrobium,0.3082644197935794,aeromicrobium,Bacteria,,
aetherobacter,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,aetherobacter,0.7756088611507659,,Bacteria,,
afifella,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,afifella,0.3485948735089769,afifella,Bacteria,,
aggregatibacter,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,aggregatibacter,0.1315136868962124,aggregatibacter,Bacteria,,
agrobacterium,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,agrobacterium,0.3274516103789065,agrobacterium,Bacteria,,
agromyces,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,agromyces,0.3398384380913924,agromyces,Bacteria,0.0,1.0
akkermansia,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,akkermansia,0.1720260721796463,akkermansia,Bacteria,,
alcaligenes,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,alcaligenes,0.1823858647093429,alcaligenes,Bacteria,,
alcanivorax,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,alcanivorax,0.1729655386880221,alcanivorax,Bacteria,,
algoriphagus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,algoriphagus,0.2224078543907995,algoriphagus,Bacteria,,
alicyclobacillus,4,867,1.0,0.7179930795847751,0.9861742293388294,2.8719723183391004,4,alicyclobacillus,0.3367781751044016,alicyclobacillus,Bacteria,,
aliivibrio,3,810,0.9342560553633218,0.5699588477366254,0.9779814439339557,2.050749711649366,3,aliivibrio,0.1904029111948505,aliivibrio,Bacteria,,
alishewanella,3,860,0.9919261822376009,0.6227713178294573,0.9882456584935019,2.2549019607843137,3,alishewanella,0.2755045998204007,alishewanella,Bacteria,,
alistipes,3,803,0.9261822376009228,0.6447696139476962,0.9793386826591985,2.1891580161476356,3,alistipes,0.2009096287669859,alistipes,Bacteria,,
alkalibacillus,2,785,0.9054209919261822,0.4647558386411889,0.9777451966543141,1.433679354094579,2,alkalibacillus,0.3861672348879039,alkalibacillus,Bacteria,,
alkalibacter,3,860,0.9919261822376009,0.6227713178294573,0.9882456584935019,2.2549019607843137,3,alkalibacter,0.426162098368636,alkalibacter,Bacteria,,
