compound_id	name	source_short	npc_pathway	best_tier	deep_tier	rescued	callable	callable_basis	n_strains	n_high	n_genera	n_field	top_field_prev	organism_dark_reason
Cc1_38	salicylic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	True	enigma_isolate_call	129	2	24	20	0.8627450980392157	
Cc1_10	3-hydroxybenzoic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	True	enigma_isolate_call	127	18	42	33	0.9019607843137256	
Cc1_112	4-hydroxybenzaldehyde	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	True	enigma_isolate_call	125	10	34	25	0.8627450980392157	
XNGIFLGASWRNHJ-UHFFFAOYSA-N	phthalic acid	necromass	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	True	enigma_isolate_call	36	0	15	12	0.7450980392156863	
KKEYFWRCBNTPAC-UHFFFAOYSA-N	TEREPHTHALIC ACID	necromass	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	True	enigma_isolate_call	34	34	17	10	0.6666666666666666	
Cc1_208	Phenylethylamine	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	True	enigma_isolate_call	28	0	11	7	0.6078431372549019	
Cc1_9	xanthine	groundwater	Alkaloids	T3_kegg	T2_3_kegg_rxn	False	True	enigma_isolate_call	13	0	6	4	0.7450980392156863	
Cc1_117	Abscisic acid	groundwater	Terpenoids	T2_3_reaction	T2_3_reaction	False	True	enigma_isolate_call	2	0	1	1	0.0196078431372549	
POULHZVOKOAJMA-UHFFFAOYSA-N	lauric acid	necromass	Fatty acids	T1_measured	T1_measured	False	True	measured_fitness	0	0	0	0		only_biosynthetic_signatures
Cc1_29	harman	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_102	1_prop_2_en_1_yl__1H_indole_3_carboxylic_acid	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_22	2-hydroxy-4,7,8-trimethylquinoline	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_46	3,6-dimethylchromone	groundwater	Polyketides	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_39	7-hydroxy-4,8-dimethylchromen-2-one	groundwater	Shikimates and Phenylpropanoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_71	Fraxetin	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_34	2',5'-dihydroxychalcone	groundwater	Shikimates and Phenylpropanoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_60	Phthalic acid mono-2-ethylhexyl ester	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_106	2-Isopropyl-5-methylcyclohexanamine	groundwater	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
CECREIRZLPLYDM-UHFFFAOYSA-N	Manool	necromass	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
KWILGNNWGSNMPA-UHFFFAOYSA-N	Mellein / Ochracin	necromass	Shikimates and Phenylpropanoids	T5_lit	T5_lit	False	False		0	0	0	0		no_kegg
Cc1_216	(-)-Perillyl alcohol	groundwater	Terpenoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_256	Tyramine	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_biosynthetic_signatures
Cc1_12	choline sulfate / choline o-sulfuric acid	groundwater	Amino acids and Peptides	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_25	5,6-Dimethylbenzimidazole	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_generic_rxns
Cc1_23	acridone	groundwater	Alkaloids	T3_kegg	T3_kegg	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_121	BIOTIN	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_generic_rxns
Cc1_266	Triacetonamine	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_122	Cadaverine	groundwater	Alkaloids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_generic_rxns
Cc1_96	4,6,8-trimethylhydroquinolin-2-one	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_147	Indole-3-butyric acid	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_72	indole-3-acetonitrile	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_generic_rxns
Cc1_42	4-hydroxy-1-methyl-2-quinolone	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_24	1,4-dimethylquinolin-2(1h)-one	groundwater	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_41	2-hydroxyquinoline	groundwater	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_110	3-Indoleacrylic acid	groundwater	Alkaloids, Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_143	GUANIDINEACETIC ACID	groundwater	Amino acids and Peptides	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_biosynthetic_signatures
Cc1_69	DODECANEDIOIC ACID	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_87	TETRADECANEDIOIC ACID	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
Cc1_76	Decanedioic acid/Sebacic acid	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
