genus	env_class	source	n_present	n_class	prevalence	mean_relab	mean_present	max_relab	n_compounds	pathways
Achromobacter	periphyton	NMDC	449	472	0.951271186440678	0.0003106852732091657	0.0003266001090305706	0.00417524962283107	3	Alkaloids,Shikimates and Phenylpropanoids
Achromobacter	soil	NMDC	983	2260	0.43495575221238936	8.736482747119343e-05	0.00020085911504058712	0.0013933359205403615	3	Alkaloids,Shikimates and Phenylpropanoids
Achromobacter	marine	PlanetMicrobe	43	302	0.1423841059602649	8.651894016958985e-05	8.651894016958985e-05	0.01384347	3	Alkaloids,Shikimates and Phenylpropanoids
Achromobacter	freshwater	NMDC	77	723	0.10650069156293222	3.8995469231867095e-05	0.00036615226304727153	0.003879338872396573	3	Alkaloids,Shikimates and Phenylpropanoids
Achromobacter	plant	NMDC	19	119	0.15966386554621848	3.427806152725545e-05	0.0002146889116707052	0.0014589028321719604	3	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	marine	PlanetMicrobe	119	302	0.39403973509933776	0.0023702417128590382	0.0023702417128590382	0.19561119999999999	5	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	periphyton	NMDC	451	472	0.9555084745762712	0.0020116009678541164	0.0021052675317675008	0.015977426038397864	5	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	freshwater	NMDC	86	723	0.11894882434301521	0.0001313925323842667	0.001104613964114242	0.007444950158772072	5	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	soil	NMDC	988	2260	0.43716814159292033	0.0001120361027679598	0.00025627691523845056	0.004866427645049939	5	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	plant	NMDC	19	119	0.15966386554621848	9.037762913168576e-05	0.0005660493614037161	0.0022632272544521673	5	Alkaloids,Shikimates and Phenylpropanoids
Afipia	soil	NMDC	1021	2260	0.4517699115044248	0.0013673782228443947	0.003026713793955271	0.02401619704731975	1	Alkaloids
Afipia	periphyton	NMDC	423	472	0.8961864406779662	0.0002745828004650928	0.000306390264348756	0.010805091157912412	1	Alkaloids
Afipia	plant	NMDC	19	119	0.15966386554621848	0.00019033166460860824	0.0011920772678118096	0.0038702819917176305	1	Alkaloids
Afipia	freshwater	NMDC	71	723	0.09820193637621023	5.008798438495056e-05	0.0005100508832439331	0.0021426822382702277	1	Alkaloids
Alcaligenes	periphyton	NMDC	374	472	0.7923728813559322	5.635659105997207e-05	7.112382615055299e-05	0.004456958010974862	3	Alkaloids,Shikimates and Phenylpropanoids
Alcaligenes	freshwater	NMDC	64	723	0.08852005532503458	1.9699813041908073e-05	0.00022254632545780527	0.006722708192478313	3	Alkaloids,Shikimates and Phenylpropanoids
Alcaligenes	marine	PlanetMicrobe	24	302	0.07947019867549669	1.848616355970188e-05	1.848616355970188e-05	0.00307493	3	Alkaloids,Shikimates and Phenylpropanoids
Alcaligenes	soil	NMDC	701	2260	0.3101769911504425	7.350350847325071e-06	2.3697279479250588e-05	0.0018582420670175408	3	Alkaloids,Shikimates and Phenylpropanoids
