genus	mean_soil	mean_fresh	log2_soil_fresh	prev_soil	prev_fresh	p	q	n_compounds	pathways
Mycobacterium	0.005404306132788534	0.0001585162103101578	5.091398278697199	0.46283185840707963	0.11065006915629322	2.156663641854847e-74	1.7900308227395231e-72	1	Shikimates and Phenylpropanoids
Terriglobus	0.000954519227926853	2.4344412013895863e-05	5.293053949513158	0.45353982300884954	0.09820193637621023	4.29141462643482e-73	1.4780352797193184e-71	1	Shikimates and Phenylpropanoids
Nitrobacter	0.00035619475198534097	1.2894595746996227e-05	4.787719981876519	0.43849557522123894	0.08298755186721991	5.342296191756573e-73	1.4780352797193184e-71	1	Shikimates and Phenylpropanoids
Afipia	0.0013673782228443947	5.008798438495055e-05	4.770776239311673	0.4517699115044248	0.09820193637621023	7.488709587355854e-73	1.5539072393763397e-71	1	Alkaloids
Tardiphaga	0.0003441621491448812	1.880536325472884e-05	4.19379983598943	0.4411504424778761	0.0912863070539419	7.782217065110047e-70	1.2918480328082677e-68	1	Shikimates and Phenylpropanoids
Streptomyces	0.0065889168803117855	0.0006936290024508362	3.247803338403794	0.46946902654867256	0.11479944674965421	1.0932407007096298e-69	1.5123163026483211e-68	2	Shikimates and Phenylpropanoids
Rhodanobacter	0.0004338689780454245	2.4834030435999125e-05	4.126814341305603	0.4469026548672566	0.10096818810511757	6.222744240560963e-69	7.378396742379427e-68	1	Shikimates and Phenylpropanoids
Mesorhizobium	0.0017803530535399105	0.00019282044155440726	3.2068267821844256	0.46415929203539824	0.11479944674965421	9.293043727188755e-69	9.641532866958334e-68	1	Alkaloids
Caballeronia	0.00046469753037858494	5.219512864818896e-05	3.154280370141144	0.4570796460176991	0.10511756569847856	4.438633545537131e-67	4.0934064919953545e-66	3	Alkaloids,Shikimates and Phenylpropanoids
Nocardioides	0.0025329052411026645	0.00023119283429512029	3.4536188465087707	0.4592920353982301	0.11065006915629322	5.74053321689359e-66	4.76464257002168e-65	1	Shikimates and Phenylpropanoids
Arthrobacter	0.0006430333086954626	8.63394195227543e-05	2.8967877058081095	0.45353982300884954	0.10650069156293222	1.9131936460816046e-64	1.3965651322579522e-63	2	Shikimates and Phenylpropanoids
Reyranella	0.0010555443776757714	0.00018331302622658346	2.525599518515575	0.4570796460176991	0.10511756569847856	2.0191303116982443e-64	1.3965651322579522e-63	2	Shikimates and Phenylpropanoids
Rhizobium	0.0008408603696465336	0.00012738292903839683	2.722684690830229	0.46106194690265484	0.11618257261410789	2.2364474048918494e-64	1.4278856508155656e-63	2	Alkaloids,Shikimates and Phenylpropanoids
Paraburkholderia	0.0014977242826457273	0.00022839520018955083	2.713162470519904	0.46371681415929206	0.11618257261410789	5.147443954542717e-64	3.051698915907468e-63	5	Alkaloids,Shikimates and Phenylpropanoids
Caulobacter	0.0005600800001153587	0.00017488629859177445	1.6792099723727048	0.4517699115044248	0.11341632088520055	7.733076109169391e-63	4.278968780407062e-62	3	Alkaloids,Shikimates and Phenylpropanoids
Sphingomonas	0.001166112227802123	0.00024111798551940402	2.273890721611715	0.46017699115044247	0.11618257261410789	1.8704001733872647e-61	9.702700899446435e-61	1	Shikimates and Phenylpropanoids
Leifsonia	9.681402693180193e-05	1.4185393502312617e-05	2.7707231188737116	0.42566371681415927	0.08990318118948824	3.287409474896539e-61	1.6050293318612513e-60	1	Shikimates and Phenylpropanoids
Microbacterium	0.0003713405139572307	6.39284068908381e-05	2.538194995329807	0.4517699115044248	0.1078838174273859	5.4185236433241696e-61	2.498541457755034e-60	2	Shikimates and Phenylpropanoids,Terpenoids
Ensifer	0.00014589155092116946	2.445169737169295e-05	2.576840700611619	0.4376106194690266	0.09405255878284924	7.3026294078752e-61	3.190096004492851e-60	2	Shikimates and Phenylpropanoids
Starkeya	8.167232827408359e-05	8.898793845924413e-06	3.1980211971312014	0.413716814159292	0.08852005532503458	2.334318105465556e-60	9.687420137682056e-60	2	Shikimates and Phenylpropanoids
Intrasporangium	0.00011506500984860375	1.4049450527942634e-05	3.033773432306819	0.4207964601769911	0.08713692946058091	2.7873850957358953e-60	1.1016807759337111e-59	1	Alkaloids
Collimonas	0.00012749188987766838	1.7838654882109662e-05	2.8372571810765295	0.4327433628318584	0.0995850622406639	2.727652434149666e-59	1.0290688728837377e-58	3	Shikimates and Phenylpropanoids
Pseudarthrobacter	7.362279734263515e-05	1.0790755217222142e-05	2.770242632463078	0.41637168141592923	0.08852005532503458	4.323613676782358e-58	1.5602605877084162e-57	1	Shikimates and Phenylpropanoids
Sphingobium	0.00024749271018605654	6.88206655373486e-05	1.8464571490131876	0.4504424778761062	0.1078838174273859	8.869543880253541e-58	3.06738392525435e-57	2	Shikimates and Phenylpropanoids
Aminobacter	6.335537508822703e-05	1.1364304179768552e-05	2.4788534977048338	0.42035398230088494	0.09266943291839558	1.0072301112390464e-57	3.228587595039127e-57	1	Shikimates and Phenylpropanoids
Novosphingobium	0.00031472548371897516	8.984006124724547e-05	1.8086517093907821	0.45353982300884954	0.1078838174273859	1.0113647888074372e-57	3.228587595039127e-57	1	Shikimates and Phenylpropanoids
Burkholderia	0.000657718434577102	0.0003152277592647773	1.0610731380839327	0.4597345132743363	0.11756569847856155	2.8201096369102843e-57	8.669225920872356e-57	4	Alkaloids,Shikimates and Phenylpropanoids
Pseudoxanthomonas	0.00015429079931478053	3.3963542831285645e-05	2.1835600434926445	0.4451327433628319	0.1078838174273859	5.901493974113271e-57	1.7493714280407196e-56	1	Shikimates and Phenylpropanoids
Asticcacaulis	6.116581909756855e-05	1.5059807612162653e-05	2.0219501181697668	0.4176991150442478	0.0995850622406639	1.2494021821523424e-56	3.5758752109877388e-56	1	Shikimates and Phenylpropanoids
Magnetospirillum	0.00022074821569375303	4.987917100000773e-05	2.145869995930945	0.4433628318584071	0.1078838174273859	6.676152269224962e-56	1.8470687944855728e-55	1	Shikimates and Phenylpropanoids
Mucilaginibacter	0.0003877377426363407	6.66776229264119e-05	2.539788680936061	0.44778761061946903	0.11203319502074689	1.7717301558782115e-55	4.7436646108997274e-55	2	Alkaloids,Shikimates and Phenylpropanoids
Brevundimonas	9.550274994321513e-05	2.3377772854120535e-05	2.0303581763484004	0.4358407079646018	0.1037344398340249	3.811343341855823e-55	9.885671792938541e-55	1	Shikimates and Phenylpropanoids
Cupriavidus	0.00038493163643806857	0.00011391032165798749	1.7566948511695548	0.4557522123893805	0.11479944674965421	2.2031716100492686e-54	5.541310413154221e-54	5	Alkaloids,Shikimates and Phenylpropanoids
Sphingopyxis	8.452770822099018e-05	2.291981397172736e-05	1.8827831241456714	0.43495575221238936	0.10511756569847856	8.860459237102223e-54	2.162994460822013e-53	1	Shikimates and Phenylpropanoids
Massilia	0.0002987011980836241	7.504000624868098e-05	1.9929567755109727	0.4504424778761062	0.11341632088520055	9.553499427023539e-54	2.265544149837011e-53	1	Shikimates and Phenylpropanoids
Rhodospirillum	3.198231389160781e-05	6.148024848786428e-06	2.378889886718587	0.39424778761061946	0.08990318118948824	2.4898094618112366e-51	5.740394036953685e-51	1	Shikimates and Phenylpropanoids
Duganella	0.00013632356510494842	3.569147628461569e-05	1.933353651305721	0.4398230088495575	0.11341632088520055	4.8105977138135426e-51	1.0791340817473623e-50	2	Shikimates and Phenylpropanoids
Shinella	3.213980814921644e-05	7.470931437081742e-06	2.104853082666761	0.3991150442477876	0.08852005532503458	1.081566625961721e-50	2.3623692093374427e-50	1	Shikimates and Phenylpropanoids
Pseudomonas	0.0006399834765654835	0.00022578299127807585	1.5030937130025508	0.46017699115044247	0.12033195020746888	1.802700256355632e-50	3.836515930192755e-50	3	Shikimates and Phenylpropanoids
Chitinophaga	0.00020331662293622408	8.620305712549307e-05	1.237907593579016	0.4446902654867257	0.11479944674965421	1.8553487687730482e-49	3.849848695204075e-49	1	Shikimates and Phenylpropanoids
Pigmentiphaga	0.0001062559218196006	3.8612489072085357e-05	1.460379999167855	0.4336283185840708	0.10511756569847856	2.2186703999271253e-49	4.491454712047595e-49	3	Shikimates and Phenylpropanoids
Herbaspirillum	9.999949771545896e-05	3.817778189483935e-05	1.3891642015152512	0.43495575221238936	0.1078838174273859	1.0546923019244511e-48	2.0842728823745105e-48	2	Shikimates and Phenylpropanoids
Variovorax	0.0007124357140385942	0.0005619430392545544	0.3423353968611821	0.4561946902654867	0.11894882434301521	1.1052654249293008e-48	2.1334193085844644e-48	4	Shikimates and Phenylpropanoids
Achromobacter	8.736482747119341e-05	3.8995469231867095e-05	1.163725582791984	0.43495575221238936	0.10650069156293222	1.9382882516379437e-48	3.6563164746806666e-48	3	Alkaloids,Shikimates and Phenylpropanoids
Pandoraea	8.601403041238891e-05	3.718195093277205e-05	1.2099475101049106	0.4252212389380531	0.10650069156293222	2.3720517537212774e-48	4.3751176790859114e-48	1	Shikimates and Phenylpropanoids
Ramlibacter	0.00042416423956181476	0.00018183234806733298	1.2220095837951497	0.45132743362831856	0.11618257261410789	4.2529599900063404e-48	7.673819112402745e-48	2	Shikimates and Phenylpropanoids
Roseococcus	3.342729609031203e-05	9.296593139383733e-06	1.8461406193310883	0.4026548672566372	0.09266943291839558	6.709320346282297e-48	1.1848374228541078e-47	1	Shikimates and Phenylpropanoids
Roseateles	0.00012814244383091156	8.300131745425139e-05	0.6265361455995838	0.4358407079646018	0.11065006915629322	1.5731305662279693e-47	2.7202049374358633e-47	2	Shikimates and Phenylpropanoids
