genus	relab	sample_id	macro_env	env_medium	env_broad	gold_ecosystem_type	gold_specific	lat	lon	n_compounds	pathways
Nocardioides	0.4285900220087382	nmdc:bsm-12-h26y9x12	periphyton	epipsammon	freshwater river biome			39.758206	-102.447148	1	Shikimates and Phenylpropanoids
Hydrogenophaga	0.27763462226196695	nmdc:bsm-12-4xrt8184	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	4	Shikimates and Phenylpropanoids
Mycobacterium	0.22039949907699224	nmdc:bsm-11-wwkbjm31	soil	soil	terrestrial biome	Soil	Bulk soil	42.427091	-72.229737	1	Shikimates and Phenylpropanoids
Mycobacterium	0.21181295636857475	nmdc:bsm-11-55yy5h50	soil	soil	terrestrial biome	Soil	Unclassified	45.850153	-121.989672	1	Shikimates and Phenylpropanoids
Mycobacterium	0.19594938158689448	nmdc:bsm-11-268k4561	soil	soil	terrestrial biome	Soil	Unclassified	42.478565	-72.259572	1	Shikimates and Phenylpropanoids
Variovorax	0.18812465499061615	nmdc:bsm-12-7bht5w61	freshwater	stream water	freshwater stream biome			39.890674	-105.911293	4	Shikimates and Phenylpropanoids
Sphingomonas	0.184527751143444	nmdc:bsm-11-cp8crw45	soil			Soil	Desert	28.72122816	83.91438789	1	Shikimates and Phenylpropanoids
Mucilaginibacter	0.1839327379498756	nmdc:bsm-11-mrymeq51	soil			Soil	Unclassified	40.7988	-76.33928	2	Alkaloids,Shikimates and Phenylpropanoids
Pseudomonas	0.17590123165450472	nmdc:bsm-12-jvz5b207	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	3	Shikimates and Phenylpropanoids
Polaromonas	0.15579259630824427	nmdc:bsm-12-2072vp28	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	4	Shikimates and Phenylpropanoids
Streptomyces	0.15196735891119084	nmdc:bsm-11-anbvsb66	other			Volcanic	Unclassified	19.389305	-155.2485	2	Shikimates and Phenylpropanoids
Sphingomonas	0.1465958430030345	nmdc:bsm-11-e90czr72	soil			Soil	Desert	-13.773333	-71.071389	1	Shikimates and Phenylpropanoids
