compound_id	name	npc_pathway	tier	certainty	ncbi_taxid	taxon_name	superkingdom	phylum	class	order	family	genus	species	n_genomes	n_sig_carried	sig_completeness	score
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	12916	Acidovorax	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	12917	Acidovorax facilis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax facilis	3	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	169430	Paraburkholderia hospita	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia hospita	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1144309	Burkholderia sp. BT03	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BT03	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1245441	Paraburkholderia steynii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia steynii	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1822464	Paraburkholderia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		3	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1872122	Acidovorax sp.	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp.	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1882791	Burkholderia sp. CF099	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CF099	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1882792	Burkholderia sp. CF145	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CF145	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1882799	Burkholderia sp. YR290	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. YR290	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	1955812	Castellaniella sp.	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Castellaniella sp.	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	2004485	Acidovorax kalamii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax kalamii	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	2135695	Paraburkholderia sp. GV052	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp. GV052	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	2135696	Paraburkholderia sp. GV060	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp. GV060	1	2	1.0	2.669
Cc1_10	3-hydroxybenzoic acid	Shikimates and Phenylpropanoids	T2_pathway	high	2135697	Paraburkholderia sp. GV068	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp. GV068	1	2	1.0	2.669
