mapping_mode	outcome	analysis_tier	family	n_used
relaxed_all_clades	site_defense_score	confirmatory	base_spearman	108
relaxed_all_clades	site_defense_score	confirmatory	adj_ols	108
relaxed_all_clades	site_defense_score	confirmatory	adj_cov	108
relaxed_all_clades	site_defense_score	confirmatory	adj_site	108
relaxed_all_clades	site_defense_score	confirmatory	adj_frac	212
relaxed_all_clades	site_defense_score	confirmatory	highcov_subset	68
relaxed_all_clades	site_defense_score	confirmatory	frac_0_2_subset	106
relaxed_all_clades	site_defense_score	confirmatory	frac_10_subset	106
strict_single_clade	site_defense_score	confirmatory	base_spearman	108
strict_single_clade	site_defense_score	confirmatory	adj_ols	108
strict_single_clade	site_defense_score	confirmatory	adj_cov	108
strict_single_clade	site_defense_score	confirmatory	adj_site	108
strict_single_clade	site_defense_score	confirmatory	adj_frac	212
strict_single_clade	site_defense_score	confirmatory	highcov_subset	68
strict_single_clade	site_defense_score	confirmatory	frac_0_2_subset	106
strict_single_clade	site_defense_score	confirmatory	frac_10_subset	106
relaxed_all_clades	site_mobilome_score	exploratory	base_spearman	108
relaxed_all_clades	site_mobilome_score	exploratory	adj_ols	108
relaxed_all_clades	site_mobilome_score	exploratory	adj_cov	108
relaxed_all_clades	site_mobilome_score	exploratory	adj_site	108
relaxed_all_clades	site_mobilome_score	exploratory	adj_frac	212
relaxed_all_clades	site_mobilome_score	exploratory	highcov_subset	68
relaxed_all_clades	site_mobilome_score	exploratory	frac_0_2_subset	106
relaxed_all_clades	site_mobilome_score	exploratory	frac_10_subset	106
relaxed_all_clades	site_metabolism_score	exploratory	base_spearman	108
relaxed_all_clades	site_metabolism_score	exploratory	adj_ols	108
relaxed_all_clades	site_metabolism_score	exploratory	adj_cov	108
relaxed_all_clades	site_metabolism_score	exploratory	adj_site	108
relaxed_all_clades	site_metabolism_score	exploratory	adj_frac	212
relaxed_all_clades	site_metabolism_score	exploratory	highcov_subset	68
relaxed_all_clades	site_metabolism_score	exploratory	frac_0_2_subset	106
relaxed_all_clades	site_metabolism_score	exploratory	frac_10_subset	106
relaxed_all_clades	site_stress_score	exploratory	base_spearman	108
relaxed_all_clades	site_stress_score	exploratory	adj_ols	108
relaxed_all_clades	site_stress_score	exploratory	adj_cov	108
relaxed_all_clades	site_stress_score	exploratory	adj_site	108
relaxed_all_clades	site_stress_score	exploratory	adj_frac	212
relaxed_all_clades	site_stress_score	exploratory	highcov_subset	68
relaxed_all_clades	site_stress_score	exploratory	frac_0_2_subset	106
relaxed_all_clades	site_stress_score	exploratory	frac_10_subset	106
species_proxy_unique_genus	site_defense_score	exploratory	base_spearman	108
species_proxy_unique_genus	site_defense_score	exploratory	adj_ols	108
species_proxy_unique_genus	site_defense_score	exploratory	adj_cov	108
species_proxy_unique_genus	site_defense_score	exploratory	adj_site	108
species_proxy_unique_genus	site_defense_score	exploratory	adj_frac	212
species_proxy_unique_genus	site_defense_score	exploratory	highcov_subset	1
species_proxy_unique_genus	site_defense_score	exploratory	frac_0_2_subset	106
species_proxy_unique_genus	site_defense_score	exploratory	frac_10_subset	106
species_proxy_unique_genus	site_mobilome_score	exploratory	base_spearman	108
species_proxy_unique_genus	site_mobilome_score	exploratory	adj_ols	108
species_proxy_unique_genus	site_mobilome_score	exploratory	adj_cov	108
species_proxy_unique_genus	site_mobilome_score	exploratory	adj_site	108
species_proxy_unique_genus	site_mobilome_score	exploratory	adj_frac	212
species_proxy_unique_genus	site_mobilome_score	exploratory	highcov_subset	1
species_proxy_unique_genus	site_mobilome_score	exploratory	frac_0_2_subset	106
species_proxy_unique_genus	site_mobilome_score	exploratory	frac_10_subset	106
species_proxy_unique_genus	site_stress_score	exploratory	base_spearman	108
species_proxy_unique_genus	site_stress_score	exploratory	adj_ols	108
species_proxy_unique_genus	site_stress_score	exploratory	adj_cov	108
species_proxy_unique_genus	site_stress_score	exploratory	adj_site	108
species_proxy_unique_genus	site_stress_score	exploratory	adj_frac	212
species_proxy_unique_genus	site_stress_score	exploratory	highcov_subset	1
species_proxy_unique_genus	site_stress_score	exploratory	frac_0_2_subset	106
species_proxy_unique_genus	site_stress_score	exploratory	frac_10_subset	106
species_proxy_unique_genus	site_metabolism_score	exploratory	base_spearman	108
species_proxy_unique_genus	site_metabolism_score	exploratory	adj_ols	108
species_proxy_unique_genus	site_metabolism_score	exploratory	adj_cov	108
species_proxy_unique_genus	site_metabolism_score	exploratory	adj_site	108
species_proxy_unique_genus	site_metabolism_score	exploratory	adj_frac	212
species_proxy_unique_genus	site_metabolism_score	exploratory	highcov_subset	1
species_proxy_unique_genus	site_metabolism_score	exploratory	frac_0_2_subset	106
species_proxy_unique_genus	site_metabolism_score	exploratory	frac_10_subset	106
strict_single_clade	site_metabolism_score	exploratory	base_spearman	108
strict_single_clade	site_metabolism_score	exploratory	adj_ols	108
strict_single_clade	site_metabolism_score	exploratory	adj_cov	108
strict_single_clade	site_metabolism_score	exploratory	adj_site	108
strict_single_clade	site_metabolism_score	exploratory	adj_frac	212
strict_single_clade	site_metabolism_score	exploratory	highcov_subset	68
strict_single_clade	site_metabolism_score	exploratory	frac_0_2_subset	106
strict_single_clade	site_metabolism_score	exploratory	frac_10_subset	106
strict_single_clade	site_stress_score	exploratory	base_spearman	108
strict_single_clade	site_stress_score	exploratory	adj_ols	108
strict_single_clade	site_stress_score	exploratory	adj_cov	108
strict_single_clade	site_stress_score	exploratory	adj_site	108
strict_single_clade	site_stress_score	exploratory	adj_frac	212
strict_single_clade	site_stress_score	exploratory	highcov_subset	68
strict_single_clade	site_stress_score	exploratory	frac_0_2_subset	106
strict_single_clade	site_stress_score	exploratory	frac_10_subset	106
strict_single_clade	site_mobilome_score	exploratory	base_spearman	108
strict_single_clade	site_mobilome_score	exploratory	adj_ols	108
strict_single_clade	site_mobilome_score	exploratory	adj_cov	108
strict_single_clade	site_mobilome_score	exploratory	adj_site	108
strict_single_clade	site_mobilome_score	exploratory	adj_frac	212
strict_single_clade	site_mobilome_score	exploratory	highcov_subset	68
strict_single_clade	site_mobilome_score	exploratory	frac_0_2_subset	106
strict_single_clade	site_mobilome_score	exploratory	frac_10_subset	106
