sdt_sample_name	sdt_location_name	date	depth_meter	latitude_degree	longitude_degree	region
GW384-12-17-12	GW-384	2012-12-17	10.8204	35.992922	-84.239429	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 75
GW60-1A-60-2-4-13	GW-60-1A	2013-02-04	6.30936	35.987834	-84.248782	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 60
GW773-35-2-4-13	GW-773	2013-02-04	15.621	35.991147	-84.246683	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 35
GW704-5-12-17-12	GW-704	2012-12-12	74.5236	35.96353	-84.290837	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 5
FW104-67-11-14-12	FW-104	2012-11-14	12.58062	35.97736	-84.273562	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 67
GW123-93-11-14-12	GW-123	2012-11-14	159.1056	35.976106	-84.273314	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 93
PTMW02-4-12-11-12	PTMW02	2012-12-11	12.10056	35.975573	-84.276332	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 4
GW754-40-1-7-13	GW-754	2013-01-07	5.77596	35.993378	-84.241189	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 40
GW345-51-11-27-12	GW-345	2012-11-27	6.4008	35.97508	-84.276925	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 51
GW761-29-1-28-13	GW-761	2013-01-28	3.09372	35.989904	-84.250491	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 29
FW109-1-7-25-12	FW-109-40	2012-07-25	11.708892	35.977374	-84.273577	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 92
GW057-10-1-8-13	GW-057	2013-01-08	16.52016	35.957737	-84.300523	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 10
GW621-21-12-17-12	GW-621	2012-12-17	9.95172	35.964088	-84.2909	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 21
GW228-12-2-4-13	GW-228	2013-02-04	24.384	35.96866	-84.283453	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 12
GW314-97-2-19-13	GW-314	2013-02-19	32.9184	35.97587976	-84.27177607	Tennessee (TN), Oak Ridge Reservation (ORR), Area none, Cluster 97
GW084-56-11-28-12	GW-084	2012-11-28	7.71144	35.973088	-84.28314	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 56
GW737-12-12-12	GW-737	2012-12-12	25.72512	35.97079	-84.280741	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 64
GW086-25-12-3-12	GW-086	2012-12-03	8.26008	35.972458	-84.281497	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 25
FW511-61-11-26-12	FW-511	2012-11-26	6.0579	35.978501	-84.272035	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 61
GW115-2-11-26-12	GW-115	2012-11-26	14.3256	35.980507	-84.273333	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 2
GW198-41-2-11-13	GW-198	2013-02-11	6.5532	35.994113	-84.244751	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 41
FW104-7-26-12	FW-104	2012-07-26	12.58062	35.97736	-84.273562	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 67
FW109-40-92-11-14-12	FW-109-40	2012-11-14	11.708892	35.977374	-84.273577	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 92
