genus	genus_norm	mapping_mode	feature_name	feature_value
67-14	67_14	strict_single_clade	cog_defense_fraction	0.012452107279693486
Abiotrophia	abiotrophia	strict_single_clade	cog_defense_fraction	0.03956043956043956
Acetoanaerobium	acetoanaerobium	strict_single_clade	cog_defense_fraction	0.022269676632092738
Acetobacterium	acetobacterium	strict_single_clade	cog_defense_fraction	0.02601855586930214
Achromobacter	achromobacter	strict_single_clade	cog_defense_fraction	0.01888695847110912
Acidaminococcus	acidaminococcus	strict_single_clade	cog_defense_fraction	0.021218343600273786
Acidiphilium	acidiphilium	strict_single_clade	cog_defense_fraction	0.012402813772676786
Acidipila	acidipila	strict_single_clade	cog_defense_fraction	0.027783452502553627
Acidisoma	acidisoma	strict_single_clade	cog_defense_fraction	0.011915844349283188
Acidithiobacillus	acidithiobacillus	strict_single_clade	cog_defense_fraction	0.02015267175572519
Acidocella	acidocella	strict_single_clade	cog_defense_fraction	0.015668385561285206
Acidothermus	acidothermus	strict_single_clade	cog_defense_fraction	0.015489749430523917
Acinetobacter	acinetobacter	strict_single_clade	cog_defense_fraction	0.022533077288983634
Actinobacillus	actinobacillus	strict_single_clade	cog_defense_fraction	0.0287569573283859
Actinomadura	actinomadura	strict_single_clade	cog_defense_fraction	0.01675107128944293
Actinomyces	actinomyces	strict_single_clade	cog_defense_fraction	0.04442190669371197
Actinophytocola	actinophytocola	strict_single_clade	cog_defense_fraction	0.02102683178534572
Actinoplanes	actinoplanes	strict_single_clade	cog_defense_fraction	0.02356258181452019
Actinotalea	actinotalea	strict_single_clade	cog_defense_fraction	0.021575984990619138
Advenella	advenella	strict_single_clade	cog_defense_fraction	0.012361331220285262
Aeromicrobium	aeromicrobium	strict_single_clade	cog_defense_fraction	0.018346493265211334
Aeromonas	aeromonas	strict_single_clade	cog_defense_fraction	0.032171857333744475
Afipia	afipia	strict_single_clade	cog_defense_fraction	0.012180899313204614
Agathobacter	agathobacter	strict_single_clade	cog_defense_fraction	0.05364445513591532
Aggregatibacter	aggregatibacter	strict_single_clade	cog_defense_fraction	0.02014242115971516
Algoriphagus	algoriphagus	strict_single_clade	cog_defense_fraction	0.024475524475524476
Alicyclobacillus	alicyclobacillus	strict_single_clade	cog_defense_fraction	0.015132002575660013
Aliihoeflea	aliihoeflea	strict_single_clade	cog_defense_fraction	0.009267840593141797
Alishewanella	alishewanella	strict_single_clade	cog_defense_fraction	0.019971469329529243
Alistipes	alistipes	strict_single_clade	cog_defense_fraction	0.024717000726970608
Alkaliphilus	alkaliphilus	strict_single_clade	cog_defense_fraction	0.024492426683854335
Alloiococcus	alloiococcus	strict_single_clade	cog_defense_fraction	0.03365079365079365
Alloprevotella	alloprevotella	strict_single_clade	cog_defense_fraction	0.031870333272627935
Altererythrobacter	altererythrobacter	strict_single_clade	cog_defense_fraction	0.012467755803955288
Aminobacter	aminobacter	strict_single_clade	cog_defense_fraction	0.012429783673957213
Amphiplicatus	amphiplicatus	strict_single_clade	cog_defense_fraction	0.014057008980866849
Amycolatopsis	amycolatopsis	strict_single_clade	cog_defense_fraction	0.017825311942959002
Amylibacter	amylibacter	strict_single_clade	cog_defense_fraction	0.014419428282317227
Anaerobacillus	anaerobacillus	strict_single_clade	cog_defense_fraction	0.019558359621451103
Anaerococcus	anaerococcus	strict_single_clade	cog_defense_fraction	0.04113785557986871
Anaerocolumna	anaerocolumna	strict_single_clade	cog_defense_fraction	0.03957155608449866
Anaerofustis	anaerofustis	strict_single_clade	cog_defense_fraction	0.02732463295269168
Anaeromyxobacter	anaeromyxobacter	strict_single_clade	cog_defense_fraction	0.01783646050498031
Anaerospora	anaerospora	strict_single_clade	cog_defense_fraction	0.019984627209838585
Anaerosporobacter	anaerosporobacter	strict_single_clade	cog_defense_fraction	0.03864434800578632
Ancylobacter	ancylobacter	strict_single_clade	cog_defense_fraction	0.012552301255230125
Anoxybacillus	anoxybacillus	strict_single_clade	cog_defense_fraction	0.024433497536945813
Aquabacterium	aquabacterium	strict_single_clade	cog_defense_fraction	0.01544660846205507
Aquicella	aquicella	strict_single_clade	cog_defense_fraction	0.015151515151515152
Aquimonas	aquimonas	strict_single_clade	cog_defense_fraction	0.0233847637415622
Aquitalea	aquitalea	strict_single_clade	cog_defense_fraction	0.012192368480469631
Arenimonas	arenimonas	strict_single_clade	cog_defense_fraction	0.021309569934134055
Aridibacter	aridibacter	strict_single_clade	cog_defense_fraction	0.021225470564677613
Arsenophonus	arsenophonus	strict_single_clade	cog_defense_fraction	0.01583531274742676
Arthrobacter	arthrobacter	strict_single_clade	cog_defense_fraction	0.028112449799196786
Asticcacaulis	asticcacaulis	strict_single_clade	cog_defense_fraction	0.013243378310844578
Aurantimicrobium	aurantimicrobium	strict_single_clade	cog_defense_fraction	0.012910798122065728
Aureimonas	aureimonas	strict_single_clade	cog_defense_fraction	0.011505273250239693
Aureispira	aureispira	strict_single_clade	cog_defense_fraction	0.023767214571301643
Azoarcus	azoarcus	strict_single_clade	cog_defense_fraction	0.01141826923076923
Azospira	azospira	strict_single_clade	cog_defense_fraction	0.017903645833333332
Azospirillum	azospirillum	strict_single_clade	cog_defense_fraction	0.016356079903472317
Azovibrio	azovibrio	strict_single_clade	cog_defense_fraction	0.01956721915285451
Bacillus	bacillus	strict_single_clade	cog_defense_fraction	0.027361344537815125
Bacteriovorax	bacteriovorax	strict_single_clade	cog_defense_fraction	0.01454681089145841
Bacteroides	bacteroides	strict_single_clade	cog_defense_fraction	0.029122847567317693
Bdellovibrio	bdellovibrio	strict_single_clade	cog_defense_fraction	0.015930965814802522
Beggiatoa	beggiatoa	strict_single_clade	cog_defense_fraction	0.018682065217391304
Bellilinea	bellilinea	strict_single_clade	cog_defense_fraction	0.020164046479835954
Belnapia	belnapia	strict_single_clade	cog_defense_fraction	0.011610762992996683
Bifidobacterium	bifidobacterium	strict_single_clade	cog_defense_fraction	0.05411366811263878
Blastococcus	blastococcus	strict_single_clade	cog_defense_fraction	0.016258246936852027
Blastopirellula	blastopirellula	strict_single_clade	cog_defense_fraction	0.014928698752228164
Bosea	bosea	strict_single_clade	cog_defense_fraction	0.008089305937550558
Brachybacterium	brachybacterium	strict_single_clade	cog_defense_fraction	0.028530895334174022
Brachyspira	brachyspira	strict_single_clade	cog_defense_fraction	0.03414948453608247
Bradyrhizobium	bradyrhizobium	strict_single_clade	cog_defense_fraction	0.013954713006845709
Brevibacillus	brevibacillus	strict_single_clade	cog_defense_fraction	0.0235655737704918
Brevibacterium	brevibacterium	strict_single_clade	cog_defense_fraction	0.03102598566308244
Brevundimonas	brevundimonas	strict_single_clade	cog_defense_fraction	0.016898008449004225
Brochothrix	brochothrix	strict_single_clade	cog_defense_fraction	0.033101045296167246
Buchnera	buchnera	strict_single_clade	cog_defense_fraction	0.004392386530014641
Bythopirellula	bythopirellula	strict_single_clade	cog_defense_fraction	0.01321900678813862
Caldalkalibacillus	caldalkalibacillus	strict_single_clade	cog_defense_fraction	0.014492753623188406
Caldicoprobacter	caldicoprobacter	strict_single_clade	cog_defense_fraction	0.025130890052356022
Caldithrix	caldithrix	strict_single_clade	cog_defense_fraction	0.01978643216080402
Campylobacter	campylobacter	strict_single_clade	cog_defense_fraction	0.04603674156481007
Capnocytophaga	capnocytophaga	strict_single_clade	cog_defense_fraction	0.02159468438538206
Carboxydocella	carboxydocella	strict_single_clade	cog_defense_fraction	0.01238615664845173
Carboxydothermus	carboxydothermus	strict_single_clade	cog_defense_fraction	0.01166407465007776
Carnobacterium	carnobacterium	strict_single_clade	cog_defense_fraction	0.030060422960725076
Castellaniella	castellaniella	strict_single_clade	cog_defense_fraction	0.010617760617760617
Catellatospora	catellatospora	strict_single_clade	cog_defense_fraction	0.02839564600094652
Caulobacter	caulobacter	strict_single_clade	cog_defense_fraction	0.014444157854010833
Cellulomonas	cellulomonas	strict_single_clade	cog_defense_fraction	0.04098181021257944
Cellvibrio	cellvibrio	strict_single_clade	cog_defense_fraction	0.015187849720223821
Cephaloticoccus	cephaloticoccus	strict_single_clade	cog_defense_fraction	0.011224987798926306
Cerasicoccus	cerasicoccus	strict_single_clade	cog_defense_fraction	0.010823347506764593
CG1-02-40-25	cg1_02_40_25	strict_single_clade	cog_defense_fraction	0.020964360587002098
Chelatococcus	chelatococcus	strict_single_clade	cog_defense_fraction	0.011335360796239978
Chiayiivirga	chiayiivirga	strict_single_clade	cog_defense_fraction	0.023746701846965697
Chitinibacter	chitinibacter	strict_single_clade	cog_defense_fraction	0.014130791981597108
Chitinimonas	chitinimonas	strict_single_clade	cog_defense_fraction	0.010479041916167664
Chitinophaga	chitinophaga	strict_single_clade	cog_defense_fraction	0.0223292469352014
Chlorobium	chlorobium	strict_single_clade	cog_defense_fraction	0.03176443310920473
