expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS01740	BPHYT_RS01740		hypothetical protein	-1.18187338204202	-6.93724650459811	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS01740	BPHYT_RS01740		hypothetical protein	-1.17822559292967	-5.63171336345567	TRUE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS01830	BPHYT_RS01830		LacI family transcriptional regulator	-2.25905098088819	-10.3142559458173	FALSE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS01830	BPHYT_RS01830		LacI family transcriptional regulator	-1.78990011655715	-8.90119906999577	FALSE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS01830	BPHYT_RS01830		LacI family transcriptional regulator	-1.62308118784672	-8.3969998875077	FALSE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS01830	BPHYT_RS01830		LacI family transcriptional regulator	-1.5199848651456	-7.16813238879712	FALSE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS07000	BPHYT_RS07000		acetyl-CoA synthetase	-2.05111606064712	-14.2866411641166	FALSE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS07000	BPHYT_RS07000		acetyl-CoA synthetase	-1.98643451320287	-11.8127518466326	FALSE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS07000	BPHYT_RS07000		acetyl-CoA synthetase	-1.44742097708649	-9.44737478845506	FALSE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS07000	BPHYT_RS07000		acetyl-CoA synthetase	-1.44574505263265	-9.16828212908989	FALSE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS11325	BPHYT_RS11325		voltage-gated chloride channel protein ClcB	-1.29513434495804	-5.43684791012007	FALSE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS11365	BPHYT_RS11365		TetR family transcriptional regulator	-1.14448929915443	-5.21753881881201	FALSE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS15470	BPHYT_RS15470		tRNA (guanine-N(7)-)-methyltransferase	-2.06638677830496	-10.3763893978225	TRUE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS15470	BPHYT_RS15470		tRNA (guanine-N(7)-)-methyltransferase	-1.85889340054276	-7.04142076356149	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS15470	BPHYT_RS15470		tRNA (guanine-N(7)-)-methyltransferase	-1.64829257794044	-8.85727494260385	TRUE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS15470	BPHYT_RS15470		tRNA (guanine-N(7)-)-methyltransferase	-1.58786589527836	-7.06552399041227	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS21705	BPHYT_RS21705		sulfoacetaldehyde acetyltransferase	-2.50525479259941	-6.7132683270476	FALSE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS21705	BPHYT_RS21705		sulfoacetaldehyde acetyltransferase	-2.28296716102677	-6.48950741497365	FALSE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS21705	BPHYT_RS21705		sulfoacetaldehyde acetyltransferase	-2.2663729656071	-5.36304704764311	FALSE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS21705	BPHYT_RS21705		sulfoacetaldehyde acetyltransferase	-1.7858859699633	-6.63214293084623	FALSE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS22600	BPHYT_RS22600		transport protein RbsD/FucU	2.07684332753365	6.73498373528161	FALSE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS22600	BPHYT_RS22600		transport protein RbsD/FucU	2.2115981942675	10.6301151247585	FALSE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS25785	BPHYT_RS25785		sugar ABC transporter permease	2.58112821566017	5.00325927421821	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS25785	BPHYT_RS25785		sugar ABC transporter permease	2.83392706601085	6.76614881745312	TRUE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS25785	BPHYT_RS25785		sugar ABC transporter permease	3.97361648987064	7.31399334187737	TRUE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS25785	BPHYT_RS25785		sugar ABC transporter permease	4.26459579169811	8.67391905696157	TRUE
carbon source	set6IT057	2-Deoxy-D-Ribose	BPHYT_RS25805	BPHYT_RS25805		ribokinase	-3.99215616159543	-5.54173027478158	TRUE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS25805	BPHYT_RS25805		ribokinase	-3.76536149132821	-5.44913378288894	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS25805	BPHYT_RS25805		ribokinase	-2.95927546874893	-5.67621258400842	TRUE
carbon source	set6IT055	2-Deoxy-D-Ribose	BPHYT_RS25805	BPHYT_RS25805		ribokinase	-2.7485620781002	-5.53765543836344	TRUE
carbon source	set6IT058	2-Deoxy-D-Ribose	BPHYT_RS25810	BPHYT_RS25810		aldehyde dehydrogenase	-6.10739551194717	-5.50269219502564	TRUE
carbon source	set6IT056	2-Deoxy-D-Ribose	BPHYT_RS25810	BPHYT_RS25810		aldehyde dehydrogenase	-3.31607901630892	-6.50521188326236	TRUE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS01830	BPHYT_RS01830		LacI family transcriptional regulator	-1.57176637211688	-5.70664735755546	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS07000	BPHYT_RS07000		acetyl-CoA synthetase	-1.12052059576728	-5.90104850508433	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS09150	BPHYT_RS09150		acetyl-CoA acetyltransferase	3.30736405027372	12.7258875105607	TRUE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS10950	BPHYT_RS10950		transcriptional regulator	10.0268302880695	37.0878653202948	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS12875	BPHYT_RS12875		oligopeptidase A	-1.60797217356356	-5.8612770580588	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS16575	BPHYT_RS16575		Xaa-Pro aminopeptidase	-1.43826004893437	-5.80728491980719	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS21750	BPHYT_RS21750		major facilitator transporter	-1.13037714083182	-5.94964014834856	FALSE
carbon source	set6IT059	2-Deoxy-D-ribonic acid lithium salt	BPHYT_RS34340	BPHYT_RS34340		Fis family transcriptional regulator	2.52563350506531	11.5520931674983	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS02940	BPHYT_RS02940		adenine phosphoribosyltransferase	6.9324611001129	34.5372524022272	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS03555	BPHYT_RS03555		glutamine-synthetase adenylyltransferase	4.01188672294314	8.85226883671628	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS03880	BPHYT_RS03880		LysR family transcriptional regulator	2.35031400332514	15.9892457691867	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS03980	BPHYT_RS03980		mannose-1-phosphate guanyltransferase	1.59455506137164	7.06554865229492	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS04050	BPHYT_RS04050		group 1 glycosyl transferase	1.30671614910574	5.37082453786673	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS04055	BPHYT_RS04055		PST family polysaccharide export protein	1.80175967272572	5.67725059261908	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS07520	BPHYT_RS07520		permease	1.6109735871149	6.83190816624289	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS07615	BPHYT_RS07615		glycogen synthase	2.4636246305401	8.57630760834136	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS07995	BPHYT_RS07995		diguanylate phosphodiesterase	-2.7666224228913	-5.22059607805028	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS08580	BPHYT_RS08580		ADP-ribose pyrophosphatase	2.6920635551496	9.79417370819907	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS08835	BPHYT_RS08835		glyoxylate carboligase	2.0443858604554	10.5985650642433	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS08840	BPHYT_RS08840		LysR family transcriptional regulator	1.92468550548671	8.25912975555121	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS09400	BPHYT_RS09400		spermidine/putrescine ABC transporter ATPase	1.18933066442176	5.53462724849189	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS09405	BPHYT_RS09405		branched-chain amino acid ABC transporter substrate-binding protein	1.52683773480782	5.75654158413113	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS11325	BPHYT_RS11325		voltage-gated chloride channel protein ClcB	4.1289521813496	17.4084500250458	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS11515	BPHYT_RS11515		LysR family transcriptional regulator	1.31103246668713	5.36327603743092	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS11545	BPHYT_RS11545		allantoicase	1.61806542588515	10.1178905822323	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS13655	BPHYT_RS13655		GTP pyrophosphokinase	2.20184061158486	15.3248464015926	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS14655	BPHYT_RS14655		Fis family transcriptional regulator	1.77848851777014	6.93095336330674	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS15080	BPHYT_RS15080		FAD-binding molybdopterin dehydrogenase	2.055141275023	5.53143795139445	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS15085	BPHYT_RS15085		aldehyde oxidase	1.83097798244283	10.5434773718199	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS15095	BPHYT_RS15095		adenine deaminase	1.05843600347167	5.73055956681108	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS15450	BPHYT_RS15450		chromosome partitioning protein	1.45760796683327	6.22842716677778	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS15455	BPHYT_RS15455		hypothetical protein	1.9212464323855	6.44858663888599	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS16455	BPHYT_RS16455		ferritin	1.15429500569737	7.10771638736827	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS16895	BPHYT_RS16895		competence damage-inducible protein A	-1.70871522554003	-6.91558134998637	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS17085	BPHYT_RS17085		hypoxanthine phosphoribosyltransferase	2.6051858608018	11.7495672384781	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS18620	BPHYT_RS18620		transcriptional regulator	1.46850162665358	5.2380124694799	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS21240	BPHYT_RS21240		LuxR family transcriptional regulator	1.24105107405157	5.9630732565823	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS21705	BPHYT_RS21705		sulfoacetaldehyde acetyltransferase	1.77458471987876	5.84220456524633	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS21740	BPHYT_RS21740		IclR family transcriptional regulator	2.84962416077696	14.5953342930614	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS21745	BPHYT_RS21745		choline dehydrogenase	3.14796466061699	13.6007656981916	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS21750	BPHYT_RS21750		major facilitator transporter	2.7176838707145	9.4075790182607	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS22235	BPHYT_RS22235		sensor histidine kinase	-1.77716749040458	-5.921570382007	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS22240	BPHYT_RS22240		hypothetical protein	-1.75656124589972	-5.96828399816984	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS22245	BPHYT_RS22245		sodium:solute symporter	-1.4868073884297	-5.27300434153815	TRUE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS33635	BPHYT_RS33635		AMP nucleosidase	-2.42902902701961	-10.7409595535586	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS33980	BPHYT_RS33980		aconitate hydratase	1.33701113497778	8.40194937951385	FALSE
carbon source	set8IT028	2-Deoxyadenosine 5-monophosphate	BPHYT_RS36565	BPHYT_RS36565		hypothetical protein	1.35751704254775	5.28578424739644	FALSE
carbon source	set11IT004	Azelaic acid	BPHYT_RS03780	BPHYT_RS03780		acyl-CoA dehydrogenase	-4.57543400099023	-7.35549545831058	TRUE
carbon source	set11IT004	Azelaic acid	BPHYT_RS09560	BPHYT_RS09560		3-hydroxyacyl-CoA dehydrogenase	-2.82895171199561	-5.22797717594799	FALSE
carbon source	set11IT004	Azelaic acid	BPHYT_RS20305	BPHYT_RS20305		hypothetical protein	-4.41366964940993	-6.559370496108	TRUE
carbon source	set11IT004	Azelaic acid	BPHYT_RS25035	BPHYT_RS25035		long-chain fatty acid--CoA ligase	-3.31548065116618	-5.62519039745824	FALSE
carbon source	set1IT026	D-Alanine	BPHYT_RS12965	BPHYT_RS12965		fatty acid hydroxylase	-1.490537234827	-6.80528572347341	FALSE
carbon source	set1IT026	D-Alanine	BPHYT_RS12970	BPHYT_RS12970		hypothetical protein	-1.64138370008184	-8.29332901775638	FALSE
carbon source	set1IT026	D-Alanine	BPHYT_RS14785	BPHYT_RS14785		AsnC family transcriptional regulator	-3.33688337088725	-9.61635554126323	TRUE
carbon source	set1IT026	D-Alanine	BPHYT_RS14790	BPHYT_RS14790		D-amino acid dehydrogenase	-3.47188538278276	-7.03091423971519	TRUE
carbon source	set1IT026	D-Alanine	BPHYT_RS22240	BPHYT_RS22240		hypothetical protein	-1.1428269961528	-7.52486652985654	TRUE
carbon source	set1IT026	D-Alanine	BPHYT_RS22245	BPHYT_RS22245		sodium:solute symporter	-1.29512080988023	-8.45568681289582	TRUE
carbon source	set1IT026	D-Alanine	BPHYT_RS33220	BPHYT_RS33220		group 1 glycosyl transferase	-1.40163089884969	-7.01536430317766	FALSE
carbon source	set1IT005	D-Galactose	BPHYT_RS16405	BPHYT_RS16405		galactonate dehydratase	-2.58372937554702	-12.1654434946971	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16920	BPHYT_RS16920		3-oxoacyl-ACP reductase	-2.10660195799207	-5.74395427263148	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16925	BPHYT_RS16925		arabinose ABC transporter permease	-1.87918662160568	-8.25957287446471	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16930	BPHYT_RS16930		arabinose ABC transporter ATP-binding protein	-2.12975481320814	-10.9892016649072	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16935	BPHYT_RS16935		arabinose ABC transporter substrate-binding protein	-2.10270953675299	-8.16492148859972	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16940	BPHYT_RS16940		short-chain dehydrogenase	-2.20557824419234	-6.77870572380036	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16945	BPHYT_RS16945		2-dehydro-3-deoxy-6-phosphogalactonate aldolase	-6.24304014815495	-6.96903172518219	TRUE
carbon source	set1IT005	D-Galactose	BPHYT_RS16955	BPHYT_RS16955		IclR family transcriptional regulator	-3.13492233060226	-10.6241885493259	TRUE
carbon source	set1IT015	D-Galacturonic Acid monohydrate	BPHYT_RS24155	BPHYT_RS24155		5-dehydro-4-deoxyglucarate dehydratase	-2.15562457272085	-6.74874474802689	TRUE
carbon source	set1IT008	D-Gluconic Acid sodium salt	BPHYT_RS11290	BPHYT_RS11290		bifunctional glyoxylate/hydroxypyruvate reductase B	-2.37341713173648	-5.56258459003023	TRUE
carbon source	set1IT008	D-Gluconic Acid sodium salt	BPHYT_RS16720	BPHYT_RS16720		gluconate kinase	-5.58718654713359	-5.07632167995927	TRUE
carbon source	set1IT008	D-Gluconic Acid sodium salt	BPHYT_RS16725	BPHYT_RS16725		permease	-4.07781227074442	-12.8508194388721	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS01695	BPHYT_RS01695		L-glyceraldehyde 3-phosphate reductase	1.09385304634476	6.59283823488255	FALSE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS02735	BPHYT_RS02735		iron dicitrate transport regulator FecR	-3.6047239464065	-8.85592236313532	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS06885	BPHYT_RS06885		NADP-dependent aryl-alcohol dehydrogenase	1.12785976111706	9.2463542257269	FALSE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS15780	BPHYT_RS15780		ABC transporter ATP-binding protein	-1.15831941535598	-8.01774662926325	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS15795	BPHYT_RS15795		hypothetical protein	-1.72040245701705	-7.57000145645354	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS15800	BPHYT_RS15800		GntR family transcriptional regulator	7.00826383855296	38.294066108805	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS15805	BPHYT_RS15805		carnitine dehydratase	-1.15154968773379	-5.57165489874498	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS16505	BPHYT_RS16505		HAD family hydrolase	-2.0211262296717	-6.02497965959983	TRUE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS19055	BPHYT_RS19055		COF family hydrolase	-2.34485696714941	-13.4483532089632	FALSE
carbon source	set2IT079	D-Glucosamine Hydrochloride	BPHYT_RS22485	BPHYT_RS22485		NADP-dependent aryl-alcohol dehydrogenase	1.56501202100351	7.53607519776991	FALSE
carbon source	set11IT008	D-Glucose	BPHYT_RS15490	BPHYT_RS15490		coproporphyrinogen III oxidase	-1.6516903465967	-5.4000155231165	TRUE
carbon source	set11IT008	D-Glucose	BPHYT_RS33635	BPHYT_RS33635		AMP nucleosidase	2.29470432652948	15.3130217535631	FALSE
carbon source	set1IT007	D-Ribose	BPHYT_RS20675	BPHYT_RS20675		LysR family transcriptional regulator	-3.54192958796797	-7.25258076674211	FALSE
carbon source	set1IT007	D-Ribose	BPHYT_RS20685	BPHYT_RS20685		ribose ABC transporter ATPase	-2.77925307306899	-6.91906519714135	TRUE
carbon source	set1IT016	D-Sorbitol	BPHYT_RS16095	BPHYT_RS16095		sugar ABC transporter ATP-binding protein	-4.14952176326963	-9.6589961969899	TRUE
carbon source	set1IT016	D-Sorbitol	BPHYT_RS16105	BPHYT_RS16105		mannitol ABC transporter permease	-3.45869629141139	-7.61230852643331	TRUE
carbon source	set1IT016	D-Sorbitol	BPHYT_RS16110	BPHYT_RS16110		sugar ABC transporter permease	-3.98405679711464	-9.43554985873763	TRUE
carbon source	set1IT016	D-Sorbitol	BPHYT_RS16115	BPHYT_RS16115		sugar ABC transporter substrate-binding protein	-3.77916163182298	-12.1631316059051	TRUE
carbon source	set1IT016	D-Sorbitol	BPHYT_RS16120	BPHYT_RS16120		sorbitol dehydrogenase	-3.85058179679359	-12.6372892720046	TRUE
carbon source	set2IT070	D-Xylose	BPHYT_RS03975	BPHYT_RS03975		AraC family transcriptional regulator	1.34451349075965	5.45441816020636	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS03980	BPHYT_RS03980		mannose-1-phosphate guanyltransferase	1.27013646555946	8.79244258719473	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS04055	BPHYT_RS04055		PST family polysaccharide export protein	1.41102283399078	6.19847385113555	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS14655	BPHYT_RS14655		Fis family transcriptional regulator	1.6973094782694	12.6360730562766	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS17865	BPHYT_RS17865		membrane protein	-1.78700752297465	-6.79219611499867	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS27100	BPHYT_RS27100		RNase II stability modulator	-2.46137226258692	-10.153323359047	FALSE
carbon source	set2IT070	D-Xylose	BPHYT_RS32825	BPHYT_RS32825		xylose isomerase	-4.52889627364904	-6.25806128440858	TRUE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS01465	BPHYT_RS01465		lysine transporter LysE	1.15748463415982	7.72659974065711	TRUE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS01465	BPHYT_RS01465		lysine transporter LysE	1.23745724127261	7.43259093281332	TRUE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS02940	BPHYT_RS02940		adenine phosphoribosyltransferase	5.04916652919657	21.5770831988046	TRUE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS02940	BPHYT_RS02940		adenine phosphoribosyltransferase	5.37184618765182	20.4307259455028	TRUE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS03555	BPHYT_RS03555		glutamine-synthetase adenylyltransferase	3.37476781764683	10.530794530628	TRUE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS03555	BPHYT_RS03555		glutamine-synthetase adenylyltransferase	3.4785675784777	9.862245299927	TRUE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS03865	BPHYT_RS03865		FAD-binding molybdopterin dehydrogenase	-1.11792575367308	-5.06798307365083	FALSE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS03870	BPHYT_RS03870		aldehyde oxidase	-1.16206543003889	-5.11183130868753	FALSE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS03870	BPHYT_RS03870		aldehyde oxidase	-1.00497140322736	-6.32882215649778	FALSE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS03880	BPHYT_RS03880		LysR family transcriptional regulator	-1.30536786718827	-5.00463892490636	FALSE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS05060	BPHYT_RS05060		membrane protein	1.09580069335877	5.47977515951471	FALSE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS11545	BPHYT_RS11545		allantoicase	-1.31722662653734	-5.56343033644774	FALSE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS12520	BPHYT_RS12520		nicotinate phosphoribosyltransferase	2.16845979634043	6.42828973693282	TRUE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS12830	BPHYT_RS12830		dihydrolipoamide dehydrogenase	-1.32173087957641	-5.73216623831537	FALSE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS14535	BPHYT_RS14535		nicotinate phosphoribosyltransferase	-1.34724651823822	-5.33747335587697	FALSE
carbon source	set8IT022	Deoxyribonucleic acid from herring sperm	BPHYT_RS15095	BPHYT_RS15095		adenine deaminase	1.00876922592965	5.31008886563167	TRUE
carbon source	set8IT031	Deoxyribonucleic acid from herring sperm	BPHYT_RS15095	BPHYT_RS15095		adenine deaminase	1.44587489397445	8.04993649554108	TRUE
