expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
	set19S43	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-3.33576567665827	-8.97496434456071	FALSE
	set19S32	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-2.22245412122739	-7.25762797859246	FALSE
	set19S20	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-1.89941141637483	-7.36036825798714	FALSE
	set19S44	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-1.85191022461016	-6.09392969815509	FALSE
	set19S19	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-1.66192468293344	-7.30620835831081	FALSE
	set19S31	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-1.39373029422822	-6.11648266976232	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS10645	BBR_RS10645		Hsp20/alpha crystallin family protein	-1.14911124489428	-5.23750977483687	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11095	BBR_RS11095		DUF4862 domain-containing protein	-3.16324063835402	-11.4355851761936	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11095	BBR_RS11095		DUF4862 domain-containing protein	-2.05303631957916	-11.2245972038878	FALSE
	set19S43	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11095	BBR_RS11095		DUF4862 domain-containing protein	-1.57366963869956	-5.66345307713608	FALSE
	set19S44	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11095	BBR_RS11095		DUF4862 domain-containing protein	-1.31329591256784	-6.29606468047693	FALSE
	set19S21	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11095	BBR_RS11095		DUF4862 domain-containing protein	-1.19303558025673	-6.11550909835076	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11100	BBR_RS11100		ROK family protein	-3.61083702316029	-9.50981411493868	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11100	BBR_RS11100		ROK family protein	-2.40489698794305	-8.75793692533993	FALSE
	set19S21	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11100	BBR_RS11100		ROK family protein	-1.61282986874444	-6.67219924740721	FALSE
	set19S44	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11100	BBR_RS11100		ROK family protein	-1.33316910178695	-5.02766915290763	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11105	BBR_RS11105		putative N-acetylmannosamine-6-phosphate 2-epimerase	-2.18983023592915	-10.4794531392116	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11105	BBR_RS11105		putative N-acetylmannosamine-6-phosphate 2-epimerase	-1.66035087553134	-6.50174870391945	FALSE
	set19S21	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11105	BBR_RS11105		putative N-acetylmannosamine-6-phosphate 2-epimerase	-1.34154642067879	-7.19987410704733	FALSE
	set19S20	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11105	BBR_RS11105		putative N-acetylmannosamine-6-phosphate 2-epimerase	-1.14187523287613	-6.66425434814612	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11165	BBR_RS11165		serine/threonine protein phosphatase	-1.7762161529682	-8.11887598315398	FALSE
	set19S43	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS11165	BBR_RS11165		serine/threonine protein phosphatase	-1.55851022533459	-6.92993598531493	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS12515	BBR_RS12515		LacI family transcriptional regulator	-2.03557865204831	-5.42050742826517	FALSE
	set19S43	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS12540	BBR_RS12540		MFS transporter	1.42506540911787	7.74056081242984	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS12540	BBR_RS12540		MFS transporter	1.46543407095131	9.00924532596722	FALSE
	set19S21	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS12540	BBR_RS12540		MFS transporter	1.53175419773257	9.87765618835298	FALSE
	set19S45	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS12540	BBR_RS12540		MFS transporter	1.67645161395136	9.00552482777374	FALSE
	set19S21	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS15160	BBR_RS15160		PhoH family protein	-2.41096399519502	-5.63346316251123	FALSE
	set19S19	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.59464106564849	9.95843267432963	FALSE
	set19S43	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.61219391646617	7.02714830932405	FALSE
	set19S32	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.62276156678243	8.34240733926291	FALSE
	set19S31	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.702432682218	11.795933265105	FALSE
	set19S44	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.7394804028034	8.71000462093972	FALSE
	set19S20	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	1.77212864838111	11.3281608953523	FALSE
	set19S33	diet=PolysaccharideDeficient; sample=FecalPellet; coculture=Btheta_VPI5482; stagger=24hrs	BBR_RS16140	BBR_RS16140		long-chain fatty acid--CoA ligase	2.18700396933181	12.8534712083994	FALSE
