orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00010	A4249_RS00010		homoserine kinase	-4.547	-3.723	-4.241	-4.383
Brev2	A4249_RS00015	A4249_RS00015		CsbD family protein	-0.107	0.171	-0.088	0.157
Brev2	A4249_RS00020	A4249_RS00020		threonine synthase	-4.263	-3.899	-4.548	-4.328
Brev2	A4249_RS00030	A4249_RS00030		hypothetical protein	-0.090	0.154	-0.160	0.009
Brev2	A4249_RS00035	A4249_RS00035		phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	-0.087	0.070	0.080	0.041
Brev2	A4249_RS00040	A4249_RS00040		neutral zinc metallopeptidase	-0.055	0.016	0.117	-0.085
Brev2	A4249_RS00045	A4249_RS00045		hypothetical protein	-0.195	0.047	-0.091	0.276
Brev2	A4249_RS00050	A4249_RS00050		type 1 glutamine amidotransferase	0.083	-0.061	-0.657	0.549
Brev2	A4249_RS00055	A4249_RS00055		methyltransferase	0.133	0.263	-0.114	-0.238
Brev2	A4249_RS00060	A4249_RS00060		fatty acid desaturase	-0.131	0.139	0.225	0.478
Brev2	A4249_RS00065	A4249_RS00065		hypothetical protein	-0.016	-0.011	-0.115	-0.170
Brev2	A4249_RS00075	A4249_RS00075		alpha/beta hydrolase	0.220	0.284	0.014	-0.074
Brev2	A4249_RS00080	A4249_RS00080		DUF3298 and DUF4163 domain-containing protein	0.055	0.467	-0.110	0.339
Brev2	A4249_RS00090	A4249_RS00090		DUF2807 domain-containing protein	0.139	0.176	-0.442	-0.050
Brev2	A4249_RS00100	A4249_RS00100		PadR family transcriptional regulator	-0.350	-0.685	-0.103	-1.878
Brev2	A4249_RS00105	A4249_RS00105		cytochrome c oxidase subunit II	-0.046	-0.262	-0.544	-0.625
Brev2	A4249_RS00110	A4249_RS00110		cytochrome c oxidase subunit I	-0.059	-0.319	-0.400	-0.807
Brev2	A4249_RS00115	A4249_RS00115		heme o synthase	0.066	-1.350	-0.166	-1.680
Brev2	A4249_RS00120	A4249_RS00120		cytochrome c oxidase assembly protein	-0.148	-0.172	-0.367	-0.426
Brev2	A4249_RS00125	A4249_RS00125		NUDIX domain-containing protein	-0.214	-0.157	-0.270	0.054
Brev2	A4249_RS00130	A4249_RS00130		hypothetical protein	-0.111	-0.227	-0.235	-0.000
Brev2	A4249_RS00135	A4249_RS00135		cytochrome c oxidase subunit 3	0.048	-0.287	-0.313	-0.502
Brev2	A4249_RS00140	A4249_RS00140		DUF983 domain-containing protein	0.192	0.218	-0.027	0.039
Brev2	A4249_RS00145	A4249_RS00145		SURF1 family protein	0.915	0.922	0.206	1.378
Brev2	A4249_RS00150	A4249_RS00150		pitrilysin family protein	-0.230	-0.291	-0.144	-0.422
Brev2	A4249_RS00155	A4249_RS00155		NAD(P)H-dependent oxidoreductase	-0.264	-0.037	0.068	-0.001
Brev2	A4249_RS00160	A4249_RS00160		NADP-dependent oxidoreductase	-0.119	-0.094	-0.132	-0.055
