expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1S90	D-Glucose	A4249_RS00310	A4249_RS00310		acetoacetyl-CoA reductase	1.58675708411665	5.54581175431556	FALSE
carbon source	set1S90	D-Glucose	A4249_RS00715	A4249_RS00715		cation:dicarboxylase symporter family transporter	2.30668605794959	17.0820199198765	FALSE
carbon source	set1S90	D-Glucose	A4249_RS01740	A4249_RS01740		VOC family protein	-2.22421027902593	-12.7548272822973	FALSE
carbon source	set1S90	D-Glucose	A4249_RS01745	A4249_RS01745		peptide-methionine (S)-S-oxide reductase MsrA	1.64185338459345	12.0488564145686	FALSE
carbon source	set1S88	D-Glucose	A4249_RS01810	A4249_RS01810		hypothetical protein	-1.05767614015356	-6.33799173501902	FALSE
carbon source	set1S90	D-Glucose	A4249_RS02220	A4249_RS02220		MaoC family dehydratase	-2.19397859392707	-7.25730797101595	FALSE
carbon source	set1S90	D-Glucose	A4249_RS02830	A4249_RS02830		phenylalanine 4-monooxygenase	-1.34259680891647	-8.89561317337002	FALSE
carbon source	set1S90	D-Glucose	A4249_RS04100	A4249_RS04100		J domain-containing protein	-2.23879239183713	-8.59646434225427	FALSE
carbon source	set1S90	D-Glucose	A4249_RS04440	A4249_RS04440		MFS transporter	1.52169581691363	9.04213290298938	FALSE
carbon source	set1S90	D-Glucose	A4249_RS04445	A4249_RS04445		ubiquinol oxidase subunit II	1.17720934452481	6.91502952795943	FALSE
carbon source	set1S90	D-Glucose	A4249_RS04460	A4249_RS04460		cytochrome o ubiquinol oxidase subunit IV	1.56090317273149	5.74039910662752	FALSE
carbon source	set1S90	D-Glucose	A4249_RS05420	A4249_RS05420		amino acid permease	2.36056845469671	20.2660894988534	FALSE
carbon source	set1S90	D-Glucose	A4249_RS06570	A4249_RS06570		glutathione-disulfide reductase	1.62122867004668	14.1919693298496	FALSE
carbon source	set1S90	D-Glucose	A4249_RS06580	A4249_RS06580		HWE histidine kinase domain-containing protein	-2.97947241805329	-5.54779109387666	FALSE
carbon source	set1S88	D-Glucose	A4249_RS07350	A4249_RS07350		FliM/FliN family flagellar motor switch protein	1.5307858365956	8.11380541276742	FALSE
carbon source	set1S90	D-Glucose	A4249_RS07620	A4249_RS07620		NAD regulator	-1.99216713133738	-10.0148103145209	FALSE
carbon source	set1S90	D-Glucose	A4249_RS07755	A4249_RS07755		TetR/AcrR family transcriptional regulator	-1.06584289130948	-7.00601688815199	FALSE
carbon source	set1S88	D-Glucose	A4249_RS07820	A4249_RS07820		transglycosylase SLT domain-containing protein	1.1579057105511	6.37040302555455	FALSE
carbon source	set1S90	D-Glucose	A4249_RS08315	A4249_RS08315		cystathionine gamma-synthase	2.08401917476703	16.1471910944854	FALSE
carbon source	set1S90	D-Glucose	A4249_RS08320	A4249_RS08320		cystathionine beta-synthase	2.34401483636011	17.1405529117938	FALSE
carbon source	set1S90	D-Glucose	A4249_RS08325	A4249_RS08325		ribonuclease R	-1.14307850759368	-6.18815983457406	FALSE
carbon source	set1S88	D-Glucose	A4249_RS08540	A4249_RS08540		flagellar basal body P-ring protein FlgI	1.34259092912014	9.51000961921484	FALSE
