orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00010	A4249_RS00010		homoserine kinase	-3.138	-9.112	-5.026	-5.973
Brev2	A4249_RS00015	A4249_RS00015		CsbD family protein	-0.515	0.789	-0.491	0.849
Brev2	A4249_RS00020	A4249_RS00020		threonine synthase	-14.076	-17.878	-12.421	-16.972
Brev2	A4249_RS00030	A4249_RS00030		hypothetical protein	-0.538	0.917	-0.876	0.049
Brev2	A4249_RS00035	A4249_RS00035		phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	-0.665	0.560	0.583	0.307
Brev2	A4249_RS00040	A4249_RS00040		neutral zinc metallopeptidase	-0.385	0.108	0.773	-0.586
Brev2	A4249_RS00045	A4249_RS00045		hypothetical protein	-0.837	0.227	-0.367	1.341
Brev2	A4249_RS00050	A4249_RS00050		type 1 glutamine amidotransferase	0.060	-0.050	-0.464	0.458
Brev2	A4249_RS00055	A4249_RS00055		methyltransferase	0.586	1.106	-0.358	-0.834
Brev2	A4249_RS00060	A4249_RS00060		fatty acid desaturase	-0.350	0.327	0.590	1.435
Brev2	A4249_RS00065	A4249_RS00065		hypothetical protein	-0.110	-0.058	-0.595	-0.914
Brev2	A4249_RS00075	A4249_RS00075		alpha/beta hydrolase	1.184	1.341	0.074	-0.428
Brev2	A4249_RS00080	A4249_RS00080		DUF3298 and DUF4163 domain-containing protein	0.200	2.458	-0.412	1.373
Brev2	A4249_RS00090	A4249_RS00090		DUF2807 domain-containing protein	0.711	0.962	-1.998	-0.237
Brev2	A4249_RS00100	A4249_RS00100		PadR family transcriptional regulator	-0.702	-1.305	-0.178	-2.612
Brev2	A4249_RS00105	A4249_RS00105		cytochrome c oxidase subunit II	-0.353	-1.995	-3.514	-3.741
Brev2	A4249_RS00110	A4249_RS00110		cytochrome c oxidase subunit I	-0.489	-2.636	-3.166	-6.664
Brev2	A4249_RS00115	A4249_RS00115		heme o synthase	0.308	-5.390	-0.620	-5.861
Brev2	A4249_RS00120	A4249_RS00120		cytochrome c oxidase assembly protein	-0.724	-0.903	-1.575	-2.052
Brev2	A4249_RS00125	A4249_RS00125		NUDIX domain-containing protein	-1.061	-0.936	-1.350	0.252
Brev2	A4249_RS00130	A4249_RS00130		hypothetical protein	-0.557	-0.989	-0.995	-0.001
Brev2	A4249_RS00135	A4249_RS00135		cytochrome c oxidase subunit 3	0.272	-1.278	-1.315	-3.030
