orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Btheta	set10IT001	Varel_Bryant_medium_Glucose with Dimetridazole 0.025 mM	6/18/18 Btheta_ML6_set10	663	1354320	2737	922690	912304	86	218	224.982490752158	0.186122610975604	0.309466391018087	1	0.885683282742564	0.148000652724616	0.0750287784335655	-0.0881335730294403	4.9690661581377	stress	Varel_Bryant_medium_Glucose with Dimetridazole 0.025 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT001	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Dimetridazole	mM	0.025	Dimethyl Sulfoxide	vol%	0.25								
Btheta	set10IT002	Varel_Bryant_medium_Glucose with Antimycin A 0.2 mM	6/18/18 Btheta_ML6_set10	664	1958849	5320	1328164	1312245	125	218	323.611590628853	0.157580740310081	0.256468407167633	0.902702798645085	0.885683282742564	0.0944935603278869	0.0418641500058014	-0.0858864596038058	2.19296714443886	stress	Varel_Bryant_medium_Glucose with Antimycin A 0.2 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT002	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Antimycin A	mM	0.2	Dimethyl Sulfoxide	vol%	2								
Btheta	set10IT003	Varel_Bryant_medium_Glucose with Chlorhexidine diacetate salt 0.0015625 mM	6/18/18 Btheta_ML6_set10	665	1602347	3688	1088841	1074783	104	218	265.051294697904	0.137615762729809	0.254815808333901	0.900464326449085	0.885683282742564	0.137519030739839	0.0378482039557162	-0.0842404723060192	2.10450097741004	stress	Varel_Bryant_medium_Glucose with Chlorhexidine diacetate salt hydrate 0.0015625 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT003	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Chlorhexidine diacetate salt hydrate	mM	0.0015625	Dimethyl Sulfoxide	vol%	0.015625								
Btheta	set10IT004	Varel_Bryant_medium_Glucose with Dimethyl Sulfoxide 0.05 vol%	6/18/18 Btheta_ML6_set10	666	1782506	4790	1208867	1193977	113	218	294.445622688039	0.150740096563182	0.25412269333863	0.90986773679254	0.885683282742564	0.11609017017305	0.00957703590176488	-0.0484060764525136	2.04956961633276	stress	Varel_Bryant_medium_Glucose with Dimethyl Sulfoxide 0.05 vol%	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT004	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Dimethyl Sulfoxide	vol%	0.05											
Btheta	set10IT005	Varel_Bryant_medium_Glucose with Irgasan 0.0125 mM	6/18/18 Btheta_ML6_set10	667	1633623	3609	1110247	1097422	102	218	270.634278668311	0.142803837208808	0.270492202501138	0.941372270029292	0.885683282742564	0.119913546947142	0.000536971713726924	-0.0638005660885415	1.96833436592451	stress	Varel_Bryant_medium_Glucose with Irgasan 0.0125 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT005	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Irgasan	mM	0.0125	Dimethyl Sulfoxide	vol%	0.125								
Btheta	set10IT006	Varel_Bryant_medium_Glucose with Ramoplanin 0.0015625 mM	6/18/18 Btheta_ML6_set10	668	1862309	4388	1263137	1246980	120	218	307.516646115906	0.163239334158766	0.251288871670775	0.897430266359453	0.885683282742564	0.140945892874952	0.0295810939618649	-0.0601301145083979	2.01110530674991	stress	Varel_Bryant_medium_Glucose with Ramoplanin 0.0015625 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT006	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Ramoplanin	mM	0.0015625	Dimethyl Sulfoxide	vol%	0.015625								
Btheta	set10IT007	Varel_Bryant_medium_Glucose with Thioridazine 0.025 mM	6/18/18 Btheta_ML6_set10	669	1806687	1704	1232539	1206229	131	218	297.467077681874	0.191013257724465	0.41316306963763	0.928107081518215	0.885683282742564	0.149956052626496	0.0229746749291178	-0.085525014137485	3.18122806061473	stress	Varel_Bryant_medium_Glucose with Thioridazine hydrochloride 0.025 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT007	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Thioridazine hydrochloride	mM	0.025	Dimethyl Sulfoxide	vol%	0.25								
Btheta	set10IT008	Varel_Bryant_medium_Glucose with Anhydrotetracycline 0.00078125 mM	6/18/18 Btheta_ML6_set10	670	1664571	3774	1130486	1115799	108	218	275.166214549938	0.168521642351477	0.264699939736801	0.906890595608519	0.885683282742564	0.15137760895242	-0.00667184654388983	-0.076792140888407	1.7940799553722	stress	Varel_Bryant_medium_Glucose with Anhydrotetracycline hydrochloride 0.00078125 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT008	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Anhydrotetracycline hydrochloride	mM	0.00078125	Dimethyl Sulfoxide	vol%	0.0078125								
Btheta	set10IT010	Varel_Bryant_medium_Glucose with Dimethyl Sulfoxide 0.2 vol%	6/18/18 Btheta_ML6_set10	672	1910642	4315	1299527	1283291	124	218	316.471270036991	0.162605726995059	0.254290853648255	0.877143252214466	0.885683282742564	0.111473153776474	-0.0427223812534074	-0.0754110367291835	2.03814836669354	stress	Varel_Bryant_medium_Glucose with Dimethyl Sulfoxide 0.2 vol%	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT010	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Dimethyl Sulfoxide	vol%	0.2											
Btheta	set10IT011	Varel_Bryant_medium_Glucose with Irgasan 0.0125 mM	6/18/18 Btheta_ML6_set10	673	1528277	3044	1042138	1030043	99	218	254.018002466091	0.147486499186464	0.270536577901082	0.929226925586619	0.885683282742564	0.124072456004754	-0.00095366497794771	-0.0634965066184006	2.29398094091411	stress	Varel_Bryant_medium_Glucose with Irgasan 0.0125 mM	Btheta_ML6a	Hans	6/18/18	Btheta_ML6_set10	IT011	Varel_Bryant_medium_Glucose	37		96 deep-well microplate; 1.2 mL volume	Anaerobic	Liquid	0 rpm	Irgasan	mM	0.0125	Dimethyl Sulfoxide	vol%	0.125								
