expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
bhis	set2IT017		353635	BT4109		putative pectinesterase precursor (NCBI ptt file)	-1.5243490788761	-5.00012965457245	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349795	BT0267		two-component system sensor histidine kinase/response regulator, hybrid ('one component system') (NCBI ptt file)	-1.13670532709115	-6.81590241454403	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349796	BT0268		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	-1.99688883563259	-7.39999579563708	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349796	BT0268		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	-1.87409349231268	-6.94494541522708	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349800	BT0272		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	-2.20023399716158	-9.80465305440181	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349800	BT0272		putative outer membrane protein, probably involved in nutrient binding (NCBI ptt file)	-2.08407695149246	-9.07710520965465	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349803	BT0275		hypothetical protein (NCBI ptt file)	-2.33346212269883	-6.17757478270997	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349803	BT0275		hypothetical protein (NCBI ptt file)	-2.30636758973031	-6.10584509745499	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349804	BT0276		hypothetical protein (NCBI ptt file)	-1.82372151048998	-5.64103095456997	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349804	BT0276		hypothetical protein (NCBI ptt file)	-1.79598557615509	-5.22622811534996	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349806	BT0278		conserved hypothetical protein (NCBI ptt file)	-2.50295153841162	-9.85636687092682	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349806	BT0278		conserved hypothetical protein (NCBI ptt file)	-2.40095608588644	-11.2496894403469	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	349816	BT0288		conserved hypothetical protein (NCBI ptt file)	-3.03092937297408	-5.4449817041318	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	349816	BT0288		conserved hypothetical protein (NCBI ptt file)	-2.59282665710144	-5.25139220670956	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	351265	BT1737		conserved hypothetical protein, putative secreted protein (NCBI ptt file)	-1.47454824428986	-6.30073027548389	FALSE
carbon source	set3IT023	(+)-Arabinogalactan	352343	BT2816		TPR-domain containing protein (NCBI ptt file)	-1.53624804809451	-11.0089576053459	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	352343	BT2816		TPR-domain containing protein (NCBI ptt file)	-1.41247003037665	-9.99125513388809	FALSE
carbon source	set3IT007	(+)-Arabinogalactan	352344	BT2817		putative TonB-dependent receptor (NCBI ptt file)	-1.73738829143973	-9.01472601801873	FALSE
