expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set4IT082	2'-Deoxyinosine	H281DRAFT_00845	H281DRAFT_00845		hypothetical protein	-3.34105246241292	-6.99260989721411	FALSE
carbon source	set4IT073	2'-Deoxyinosine	H281DRAFT_00845	H281DRAFT_00845		hypothetical protein	-2.33112375563171	-5.2376447481303	FALSE
carbon source	set4IT083	2'-Deoxyinosine	H281DRAFT_00845	H281DRAFT_00845		hypothetical protein	-1.94271437606225	-7.42301112874728	FALSE
carbon source	set4IT074	2'-Deoxyinosine	H281DRAFT_00845	H281DRAFT_00845		hypothetical protein	-1.8418236202093	-5.91150996678727	FALSE
carbon source	set4IT087	2-Deoxy-D-Ribose	H281DRAFT_03954	H281DRAFT_03954		Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	-1.40899504864496	-5.67397037294834	FALSE
carbon source	set1IT048	2-Deoxy-D-Ribose	H281DRAFT_04036	H281DRAFT_04036		tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33)	-1.64597993375511	-6.09475493025457	TRUE
carbon source	set1IT046	2-Deoxy-D-Ribose	H281DRAFT_04591	H281DRAFT_04591		acyl-CoA dehydrogenase	-1.46207781664345	-5.93813798249482	FALSE
carbon source	set1IT045	2-Deoxy-D-Ribose	H281DRAFT_04591	H281DRAFT_04591		acyl-CoA dehydrogenase	-1.44256691444752	-6.06626965924053	FALSE
carbon source	set1IT049	2-Deoxy-D-ribonic acid lithium salt	H281DRAFT_03528	H281DRAFT_03528		ureidoglycolate lyase	-1.13125755272297	-7.0971414629783	FALSE
carbon source	set1IT050	2-Deoxy-D-ribonic acid lithium salt	H281DRAFT_03567	H281DRAFT_03567		transcriptional regulator, GntR family	-1.99271368542924	-7.7338980545851	FALSE
carbon source	set1IT049	2-Deoxy-D-ribonic acid lithium salt	H281DRAFT_03567	H281DRAFT_03567		transcriptional regulator, GntR family	-1.82112731085537	-7.00598195485748	FALSE
