expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS07330	HMPREF1058_RS07330		efflux RND transporter permease subunit	-1.43381155409173	-7.91965743844189	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS07330	HMPREF1058_RS07330		efflux RND transporter permease subunit	-1.2882759535014	-8.27710602761279	FALSE
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS07605	HMPREF1058_RS07605		radical SAM protein	1.33135723094156	7.01831063249063	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS07605	HMPREF1058_RS07605		radical SAM protein	1.56254388751389	8.24235866862493	FALSE
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS08440	HMPREF1058_RS08440		RagB/SusD family nutrient uptake outer membrane protein	-1.25668943507256	-9.78937114784493	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS08440	HMPREF1058_RS08440		RagB/SusD family nutrient uptake outer membrane protein	-1.25057009870979	-9.75971030246376	FALSE
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS08445	HMPREF1058_RS08445		TonB-dependent receptor	-1.26841623226249	-9.33466042098133	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS08445	HMPREF1058_RS08445		TonB-dependent receptor	-1.21583231851539	-9.3256979547725	FALSE
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS08450	HMPREF1058_RS08450		response regulator	-1.4569090663749	-10.8110106174826	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS08450	HMPREF1058_RS08450		response regulator	-1.44392300446133	-11.1973655799408	FALSE
carbon source	set1IT031	(+)-Arabinogalactan	HMPREF1058_RS10540	HMPREF1058_RS10540		glycoside hydrolase family 97 protein	-1.79717004123517	-11.7390030495433	TRUE
carbon source	set1IT032	(+)-Arabinogalactan	HMPREF1058_RS10540	HMPREF1058_RS10540		glycoside hydrolase family 97 protein	-1.50407132935066	-10.1627664196668	TRUE
carbon source	set1IT072	D-Glucosamine Hydrochloride	HMPREF1058_RS15050	HMPREF1058_RS15050		DUF5009 domain-containing protein	-1.6106824356656	-5.62156198144036	TRUE
carbon source	set1IT023	D-Glucose	HMPREF1058_RS14335	HMPREF1058_RS14335		citrate/2-methylcitrate synthase	-1.38742059694784	-7.88305427691201	FALSE
carbon source	set1IT024	D-Glucose	HMPREF1058_RS14335	HMPREF1058_RS14335		citrate/2-methylcitrate synthase	-1.16413899380454	-6.44644871125598	FALSE
carbon source	set1IT024	D-Glucose	HMPREF1058_RS14470	HMPREF1058_RS14470		hypothetical protein	1.51087258677462	11.8500459315563	FALSE
carbon source	set1IT023	D-Glucose	HMPREF1058_RS18035	HMPREF1058_RS18035		6-phosphogluconolactonase	-2.98823242711707	-11.1444380919547	FALSE
