orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS00035	HMPREF1058_RS00035		TonB-dependent receptor	0.465	0.566	1.020	1.061	0.405	0.504	-0.126	-0.857	0.371	-1.349	-0.163	-0.402	-0.841	0.193	0.001	1.308	-0.461	0.207	0.016	-0.278	-1.644	-0.392
Bvulgatus_CL09T03C04	HMPREF1058_RS00040	HMPREF1058_RS00040		RagB/SusD family nutrient uptake outer membrane protein	-0.756	-0.283	-0.529	-1.302	0.164	-0.735	-0.007	-0.873	-0.656	-0.821	-0.285	-0.380	-1.130	-0.472	0.265	-0.032	-0.077	-0.050	-0.602	-1.395	-1.188	0.074
Bvulgatus_CL09T03C04	HMPREF1058_RS00045	HMPREF1058_RS00045		SusC/RagA family TonB-linked outer membrane protein	-0.688	-0.809	0.043	-0.391	-0.531	-0.674	-0.897	-1.040	-1.173	-0.540	-1.278	-0.312	-0.069	0.625	-0.453	0.167	-0.541	0.425	-1.922	-0.251	-1.534	-0.771
Bvulgatus_CL09T03C04	HMPREF1058_RS00050	HMPREF1058_RS00050		RagB/SusD family nutrient uptake outer membrane protein	-1.213	0.255	0.839	0.157	-1.389	-0.735	-0.535	-0.087	-0.768	-1.662	-0.439	-0.438	-0.367	-0.179	0.295	0.424	0.576	-0.082	-0.094	-0.281	0.315	-0.369
Bvulgatus_CL09T03C04	HMPREF1058_RS00055	HMPREF1058_RS00055		hypothetical protein	0.412	-1.805	0.693	0.223	-0.292	0.027	0.285	-0.649	-0.681	-0.246	-0.464	-0.416	0.433	1.317	0.613	-1.037	-0.254	-0.179	-0.437	-0.566	0.536	0.222
Bvulgatus_CL09T03C04	HMPREF1058_RS00060	HMPREF1058_RS00060		RagB/SusD family nutrient uptake outer membrane protein	1.372	-0.011	1.100	-0.449	1.192	0.730	0.560	0.106	-0.536	1.176	-0.636	-0.727	-0.278	0.558	0.612	-1.170	0.419	-0.448	1.518	0.664	-1.071	-0.211
Bvulgatus_CL09T03C04	HMPREF1058_RS00065	HMPREF1058_RS00065		family 78 glycoside hydrolase catalytic domain	-0.275	-0.293	-0.201	-0.197	0.010	-1.108	0.620	0.128	-0.352	0.185	-0.010	-0.776	-0.141	0.428	-0.236	-1.044	-0.426	-0.971	-0.642	-0.604	-1.004	-0.039
Bvulgatus_CL09T03C04	HMPREF1058_RS00070	HMPREF1058_RS00070		alpha/beta hydrolase	0.997	-0.627	0.627	0.476	0.818	0.983	-0.224	0.747	0.418	-0.119	-0.364	-0.023	0.892	-0.025	-0.001	0.981	-0.434	0.383	0.871	0.073	0.104	0.990
Bvulgatus_CL09T03C04	HMPREF1058_RS00075	HMPREF1058_RS00075		hypothetical protein	0.271	0.013	-0.496	-1.314	-0.625	-0.655	-0.299	-0.161	-1.099	-0.632	-0.932	-0.197	0.555	-0.332	-0.339	0.413	0.123	0.862	-1.000	-0.374	-0.939	-0.019
Bvulgatus_CL09T03C04	HMPREF1058_RS00080	HMPREF1058_RS00080		glycoside hydrolase	0.631	0.302	1.427	1.659	0.330	0.983	-0.252	0.480	-0.709	0.583	0.485	-0.381	0.577	-0.359	0.334	0.350	-0.241	0.844	0.376	0.223	-0.011	-0.240
Bvulgatus_CL09T03C04	HMPREF1058_RS00085	HMPREF1058_RS00085		glycoside hydrolase family 88 protein	-0.801	0.463	-0.085	-0.021	0.445	1.113	-0.525	-0.638	-0.602	-1.128	-0.830	0.160	1.950	1.618	-0.211	-0.379	-1.366	-0.196	0.455	-0.644	0.989	0.073
Bvulgatus_CL09T03C04	HMPREF1058_RS00090	HMPREF1058_RS00090		beta-galactosidase	0.552	-0.261	-0.312	-1.262	1.130	1.589	0.874	0.454	0.119	-0.062	0.470	-0.428	-0.455	0.436	1.009	0.530	0.089	0.375	0.334	0.761	-0.143	0.017
Bvulgatus_CL09T03C04	HMPREF1058_RS00095	HMPREF1058_RS00095		family 43 glycosylhydrolase	-1.189	0.117	0.881	-1.229	-0.654	-0.059	-0.641	-1.211	-0.511	-0.796	-0.432	-0.649	-0.478	-0.248	-0.293	-0.074	-0.133	-0.473	0.382	0.608	-0.799	-0.067
Bvulgatus_CL09T03C04	HMPREF1058_RS00100	HMPREF1058_RS00100		beta-glucuronidase	0.776	0.049	1.608	0.825	0.282	-0.476	-0.357	-1.143	0.001	0.000	0.221	0.392	-1.029	-0.101	0.026	-0.325	0.692	-0.152	-0.705	-0.417	0.531	0.259
Bvulgatus_CL09T03C04	HMPREF1058_RS00105	HMPREF1058_RS00105		rhamnogalacturonan acetylesterase	0.416	-1.693	0.518	-0.430	1.052	0.055	0.221	-1.620	0.215	-0.585	-0.251	-0.266	-0.365	-0.517	-0.776	0.433	0.530	-0.704	0.461	-0.421	-1.186	0.655
Bvulgatus_CL09T03C04	HMPREF1058_RS00110	HMPREF1058_RS00110		right-handed parallel beta-helix repeat-containing protein	-0.030	1.209	0.422	-2.808	1.463	1.067	-0.033	0.462	0.272	0.928	0.442	0.223	0.144	-0.744	0.501	0.116	1.537	-0.316	-0.380	0.582	0.431	-0.048
Bvulgatus_CL09T03C04	HMPREF1058_RS00115	HMPREF1058_RS00115		DUF4450 domain-containing protein	0.428	0.874	-0.974	0.897	0.956	0.498	0.285	-0.297	1.690	0.750	0.859	1.534	0.269	-0.551	0.653	0.083	-0.983	0.295	0.620	1.603	0.985	-0.063
Bvulgatus_CL09T03C04	HMPREF1058_RS00120	HMPREF1058_RS00120		hypothetical protein	-0.396	-1.339	-0.112	-0.900	-0.838	-0.378	-0.787	-0.583	-0.992	-1.284	-1.403	-0.213	-1.452	-0.552	0.669	-0.845	-1.194	-0.103	-0.488	-1.257	-0.066	-2.071
Bvulgatus_CL09T03C04	HMPREF1058_RS00125	HMPREF1058_RS00125		glycoside hydrolase family 28 protein	-0.085	-0.193	0.816	0.385	0.068	-0.613	-0.686	-1.241	-1.284	-0.190	-2.549	-0.791	-0.921	-0.193	-0.456	-1.202	0.293	-0.306	-0.359	-1.473	-0.584	0.672
