expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT050	Beta-Lactose	CCNA_00857	CCNA_00857		glucose/fructose transport protein	-1.26075595373536	-6.43853943990752	FALSE
carbon source	set1IT033	Beta-Lactose	CCNA_01699	CCNA_01699		LacI-family transcriptional regulator	1.96954156141817	9.0873680253113	FALSE
carbon source	set1IT050	Beta-Lactose	CCNA_01699	CCNA_01699		LacI-family transcriptional regulator	2.15359339353293	10.2732871528648	FALSE
carbon source	set1IT016	Beta-Lactose	CCNA_01699	CCNA_01699		LacI-family transcriptional regulator	2.17818657333227	9.86201047319124	FALSE
carbon source	set1IT050	Beta-Lactose	CCNA_01704	CCNA_01704		cytochrome c	-3.2978871133952	-5.02643431291369	FALSE
carbon source	set1IT033	Beta-Lactose	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-2.26429465802581	-9.65131291218035	FALSE
carbon source	set1IT050	Beta-Lactose	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-2.12993801639745	-9.52265642108633	FALSE
carbon source	set1IT016	Beta-Lactose	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-1.65191813968237	-8.3772782837798	FALSE
carbon source	set1IT050	Beta-Lactose	CCNA_02358	CCNA_02358		FMN reductase	-1.50078711709198	-5.11831994199497	FALSE
carbon source	set1IT016	Beta-Lactose	CCNA_02669	CCNA_02669		hypothetical protein	-1.22279802989553	-5.67889438725493	FALSE
carbon source	set1IT024	D-Cellobiose	CCNA_00839	CCNA_00839		glucan 1,4-beta-glucosidase	-1.22379391936459	-9.01086713098409	TRUE
carbon source	set1IT020	D-Maltose monohydrate	CCNA_02130	CCNA_02130		pyruvate kinase	-1.42618965023983	-9.44072147072113	FALSE
carbon source	set1IT051	D-Mannose	CCNA_01646	CCNA_01646		dethiobiotin synthetase	1.12612207634508	5.7291515688829	FALSE
carbon source	set1IT034	D-Mannose	CCNA_02548	CCNA_02548		hypothetical protein	-1.66196295929334	-5.2040866519435	FALSE
carbon source	set1IT034	D-Mannose	CCNA_02549	CCNA_02549		glucokinase	-3.46455378978388	-10.2263047709902	TRUE
carbon source	set1IT017	D-Mannose	CCNA_02549	CCNA_02549		glucokinase	-2.95936147709678	-9.82305209750338	TRUE
carbon source	set1IT051	D-Mannose	CCNA_02549	CCNA_02549		glucokinase	-2.41112797160129	-11.9260630954609	TRUE
carbon source	set1IT005	D-Raffinose pentahydrate	CCNA_01191	CCNA_01191		transporter, major facilitator superfamily	-2.45889286727455	-9.46357639937	FALSE
carbon source	set1IT022	D-Raffinose pentahydrate	CCNA_01191	CCNA_01191		transporter, major facilitator superfamily	-1.50328477410325	-6.20302873623305	FALSE
carbon source	set1IT005	D-Raffinose pentahydrate	CCNA_01194	CCNA_01194		TonB-dependent receptor	-2.06846611641238	-13.3813533295706	FALSE
carbon source	set1IT022	D-Raffinose pentahydrate	CCNA_01194	CCNA_01194		TonB-dependent receptor	-1.61042155196453	-10.637230485042	FALSE
carbon source	set1IT022	D-Raffinose pentahydrate	CCNA_01698	CCNA_01698		endo-1,3-1,4-beta glucanase-related protein	-2.28773336179191	-5.87501389689446	TRUE
carbon source	set1IT005	D-Raffinose pentahydrate	CCNA_01698	CCNA_01698		endo-1,3-1,4-beta glucanase-related protein	-2.20630657379087	-5.48223071904085	TRUE
carbon source	set1IT005	D-Raffinose pentahydrate	CCNA_01699	CCNA_01699		LacI-family transcriptional regulator	1.28395486672703	5.4917185315122	FALSE
carbon source	set1IT022	D-Raffinose pentahydrate	CCNA_01699	CCNA_01699		LacI-family transcriptional regulator	1.32866880904864	6.64373814272996	FALSE
carbon source	set1IT005	D-Raffinose pentahydrate	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-2.26824621187834	-10.5717483239366	FALSE
carbon source	set1IT022	D-Raffinose pentahydrate	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-1.77024124850883	-9.23121620553643	FALSE
carbon source	set1IT049	D-Salicin	CCNA_00864	CCNA_00864		xylose dehydrogenase xylB	-1.91037801492723	-9.63165701118926	FALSE
carbon source	set1IT015	D-Salicin	CCNA_00864	CCNA_00864		xylose dehydrogenase xylB	-1.46696446750208	-8.47834202486218	FALSE
carbon source	set1IT032	D-Salicin	CCNA_00864	CCNA_00864		xylose dehydrogenase xylB	-1.21947137075334	-6.34691001014628	FALSE
carbon source	set1IT049	D-Salicin	CCNA_01019	CCNA_01019		beta-glucosidase	-1.36546803491507	-9.48198377107555	FALSE
carbon source	set1IT015	D-Salicin	CCNA_01019	CCNA_01019		beta-glucosidase	-1.17238347372234	-8.44076826788772	FALSE
carbon source	set1IT049	D-Salicin	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-2.10511671344752	-10.8722496520706	FALSE
carbon source	set1IT015	D-Salicin	CCNA_01706	CCNA_01706		BetA-family choline dehydrogenase	-1.31857332785812	-7.34485499992722	FALSE
