expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
fermentative growth	set2S313	Sodium pyruvate	206197	DVU0770		membrane protein, putative (TIGR)	-3.43079680268827	-11.2666786384368	FALSE
fermentative growth	set9IT060	Sodium pyruvate	206197	DVU0770		membrane protein, putative (TIGR)	-1.27648972577325	-8.04085367992837	FALSE
fermentative growth	set9IT059	Sodium pyruvate	206197	DVU0770		membrane protein, putative (TIGR)	-1.15680790682084	-6.3426303351615	FALSE
fermentative growth	set8IT013	Sodium pyruvate	207770	DVU2284		hypothetical protein (TIGR)	1.14509711847256	8.76283497870534	FALSE
fermentative growth	set8IT014	Sodium pyruvate	207770	DVU2284		hypothetical protein (TIGR)	1.16772520567116	6.97873446512963	FALSE
fermentative growth	set8IT015	Sodium pyruvate	207770	DVU2284		hypothetical protein (TIGR)	1.28647534738999	6.32787518391017	FALSE
fermentative growth	set9IT053	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	1.67159657055415	13.5246354773319	FALSE
fermentative growth	set9IT054	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	1.74803151331341	13.9025902673949	FALSE
fermentative growth	set8IT015	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	2.87356512237365	21.2039574953704	FALSE
fermentative growth	set8IT013	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	3.22968733254906	23.4787736901763	FALSE
fermentative growth	set8IT014	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	3.51191237903128	25.7093504857548	FALSE
fermentative growth	set8IT016	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	3.76858618049001	27.4780375876515	FALSE
fermentative growth	set8IT018	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	6.9394483216376	47.0965054340808	FALSE
fermentative growth	set8IT017	Sodium pyruvate	208253	DVU2747		hypothetical protein (TIGR)	7.22228671627083	49.9976923233653	FALSE
fermentative growth	set2S313	Sodium pyruvate	208413	DVU2903	pcnB2	HD domain protein (TIGR)	1.25148788792323	7.58927830553888	FALSE
fermentative growth	set2S313	Sodium pyruvate	209081	DVU0149		membrane protein, putative (TIGR)	-1.25157462952595	-5.60188818610315	FALSE
fermentative growth	set2S313	Sodium pyruvate	209083	DVU0151		HAMP domain/sigma-54 interaction domain protein (TIGR)	-1.01735643736032	-7.35203905981879	FALSE
fermentative growth	set9IT059	Sodium pyruvate	209541	DVU0597	lytS	regulatory protein LytS (TIGR)	-1.38011978738844	-9.12626800555682	FALSE
fermentative growth	set9IT061	Sodium pyruvate	209541	DVU0597	lytS	regulatory protein LytS (TIGR)	-1.33346939419295	-7.89992709162848	FALSE
fermentative growth	set9IT059	Sodium pyruvate	209543	DVU0599		carbon starvation protein A, putative (TIGR)	-1.30237029616885	-6.66666236409956	FALSE
nitrogen source	set13IT021	Ammonium chloride	206672	DVU1233	glnD	protein-P-II uridylyltransferase, putative (TIGR)	1.16733824275139	8.97656768997105	FALSE
nitrogen source	set13IT020	Ammonium chloride	206672	DVU1233	glnD	protein-P-II uridylyltransferase, putative (TIGR)	1.45480936412183	11.0110139253888	FALSE
nitrogen source	set13IT021	Ammonium chloride	207111	DVU1652	hit	HIT family protein (TIGR)	-2.0755762509635	-5.86659632039303	FALSE
