orgId	locusId	sysName	geneName	desc	set1IT088 D-Glucose (C)	set1IT089 D-Fructose (C)	set1IT091 D-Maltose (C)	set1IT093 a-Cyclodextrin (C)	set1IT094 D-Cellobiose (C)	set1IT095 pyruvate (C)	set2IT003 L-Proline (C)	set2IT004 L-Alanine (C)	set2IT005 NAG (C)	set2IT006 D-Glucose (C)	set2IT007 D-Fructose (C)	set2IT009 D-Maltose (C)	set2IT010 D-Galactose (C)	set2IT011 a-Cyclodextrin (C)	set2IT012 D-Cellobiose (C)	set2IT013 pyruvate (C)	set2IT015 L-Proline (C)	set2IT016 L-Alanine (C)	set2IT017 NAG (C)	set3IT029 Chloramphenicol 0.008 mg/ml	set3IT030 Chloramphenicol 0.012 mg/ml	set3IT031 Tetracycline 0.012 mg/ml	set3IT032 Tetracycline 0.024 mg/ml	set3IT033 Spectinomycin 0.04 mg/ml	set3IT034 Carbenicillin 0.02 mg/ml	set3IT035 Carbenicillin 0.04 mg/ml	set3IT036 Nalidixic 0.01 mg/ml	set3IT037 Nalidixic 0.02 mg/ml	set3IT038 Nalidixic 0.04 mg/ml	set3IT039 Nalidixic 0.08 mg/ml	set3IT040 LB	set3IT042 sodium fluoride 40 mM	set3IT043 sodium fluoride 60 mM	set3IT044 Paraquat dichloride 0.05 mg/ml	set3IT045 Paraquat dichloride 0.1 mg/ml	set3IT046 Paraquat dichloride 0.2 mg/ml	set3IT047 Thallium(I) acetate 0.008 mg/ml	set3IT048 Thallium(I) acetate 0.016 mg/ml	set3IT049 Cisplatin 0.0032 mg/ml	set3IT050 Zinc 2.5 mM	set3IT051 LB	set3IT053 nitrite 6 mM	set3IT054 nitrate 150 mM	set3IT055 nitrate 200 mM	set3IT056 Sisomicin 0.016 mg/ml	set3IT057 Chlorite 0.32 mM	set3IT058 perchlorate 75 mM	set3IT059 Chloride 250 mM	set3IT060 LB	set3IT064 Fusidic 0.2 mg/ml	set3IT065 Fusidic 0.4 mg/ml	set3IT066 Dimethyl Sulfoxide 7.5 vol%	set3IT067 LB	set3IT068 A22 0.01 mg/ml	set3IT069 A22 0.02 mg/ml	set3IT070 D-Cycloserine 0.032 mg/ml	set3IT071 Ceftazidime 0.05 mg/ml	set3IT072 Ceftazidime 0.1 mg/ml	set3IT082 L-Arginine (N)	set3IT083 L-Lysine (N)	set3IT086 L-Asparagine (N)	set3IT088 L-Proline (N)	set3IT089 L-Isoleucine (N)	set3IT090 L-Leucine (N)	set3IT091 Casamino Acids (N)	set3IT092 N-Acetyl-D-glucosamine (N)	set3IT093 D-Glucosamine Hydrochloride (N)	set3IT094 Glucuronamide (N)	set3IT096 nitrate (N)
Dyella79	ABZR86_RS00005	ABZR86_RS00005		hypothetical protein	-0.771	-0.361	-0.028	0.152	-0.418	-0.692	0.289	-0.692	0.038	-0.062	-0.081	-1.722	-0.151	0.865	0.090	-0.765	-0.236	-0.038	-0.544	0.204	1.554	-0.687	0.455	-1.112	0.333	-0.307	0.058	-0.234	-0.441	-1.159	-0.166	-1.000	0.190	-0.318	0.847	1.113	0.102	0.011	-0.758	-0.334	-1.343	1.211	-1.141	-0.050	0.399	0.511	-1.168	0.351	-0.091	-0.901	-0.988	-0.107	-1.571	-0.105	1.029	-0.165	-0.311	-0.274	-0.662	1.041	-0.334	0.772	-0.289	0.760	1.282	-0.502	-0.908	-0.949	0.068
Dyella79	ABZR86_RS00010	ABZR86_RS00010		arsenate reductase ArsC	2.076	1.596	-0.662	1.417	-0.092	0.003	-0.075	-0.237	-0.057	1.085	0.698	-0.364	-0.573	-0.423	-1.766	0.009	-2.022	-1.140	-1.462	0.231	0.145	0.258	-0.219	-0.117	-0.159	-0.644	1.415	-0.004	1.046	1.216	-1.566	-0.559	0.452	-1.786	0.985	0.770	-0.200	0.281	-0.850	-1.300	0.826	-0.077	-0.964	0.491	1.320	0.025	0.413	0.217	-0.262	-0.041	-0.544	-0.514	-1.187	-0.387	-1.165	0.268	-1.462	0.066	-0.218	-0.203	-0.004	-0.728	-0.678	0.108	-0.684	-0.583	0.618	-1.143	-0.467
Dyella79	ABZR86_RS00015	ABZR86_RS00015		ArsI/CadI family heavy metal resistance metalloenzyme	0.555	0.908	0.000	-0.808	0.308	-0.505	-0.048	-0.546	0.795	-0.462	0.813	-1.522	-0.090	-1.242	-0.347	0.462	-0.646	-0.722	-0.228	-0.775	-0.340	0.264	0.549	-2.033	0.000	-0.115	-0.766	-0.045	-0.304	-0.713	-0.972	-1.204	-0.477	0.486	-1.116	-0.988	-0.619	-0.025	-0.127	-1.137	-0.320	-0.439	-1.190	0.014	-0.412	-1.080	0.004	-0.158	0.222	0.578	-1.080	-0.700	-1.496	-0.536	0.378	-1.002	-0.451	0.240	-0.711	0.293	0.430	0.082	-0.783	-0.235	-0.367	0.439	-0.674	-0.216	0.550
Dyella79	ABZR86_RS00020	ABZR86_RS00020		metalloregulator ArsR/SmtB family transcription factor	0.100	-0.382	1.153	2.568	-0.050	0.883	1.200	1.814	1.664	1.597	1.987	-0.398	0.863	0.810	1.071	-0.373	1.824	0.503	0.643	0.872	-1.628	0.140	-0.638	-0.761	-1.333	-0.909	0.470	-1.099	-0.652	-0.777	0.016	-1.041	-0.304	-0.291	0.770	-0.433	-0.132	0.071	-0.044	-1.441	-1.338	-0.237	-2.578	-0.093	-1.229	1.563	-0.204	-0.557	-0.358	-0.716	-0.861	-0.895	-0.788	0.115	0.625	0.517	-0.138	-1.204	-1.798	-0.565	-1.031	0.095	0.184	0.108	-0.410	0.257	-0.618	0.287	0.116
Dyella79	ABZR86_RS00025	ABZR86_RS00025		family 43 glycosylhydrolase	0.081	1.307	-0.594	-0.284	0.462	-0.706	-1.395	-1.001	-0.890	-0.662	-1.466	-0.064	0.829	0.384	-0.574	-0.915	-0.964	1.398	-0.934	-0.643	0.708	-0.449	-0.827	-0.434	-1.165	-0.062	0.187	-0.459	0.135	-0.198	-1.754	0.011	-0.467	-0.009	0.041	-0.495	-0.606	0.146	-1.096	-0.729	0.006	-0.753	-1.349	-0.748	-0.686	-0.249	-0.949	0.229	-1.588	-1.170	-0.633	-0.036	-0.881	-0.197	-1.254	-0.141	0.382	-0.396	-0.243	-0.223	0.823	0.029	-0.454	-1.184	-0.312	-0.143	-1.079	-0.021	-0.042
Dyella79	ABZR86_RS00030	ABZR86_RS00030		beta-xylosidase	0.920	-0.002	-0.630	-0.230	0.346	-0.241	-1.523	-1.252	-0.237	-0.677	-0.658	-0.158	-1.319	-1.432	-1.732	-0.864	-1.754	-2.290	-1.251	-1.142	-0.127	-0.422	0.439	-2.114	-0.773	-0.410	-0.422	-0.264	-0.910	0.339	-1.036	-0.625	-0.397	-0.364	-0.153	-0.403	-0.399	1.155	0.541	-1.222	-1.262	-0.249	-0.549	0.180	-1.123	0.367	0.466	-0.196	-1.503	-0.906	-0.267	-0.666	-0.704	-0.960	0.469	-1.967	-0.799	-0.159	-0.183	-0.457	1.186	0.554	0.145	0.518	-1.040	-1.004	-1.577	-0.103	0.418
Dyella79	ABZR86_RS00035	ABZR86_RS00035		monovalent cation:proton antiporter-2 (CPA2) family protein	1.463	2.431	1.326	-1.102	1.316	0.797	-0.643	1.337	1.099	1.269	1.043	1.205	1.000	0.149	-0.227	1.403	0.338	1.452	1.115	-0.553	0.496	-0.207	0.455	1.276	-1.509	0.934	-0.104	1.888	0.249	-0.418	0.505	-1.421	1.501	0.634	0.399	2.145	-0.419	1.158	0.077	-1.207	0.612	1.938	-0.730	-0.011	-0.335	-0.727	1.277	1.157	0.531	-1.886	0.092	-0.167	-1.260	0.233	1.534	0.083	-0.466	1.490	0.939	2.193	-0.366	0.774	1.783	0.765	-0.097	0.838	-0.154	-1.424	0.028
Dyella79	ABZR86_RS00040	ABZR86_RS00040		hypothetical protein	-0.323	-0.094	-0.843	-1.759	0.180	-0.257	0.559	-0.446	-0.396	-1.069	-0.868	0.237	-0.564	-0.827	-1.282	-1.496	-1.256	-0.749	-1.115	-1.655	-1.707	-0.399	-1.623	-1.606	-1.033	1.249	1.265	-0.016	1.165	0.107	-0.379	0.178	-0.366	-0.645	0.210	-0.127	-1.473	-0.865	0.655	-0.633	-0.082	0.275	0.342	-1.320	-0.771	-0.002	-0.186	1.838	-1.678	-0.115	0.343	0.469	0.243	-1.121	0.060	-0.460	-0.568	0.496	0.266	-0.382	2.186	0.092	0.410	0.281	-0.255	0.435	0.334	0.096	-0.125
Dyella79	ABZR86_RS00045	ABZR86_RS00045		hypothetical protein	-1.797	0.639	-1.218	-1.563	-1.249	-0.624	-0.717	-0.964	0.072	-0.965	-0.995	0.310	-1.725	0.138	-0.597	-0.136	-1.458	-1.235	-0.962	-1.009	1.031	0.228	-1.281	0.959	-0.218	0.301	-0.005	1.235	0.302	-0.044	0.081	-1.388	-0.789	-1.022	0.778	0.029	-1.843	-0.411	0.145	-0.213	-0.891	-0.204	-0.666	0.126	-0.426	-1.098	-0.330	0.445	-1.497	0.204	-1.570	0.719	0.909	-0.173	-0.348	0.574	-1.093	0.149	0.243	1.767	0.269	-0.311	1.220	-1.815	-1.385	0.023	-0.644	0.872	0.226
Dyella79	ABZR86_RS00050	ABZR86_RS00050		AraC family transcriptional regulator	0.016	1.377	1.462	-0.711	0.179	0.615	-0.080	1.507	0.330	1.009	0.398	0.968	0.831	0.659	0.719	0.188	1.206	-0.062	0.457	-0.019	0.248	-1.529	-1.568	0.372	-0.001	0.309	0.225	-0.585	-1.782	-0.063	-0.356	-1.643	-0.662	-1.128	-0.999	0.033	0.672	-0.841	-0.910	-0.165	-1.212	-1.281	-0.289	0.492	-1.106	0.111	-0.284	-1.275	0.793	-1.197	-1.279	-0.812	0.098	-0.525	-1.751	-1.527	1.451	-2.102	-0.731	-0.808	0.242	-1.605	-0.027	-0.865	-0.596	1.039	-0.857	-2.063	0.551
