expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set11IT065	2'-Deoxycytidine	BWI76_RS00765	BWI76_RS00765		DNA-binding transcriptional regulator CytR	7.75679872807791	41.7009039732428	FALSE
carbon source	set11IT075	2'-Deoxycytidine	BWI76_RS00765	BWI76_RS00765		DNA-binding transcriptional regulator CytR	7.93030490637043	35.0968548184663	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS00765	BWI76_RS00765		DNA-binding transcriptional regulator CytR	8.36857925750342	34.5413453932074	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS00765	BWI76_RS00765		DNA-binding transcriptional regulator CytR	8.54273826712879	31.8527618634421	FALSE
carbon source	set11IT065	2'-Deoxycytidine	BWI76_RS02095	BWI76_RS02095		acetyl-coenzyme A synthetase	-1.83796584097869	-8.71187717866593	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS02095	BWI76_RS02095		acetyl-coenzyme A synthetase	-1.74098885291338	-7.19928997677632	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS02095	BWI76_RS02095		acetyl-coenzyme A synthetase	-1.60279158047238	-7.17641145068456	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS04130	BWI76_RS04130		2-deoxyribose-5-phosphate aldolase	-5.47438054917139	-8.33392303904996	FALSE
carbon source	set11IT065	2'-Deoxycytidine	BWI76_RS04130	BWI76_RS04130		2-deoxyribose-5-phosphate aldolase	-5.45492486845293	-7.17317899598543	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS04130	BWI76_RS04130		2-deoxyribose-5-phosphate aldolase	-5.312029019811	-7.59498225276323	FALSE
carbon source	set11IT075	2'-Deoxycytidine	BWI76_RS04130	BWI76_RS04130		2-deoxyribose-5-phosphate aldolase	-3.94996133262227	-5.91665061369554	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS04135	BWI76_RS04135		thymidine phosphorylase	-5.66449071287713	-9.90780978768967	FALSE
carbon source	set11IT075	2'-Deoxycytidine	BWI76_RS04135	BWI76_RS04135		thymidine phosphorylase	-5.29546684410835	-7.87574156646964	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS04135	BWI76_RS04135		thymidine phosphorylase	-4.00311898657175	-6.89729949127358	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS04140	BWI76_RS04140		phosphopentomutase	-3.9939604320866	-5.24595685161624	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS07120	BWI76_RS07120		LacI family transcriptional regulator	-1.46966920416345	-5.74075434033875	FALSE
carbon source	set11IT064	2'-Deoxycytidine	BWI76_RS15500	BWI76_RS15500		hypothetical protein	1.42815972813128	11.7329694140309	FALSE
carbon source	set11IT074	2'-Deoxycytidine	BWI76_RS15500	BWI76_RS15500		hypothetical protein	1.43586090891539	11.711325457965	FALSE
