orgId	locusId	sysName	geneName	desc	set1IT002 L-tyrosine (C)	set1IT003 L-Tryptophan (C)	set1IT006 casaminos (C)	set1IT009 Glucuronamide (C)	set1IT010 D-Maltose (C)	set1IT011 D-Galactose (C)	set1IT014 D-Glucuronic Acid (C)	set1IT016 D-Glucose-6-Phosphate (C)	set1IT017 acetate (C)	set1IT018 Fumarate (C)	set1IT019 D-Cellobiose (C)	set1IT023 pyruvate (C)	set1IT024 succinate (C)	set1IT031 L-Asparagine (C)	set1IT032 L-Glutamine (C)	set1IT054 casaminos (C)	set1IT058 D-Maltose (C)	set1IT059 D-Galactose (C)	set1IT064 D-Glucose-6-Phosphate (C)	set1IT065 acetate (C)	set1IT066 Fumarate (C)	set1IT068 2-Deoxy-D-Ribose (C)	set1IT071 pyruvate (C)	set1IT073 propionate (C)	set1IT076 L-Malic (C)
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	-0.210	0.302	-1.058	0.294	-0.059	-0.015	-0.106	-0.876	-0.006	0.064	0.689	-0.189	-0.140	-0.189	0.138	-1.059	-0.039	-0.092	0.087	0.250	-0.243	-0.077	0.158	0.327	0.355
Lysobacter_OAE881	ABIE51_RS00040	ABIE51_RS00040		anhydro-N-acetylmuramic acid kinase	-0.010	0.151	-0.059	0.194	-0.022	0.019	0.043	0.109	0.108	0.092	-0.174	0.216	-0.147	0.007	-0.073	0.018	0.180	-0.101	0.143	0.182	-0.130	0.264	0.178	0.241	0.389
Lysobacter_OAE881	ABIE51_RS00050	ABIE51_RS00050		MFS transporter	-0.041	0.040	-0.001	0.235	0.103	0.142	0.076	-0.035	0.128	0.087	-0.435	0.095	-0.020	-0.083	0.017	-0.031	0.143	0.114	0.070	0.051	-0.182	0.252	0.060	0.286	0.294
Lysobacter_OAE881	ABIE51_RS00055	ABIE51_RS00055		exodeoxyribonuclease III	0.010	0.061	0.138	0.023	0.028	0.030	-0.137	0.087	0.009	0.053	-0.009	0.111	-0.126	0.057	-0.083	0.089	0.121	0.103	0.138	0.080	-0.096	0.007	0.040	0.030	0.076
Lysobacter_OAE881	ABIE51_RS00060	ABIE51_RS00060		GNAT family N-acetyltransferase	0.045	0.129	0.212	0.262	0.083	-0.049	0.169	-0.049	0.102	0.012	0.227	0.133	-0.192	0.053	-0.045	0.042	-0.206	-0.054	0.155	0.006	-0.219	-0.066	0.043	0.065	0.173
Lysobacter_OAE881	ABIE51_RS00065	ABIE51_RS00065		orotate phosphoribosyltransferase	0.371	-0.038	-2.167	0.718	-1.409	-1.053	-0.456	-0.373	-0.818	-0.383	0.895	1.039	-0.457	0.734	0.161	-2.152	-1.797	-1.622	-0.963	0.681	-0.103	0.213	-0.576	0.030	-1.207
Lysobacter_OAE881	ABIE51_RS00070	ABIE51_RS00070		hypothetical protein	-0.145	0.170	-0.099	-0.944	0.416	0.117	0.336	0.161	0.151	-0.048	0.226	0.293	-0.891	0.010	-0.014	0.260	0.373	0.110	-0.021	0.205	0.408	0.183	-0.075	-0.249	0.429
Lysobacter_OAE881	ABIE51_RS00080	ABIE51_RS00080		phosphomannomutase/phosphoglucomutase	-0.159	0.154	-0.000	0.253	0.056	-0.051	0.127	-0.079	0.065	0.035	0.124	0.030	0.194	0.048	0.009	0.046	-0.289	0.012	-0.085	-0.073	-0.091	0.101	-0.041	-0.071	0.025
Lysobacter_OAE881	ABIE51_RS00085	ABIE51_RS00085		dUTP diphosphatase	-0.671	0.115	-1.124	-1.248	0.245	0.147	-0.201	-0.028	0.100	1.357	-0.042	0.238	-0.695	-0.202	-0.280	-0.287	-0.166	0.041	0.006	-0.170	0.443	-0.522	0.717	0.268	-0.540
Lysobacter_OAE881	ABIE51_RS00095	ABIE51_RS00095		DNA repair protein RadC	-0.338	0.138	-0.232	-0.526	-0.039	0.022	-0.332	0.028	0.040	0.082	-0.053	-0.102	0.222	-0.132	-0.179	0.012	0.114	-0.431	0.025	-0.096	-0.055	-0.250	0.094	-0.047	-0.478
