orgId	locusId	sysName	geneName	desc	set1IT002 L-tyrosine (C)	set1IT003 L-Tryptophan (C)	set1IT006 casaminos (C)	set1IT009 Glucuronamide (C)	set1IT010 D-Maltose (C)	set1IT011 D-Galactose (C)	set1IT014 D-Glucuronic Acid (C)	set1IT016 D-Glucose-6-Phosphate (C)	set1IT017 acetate (C)	set1IT018 Fumarate (C)	set1IT019 D-Cellobiose (C)	set1IT023 pyruvate (C)	set1IT024 succinate (C)	set1IT031 L-Asparagine (C)	set1IT032 L-Glutamine (C)	set1IT054 casaminos (C)	set1IT058 D-Maltose (C)	set1IT059 D-Galactose (C)	set1IT064 D-Glucose-6-Phosphate (C)	set1IT065 acetate (C)	set1IT066 Fumarate (C)	set1IT068 2-Deoxy-D-Ribose (C)	set1IT071 pyruvate (C)	set1IT073 propionate (C)	set1IT076 L-Malic (C)
Lysobacter_OAE881	ABIE51_RS00035	ABIE51_RS00035		peptidoglycan DD-metalloendopeptidase family protein	-1.631	2.582	-9.118	2.317	-0.509	-0.135	-0.844	-7.609	-0.052	0.523	5.592	-1.487	-1.022	-1.433	1.151	-9.377	-0.327	-0.740	0.738	2.150	-1.760	-0.606	1.352	2.700	2.716
Lysobacter_OAE881	ABIE51_RS00040	ABIE51_RS00040		anhydro-N-acetylmuramic acid kinase	-0.076	1.176	-0.508	1.386	-0.167	0.154	0.300	0.952	0.894	0.636	-1.171	1.599	-0.982	0.043	-0.502	0.154	1.442	-0.720	1.168	1.358	-0.917	1.915	1.329	1.632	2.722
Lysobacter_OAE881	ABIE51_RS00050	ABIE51_RS00050		MFS transporter	-0.358	0.368	-0.011	2.039	0.932	1.349	0.685	-0.330	1.197	0.767	-3.751	0.866	-0.171	-0.736	0.151	-0.291	1.282	1.030	0.649	0.474	-1.563	2.289	0.545	2.576	2.524
Lysobacter_OAE881	ABIE51_RS00055	ABIE51_RS00055		exodeoxyribonuclease III	0.084	0.510	1.262	0.177	0.232	0.262	-1.055	0.778	0.075	0.415	-0.069	0.913	-0.904	0.471	-0.667	0.791	1.042	0.840	1.195	0.655	-0.736	0.053	0.336	0.251	0.622
Lysobacter_OAE881	ABIE51_RS00060	ABIE51_RS00060		GNAT family N-acetyltransferase	0.311	0.932	1.654	1.412	0.514	-0.377	1.032	-0.381	0.706	0.072	1.471	0.935	-0.978	0.323	-0.295	0.334	-1.485	-0.314	1.177	0.045	-1.169	-0.403	0.262	0.379	1.056
Lysobacter_OAE881	ABIE51_RS00065	ABIE51_RS00065		orotate phosphoribosyltransferase	0.568	-0.080	-1.478	1.254	-1.614	-1.978	-0.796	-0.677	-1.428	-0.579	1.563	2.006	-0.595	1.278	0.329	-1.468	-1.706	-1.540	-1.594	1.247	-0.135	0.396	-0.912	0.057	-1.146
Lysobacter_OAE881	ABIE51_RS00070	ABIE51_RS00070		hypothetical protein	-0.544	0.878	-0.576	-2.676	1.490	0.588	1.018	0.916	0.715	-0.167	0.657	1.190	-1.897	0.038	-0.055	1.359	1.848	0.387	-0.101	1.062	1.565	0.675	-0.373	-1.006	1.950
Lysobacter_OAE881	ABIE51_RS00080	ABIE51_RS00080		phosphomannomutase/phosphoglucomutase	-0.987	1.119	-0.004	1.418	0.367	-0.385	0.826	-0.618	0.491	0.221	0.778	0.220	1.129	0.319	0.057	0.372	-1.862	0.082	-0.620	-0.544	-0.522	0.667	-0.301	-0.464	0.148
Lysobacter_OAE881	ABIE51_RS00085	ABIE51_RS00085		dUTP diphosphatase	-1.934	0.352	-2.706	-1.204	0.727	0.519	-0.597	-0.097	0.323	4.096	-0.093	0.642	-1.578	-0.472	-0.917	-0.884	-0.469	0.123	0.021	-0.525	1.146	-1.222	2.223	0.797	-0.939
Lysobacter_OAE881	ABIE51_RS00095	ABIE51_RS00095		DNA repair protein RadC	-1.515	0.519	-1.200	-1.737	-0.195	0.100	-1.314	0.157	0.223	0.353	-0.198	-0.494	1.012	-0.718	-0.769	0.076	0.523	-2.098	0.112	-0.360	-0.236	-1.285	0.356	-0.218	-2.089
Lysobacter_OAE881	ABIE51_RS00105	ABIE51_RS00105		SPOR domain-containing protein	-2.266	-0.986	-2.053	-0.830	-1.110	-2.461	1.053	-0.341	-0.354	0.280	-1.556	-1.252	1.494	-3.020	-0.356	-1.969	-3.168	1.124	-1.692	0.408	-1.244	0.558	-1.123	-0.818	-2.872
Lysobacter_OAE881	ABIE51_RS00110	ABIE51_RS00110		hypothetical protein	0.643	-0.020	0.759	0.336	0.749	1.685	0.203	0.183	-0.092	0.024	2.449	1.593	0.897	0.598	0.259	1.104	-0.711	-0.503	0.630	0.273	-0.430	1.035	0.579	-0.184	-0.169
Lysobacter_OAE881	ABIE51_RS00120	ABIE51_RS00120		YciI family protein	-1.203	-2.059	-0.783	-0.319	0.315	-1.083	0.121	-1.874	0.011	-0.683	-1.857	-0.250	-1.911	-1.402	-2.303	-1.149	0.644	0.413	-1.619	-0.686	-1.438	-0.755	-2.223	-1.124	0.382
Lysobacter_OAE881	ABIE51_RS00135	ABIE51_RS00135		phosphotransferase	-0.881	-0.740	0.236	0.325	0.861	-0.044	0.529	0.065	-0.525	-0.780	0.748	-0.610	0.018	-0.064	-0.539	-0.177	-0.687	0.450	0.237	-0.441	0.091	-2.420	-0.483	-1.027	1.048
Lysobacter_OAE881	ABIE51_RS00140	ABIE51_RS00140		acyltransferase	0.363	-0.167	0.659	0.160	-0.485	0.135	0.678	0.073	0.373	-0.325	-0.469	-0.044	0.053	0.400	0.127	0.549	0.663	-0.357	-0.558	-0.127	-0.291	0.346	0.107	0.001	0.688
Lysobacter_OAE881	ABIE51_RS00145	ABIE51_RS00145		P-II family nitrogen regulator	0.246	0.268	0.215	0.213	0.581	-0.009	0.157	-1.071	-0.219	-0.130	-0.425	-0.767	-0.633	0.755	-0.329	1.186	-0.538	-1.727	0.349	-0.624	-0.730	-0.135	0.141	0.065	0.189
Lysobacter_OAE881	ABIE51_RS00155	ABIE51_RS00155		YifB family Mg chelatase-like AAA ATPase	-0.654	0.475	0.495	-0.624	-1.094	-0.425	0.262	-0.031	-0.286	-0.503	1.341	0.887	0.088	-0.332	0.049	0.694	0.022	-0.079	0.168	0.736	0.294	-0.058	0.001	1.588	0.140
Lysobacter_OAE881	ABIE51_RS00160	ABIE51_RS00160		hypothetical protein	0.538	0.326	0.187	-0.743	0.323	0.829	0.042	-0.733	-0.226	1.534	1.788	-0.184	0.486	-0.864	-0.157	0.129	-0.346	1.313	-0.171	0.360	-0.638	-1.060	0.529	-0.715	-0.016
Lysobacter_OAE881	ABIE51_RS00165	ABIE51_RS00165		hypothetical protein	0.088	0.776	0.718	0.004	-0.008	0.401	-0.055	0.814	0.359	0.661	-0.056	-0.149	-0.340	0.754	0.754	1.675	0.276	1.315	0.662	1.263	-0.574	2.300	-0.256	0.304	0.500
Lysobacter_OAE881	ABIE51_RS00170	ABIE51_RS00170		putative peptide maturation dehydrogenase	-0.029	0.515	-0.182	-0.614	-0.432	0.193	-0.758	0.716	-0.431	-0.905	-0.205	0.065	-1.271	-0.978	-0.602	-0.074	0.134	0.848	-0.158	0.677	-1.630	-0.405	-0.488	-0.260	-0.843
Lysobacter_OAE881	ABIE51_RS00175	ABIE51_RS00175		NHLP-related RiPP peptide	0.737	-1.185	0.774	-0.870	-0.680	-0.329	-2.661	1.188	-0.827	-0.089	0.220	-0.593	1.557	-3.196	1.376	-0.831	1.157	0.004	0.186	0.750	-0.209	0.005	-0.164	-0.097	-0.712
Lysobacter_OAE881	ABIE51_RS00180	ABIE51_RS00180		putative peptide modification system cyclase	0.123	-0.445	0.135	-0.514	0.473	-0.031	0.772	-0.568	-0.710	1.149	-0.460	0.646	0.496	-0.530	0.165	0.054	0.287	0.080	-0.549	0.179	-0.585	-0.641	-0.542	-0.046	0.309
Lysobacter_OAE881	ABIE51_RS00185	ABIE51_RS00185		GGDEF domain-containing protein	2.202	1.347	0.861	-2.077	1.489	0.846	0.041	0.415	-0.472	-0.093	1.233	0.278	1.138	1.520	0.240	-0.671	0.299	1.270	0.064	-0.274	-1.773	0.437	1.455	0.559	-1.558
Lysobacter_OAE881	ABIE51_RS00190	ABIE51_RS00190		isocitrate lyase	-0.470	1.267	0.054	0.267	0.142	0.929	-0.271	-0.347	-10.514	-1.185	0.290	0.179	-0.064	0.758	0.084	0.604	-0.194	0.215	0.606	-5.297	0.469	-0.053	0.112	0.043	1.590
Lysobacter_OAE881	ABIE51_RS00195	ABIE51_RS00195		malate synthase A	-0.970	0.322	0.172	2.385	0.002	0.520	-0.202	0.615	-10.217	-0.227	-0.117	0.454	-1.749	0.434	-0.468	-0.138	0.984	-0.471	0.082	-4.436	-1.202	0.217	-0.423	0.399	0.567
Lysobacter_OAE881	ABIE51_RS00200	ABIE51_RS00200		LysR family transcriptional regulator	-0.550	0.997	1.376	1.233	-0.857	0.415	0.614	-0.042	-12.889	-1.129	0.957	-0.242	-0.200	-0.323	-0.677	0.731	-0.167	-0.059	0.035	-6.624	-0.322	0.061	-0.101	0.541	-0.868
Lysobacter_OAE881	ABIE51_RS00205	ABIE51_RS00205		lysophospholipid acyltransferase family protein	2.328	-0.064	2.219	1.044	1.482	0.387	-0.033	1.714	1.493	0.537	-0.007	0.858	-2.593	1.607	0.470	1.193	1.335	-0.104	1.089	1.183	-0.478	1.296	1.015	0.554	-2.130
Lysobacter_OAE881	ABIE51_RS00215	ABIE51_RS00215		pseudouridine synthase	-0.457	2.221	1.076	0.912	1.150	1.565	-0.886	2.899	1.732	0.752	0.588	2.854	1.720	-0.127	1.701	1.455	1.905	-0.881	0.466	0.251	0.428	2.536	1.588	2.810	2.841
Lysobacter_OAE881	ABIE51_RS00225	ABIE51_RS00225		SCP2 sterol-binding domain-containing protein	-0.454	-1.512	-0.937	0.268	0.433	-0.938	-0.809	0.804	-0.419	0.140	3.322	1.572	0.144	-1.288	0.330	-1.810	1.541	-0.287	0.405	0.128	0.292	0.578	0.934	-0.171	-1.384
Lysobacter_OAE881	ABIE51_RS00235	ABIE51_RS00235		2-alkyl-3-oxoalkanoate reductase	-0.194	2.426	-4.374	1.623	-2.114	-0.004	-0.068	-1.533	-0.221	-0.439	2.195	2.017	0.344	0.198	1.349	-4.754	-1.893	-0.912	-1.179	-0.379	0.454	-1.413	0.412	1.053	-4.240
Lysobacter_OAE881	ABIE51_RS00240	ABIE51_RS00240		serine hydrolase	-0.232	0.005	0.608	-0.457	-0.294	0.460	0.262	-0.703	0.600	0.076	-0.236	0.839	0.351	-0.678	0.673	-0.016	-0.888	1.347	0.260	-1.127	0.505	-0.873	0.881	-1.205	1.291
Lysobacter_OAE881	ABIE51_RS00245	ABIE51_RS00245		tetratricopeptide repeat protein	-0.570	-1.082	-1.740	0.898	1.382	-0.027	0.383	-2.339	-1.276	0.149	-2.389	0.506	1.545	-1.896	1.251	-0.992	-0.210	-1.748	-0.780	-0.731	-0.128	-0.581	0.331	-0.584	-0.201
Lysobacter_OAE881	ABIE51_RS00250	ABIE51_RS00250		olefin beta-lactone synthetase	0.205	0.479	-2.823	-0.757	0.912	0.848	-0.996	-0.798	0.671	-0.357	0.665	-0.817	0.158	2.680	1.493	-4.495	-0.982	-0.329	0.736	2.174	-0.940	0.313	0.970	0.702	-1.738
Lysobacter_OAE881	ABIE51_RS00255	ABIE51_RS00255		YkgJ family cysteine cluster protein	0.240	0.253	-0.269	-0.062	-0.702	-0.483	0.526	-0.166	0.281	0.645	-0.584	-0.972	1.279	-0.773	0.415	-0.985	0.681	-0.683	-0.717	-1.490	-0.098	-0.434	-0.968	2.654	0.383
Lysobacter_OAE881	ABIE51_RS00260	ABIE51_RS00260		alpha/beta fold hydrolase	-0.870	-0.264	-4.216	-0.723	0.721	0.068	-0.594	-1.173	-1.227	0.124	2.176	1.143	-0.421	0.597	0.167	-3.344	0.804	1.153	-1.600	-1.070	-1.618	1.002	-0.038	-0.560	-1.460
Lysobacter_OAE881	ABIE51_RS00265	ABIE51_RS00265		3-oxoacyl-ACP synthase III	-0.433	0.487	-4.505	2.086	-0.791	-0.684	0.536	-3.002	-1.526	-0.407	0.135	-0.051	-0.807	0.740	0.239	-4.862	-2.053	-2.790	-1.318	0.208	0.198	0.386	-0.754	1.463	0.634
Lysobacter_OAE881	ABIE51_RS00270	ABIE51_RS00270		DUF4156 domain-containing protein	-0.729	0.639	-0.084	-1.284	-1.353	0.241	-0.711	-1.455	-0.329	0.163	0.723	-0.088	-2.823	0.962	-0.520	-2.731	-0.955	0.632	0.427	0.533	-0.381	0.367	0.636	0.630	1.476
Lysobacter_OAE881	ABIE51_RS00275	ABIE51_RS00275		pitrilysin family protein	0.175	-0.849	-0.144	-0.717	-1.489	0.023	0.521	0.757	0.571	-0.789	-5.337	-2.332	-0.377	-0.678	-0.691	-0.775	-0.600	-0.322	0.322	0.242	-0.214	-0.524	0.237	-0.278	-0.199
Lysobacter_OAE881	ABIE51_RS00280	ABIE51_RS00280		SDR family oxidoreductase	-1.308	-0.589	0.715	-0.750	0.287	-0.262	0.581	0.385	-1.082	-0.337	-1.042	-2.338	-1.435	1.392	-1.067	-0.205	-0.001	-1.172	-0.823	0.282	0.383	-0.379	-0.023	0.218	-1.452
Lysobacter_OAE881	ABIE51_RS00285	ABIE51_RS00285		tRNA (cytidine(34)-2'-O)-methyltransferase	-0.951	-0.681	-0.905	-0.511	-0.144	-0.607	-0.893	0.026	-0.074	0.611	-0.153	-1.788	-3.122	0.118	0.064	-1.199	-1.374	-0.978	-1.332	0.805	-1.657	-0.130	-2.724	0.962	-1.194
Lysobacter_OAE881	ABIE51_RS00290	ABIE51_RS00290		M20 family metallopeptidase	-0.663	-0.713	0.136	1.066	-0.229	-0.453	0.554	0.266	-0.473	-0.461	-0.210	1.220	-0.371	-0.879	0.687	0.631	-0.066	0.923	0.872	-0.604	0.633	-0.758	0.237	-0.913	-0.249
Lysobacter_OAE881	ABIE51_RS00295	ABIE51_RS00295		M20 family metallopeptidase	0.199	0.153	1.719	1.295	0.767	1.567	0.072	0.845	0.861	1.836	1.206	-0.013	0.042	-0.443	0.309	0.231	0.395	-0.331	0.847	0.682	1.152	0.480	0.089	0.574	-0.280
Lysobacter_OAE881	ABIE51_RS00300	ABIE51_RS00300		Tex family protein	0.197	-0.279	0.551	-0.634	-0.711	0.333	0.327	-0.051	-0.533	-0.271	0.124	-0.718	0.778	0.949	-0.147	2.084	0.794	-0.231	0.618	0.769	-1.610	-0.018	-0.356	1.899	0.111
Lysobacter_OAE881	ABIE51_RS00305	ABIE51_RS00305		cupin domain-containing protein	0.024	-0.325	-0.135	0.169	-0.639	0.443	-0.774	0.188	0.838	0.272	0.573	0.193	1.109	0.243	1.319	-0.014	1.805	-0.098	-0.334	0.129	-1.073	-0.855	0.495	-0.506	1.037
Lysobacter_OAE881	ABIE51_RS00310	ABIE51_RS00310		PLP-dependent aminotransferase family protein	-0.452	-0.626	0.603	-1.005	0.974	0.236	-1.095	-1.457	-0.729	-1.111	1.431	0.258	1.078	-1.334	-0.227	0.018	0.530	0.111	-0.151	-0.593	0.500	0.685	-1.136	-0.053	-0.944
Lysobacter_OAE881	ABIE51_RS00315	ABIE51_RS00315		MBL fold metallo-hydrolase	0.179	0.132	-0.443	0.112	-0.583	-0.772	-1.012	-0.497	-0.668	-0.293	-0.202	-0.413	0.485	-0.469	-0.302	-0.455	-1.098	0.419	-0.104	-0.507	0.163	0.015	-0.573	0.175	0.357
