expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set4H30	Adenosine	199281	SO0084		HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (NCBI ptt file)	-1.33864578633475	-7.39387987639182	FALSE
carbon source	set3H11	Adenosine	200395	SO1217	deoC	deoxyribose-phosphate aldolase (NCBI ptt file)	-2.16108949551238	-8.15663668378381	FALSE
carbon source	set4H30	Adenosine	200395	SO1217	deoC	deoxyribose-phosphate aldolase (NCBI ptt file)	-1.9355270504501	-9.16958665427359	FALSE
carbon source	set3H11	Adenosine	200396	SO1218	deoA	thymidine phosphorylase (NCBI ptt file)	-3.48502774807169	-11.3343768728259	FALSE
carbon source	set4H30	Adenosine	200396	SO1218	deoA	thymidine phosphorylase (NCBI ptt file)	-3.02735354151551	-13.0239438593935	FALSE
carbon source	set3H11	Adenosine	200397	SO1219	deoB	phosphopentomutase (NCBI ptt file)	-3.21878279211361	-12.5781472548022	FALSE
carbon source	set4H30	Adenosine	200397	SO1219	deoB	phosphopentomutase (NCBI ptt file)	-2.9612336936338	-11.4876461673912	FALSE
carbon source	set3H11	Adenosine	203533	SO4458		carbohydrate kinase, PfkB family (NCBI ptt file)	-1.1509864364891	-8.11022214460732	TRUE
carbon source	set4H30	Adenosine	203800	SO4731	add	adenosine deaminase (NCBI ptt file)	-1.18650070117252	-7.46480362256542	FALSE
carbon source	set3H14	Cytidine	199281	SO0084		HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (NCBI ptt file)	1.29936532538582	8.63645662261055	FALSE
carbon source	set3H14	Cytidine	199359	SO0162	pckA	phosphoenolpyruvate carboxykinase (ATP) (NCBI ptt file)	1.5061672750199	11.0263404138403	FALSE
carbon source	set4H33	Cytidine	199359	SO0162	pckA	phosphoenolpyruvate carboxykinase (ATP) (NCBI ptt file)	1.65593689030123	12.8932251240959	FALSE
carbon source	set3H14	Cytidine	199467	SO0272	cinA	competence/damage-inducible protein CinA (NCBI ptt file)	1.18371392724241	7.83402196184336	FALSE
carbon source	set3H14	Cytidine	200445	SO1267		hypothetical Glutamine amidotransferase (NCBI ptt file)	-1.47559240378534	-5.82261418530462	FALSE
carbon source	set4H33	Cytidine	200529	SO1354		hemolysin protein, putative (NCBI ptt file)	-1.16035284115647	-6.1878359650868	FALSE
carbon source	set3H14	Cytidine	200563	SO1388		aminopeptidase P, putative (NCBI ptt file)	1.52316568707429	7.76156026912831	FALSE
carbon source	set4H33	Cytidine	200934	SO1770		glycerate kinase, putative (NCBI ptt file)	1.57856316317578	11.157721289735	FALSE
