orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Magneto	set1IT050	an_mag_3	4-Oct-2018 Magneto_Ml2_set1	14	4325881	12136	2831646	2830954	439	744	878.905308910276	0.101682672774074	0.415244383029281	1.88867533693577	1.73912081568387	0.0736967448242001	0.0525185812349548	-0.0572097257818918	1.75862185220466	magnetic pulldown	an_mag_3	Magneto_ML2	Hayley	4-Oct-2018	Magneto_Ml2_set1	IT050	MG minimal media_noIron	30		tube	Anaerobic	Liquid		Iron	μM	30											
Magneto	set1IT053	carbonsource_all	27-Sep-18 Magneto_Ml2_set1	17	5838880	14615	3830346	3759728	699	418	1167.25488978578	0.185324871682358	0.23155335132953	1.17232067635739	1.15336284412185	0.0682846668987781	-0.00612090904293948	-0.0053980077303542	2.53681755103759	carbon source	carbonsource_all	Magneto_ML2	Hayley	27-Sep-18	Magneto_Ml2_set1	IT053	MG minimal media	30		tube	Microaerobic	Liquid															
Magneto	set1IT055	carbonsource_succinate	22-Oct-2018 Magneto_Ml2_set1	19	6389296	15733	4163006	4091614	754	1047	1270.29307668426	0.220151531914911	0.147145443800865	1.16931311422475	1.17147755884323	0.13596967470146	0.0678698056518867	0.139637420368957	4.50251446562905	carbon source	carbonsource_succinate	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT055	MG minimal media_noCarbon	30		tube	Microaerobic	Liquid		Succinic Acid	mM	3											
Magneto	set1IT057	150_initial_1	22-Oct-2018 Magneto_Ml2_set1	21	5798260	14098	3787908	3722894	694	1047	1155.81931077305	0.247206877479728	0.144585751435743	1.21584653138638	1.17147755884323	0.141279716947387	0.0469873453774139	0.119480365165197	1.12082345274082	magnetic pulldown	150_initial_1	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT057	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT058	150_initial_2	22-Oct-2018 Magneto_Ml2_set1	22	5671396	13894	3711197	3647798	678	1047	1132.50481217013	0.166168905792327	0.168043573233425	1.19712170275642	1.17147755884323	0.138146009478897	0.0925474201834838	0.106365639628547	1.24528285651812	magnetic pulldown	150_initial_2	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT058	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT059	150_initial_3	22-Oct-2018 Magneto_Ml2_set1	23	6327331	16096	4130198	4059821	752	1047	1260.42253958398	0.251171269620608	0.143604272610215	1.1937884408707	1.17147755884323	0.117088361641672	0.0786685350783769	0.0729221180891436	2.53134523560408	magnetic pulldown	150_initial_3	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT059	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT060	150_mag_1	22-Oct-2018 Magneto_Ml2_set1	24	4835364	12527	3143422	3089411	572	1047	959.14653834213	0.204044706566505	0.169481710344169	1.20106644994144	1.17147755884323	0.168129086303225	0.0401492379883837	-0.00117766550131871	2.64791566679303	magnetic pulldown	150_mag_1	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT060	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT061	150_mag_2	22-Oct-2018 Magneto_Ml2_set1	25	6993150	18148	4545192	4465208	824	1047	1386.28003725551	0.241622549338274	0.148085357312268	1.18989353070896	1.17147755884323	0.166361300419027	0.0776534787962839	0.033450149473858	1.67639924227406	magnetic pulldown	150_mag_2	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT061	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT062	150_mag_3	22-Oct-2018 Magneto_Ml2_set1	26	7054744	19015	4579090	4499838	827	1047	1397.03135672152	0.174353872177835	0.163846560192815	1.18318537757044	1.17147755884323	0.131393392915421	0.0669800010237963	0.00110361908584811	0.986712976571274	magnetic pulldown	150_mag_3	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT062	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
Magneto	set1IT063	150_nonmag_1	22-Oct-2018 Magneto_Ml2_set1	27	5939678	15066	3899480	3835152	656	1047	1190.67122011798	0.31897999403261	0.160911434253595	1.21580209539655	1.17147755884323	0.231791875520178	0.0878824076677446	0.117704389940334	3.05851263778683	magnetic pulldown	150_nonmag_1	Magneto_ML2	Hayley	22-Oct-2018	Magneto_Ml2_set1	IT063	MG minimal media_noIron	30		tube	Microaerobic	Liquid		Iron	μM	150											
