orgId	locusId	sysName	geneName	desc	set1IT050 an_mag_3	set1IT053 carbonsource_all	set1IT055 carbonsource_succinate	set1IT057 150_initial_1	set1IT058 150_initial_2	set1IT059 150_initial_3	set1IT060 150_mag_1	set1IT061 150_mag_2	set1IT062 150_mag_3	set1IT063 150_nonmag_1	set1IT064 150_nonmag_2	set1IT065 150_nonmag_3	set1IT066 30_initial_1	set1IT067 30_initial_2	set1IT068 30_initial_3	set1IT069 30_mag_1	set1IT070 30_mag_2	set1IT071 30_mag_3	set1IT072 30_nonmag_1	set1IT073 30_nonmag_2	set1IT074 30_nonmag_3	set1IT075 without_iron1	set1IT076 without_iron2	set1IT077 without_iron3	set2IT046 30_an_initial_1	set2IT047 30_an_initial_2	set2IT048 30_an_initial_3	set2IT049 30_an_mag_1	set2IT050 30_an_mag_2	set2IT051 30_an_mag_3	set2IT052 30_an_nonmag_1	set2IT053 30_an_nonmag_2	set2IT054 30_an_nonmag_3	set2IT061 150_an_nonmag_1	set2IT062 150_an_nonmag_2	set2IT063 150_an_nonmag_3
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	-1.508	-1.760	-1.143	-1.236	-2.063	-1.771	-1.710	-0.929	-1.127	-1.377	-4.997	-3.631	-2.304	-1.384	-1.776	-1.868	-1.866	-2.270	-1.931	-1.842	-3.294	-1.293	-1.171	-2.086	-2.168	-1.457	-1.641	-2.590	-2.034	-4.623	-3.492	-2.975	-4.040	-3.643	-3.632	-2.517
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	0.252	-0.236	0.265	0.409	0.419	0.481	0.606	0.650	0.243	-0.181	-0.797	-0.064	0.572	0.395	0.401	0.235	0.404	0.247	-0.071	0.327	-0.130	0.522	0.138	0.194	-0.421	-0.126	-0.364	0.168	0.319	-0.122	-0.515	-2.278	-2.410	-1.089	-0.133	-0.278
Magneto	AMB_RS00035	AMB_RS00035		hypothetical protein	0.179	0.055	0.006	-0.154	-0.135	-0.258	-0.218	-0.134	-0.160	-0.240	-0.761	-0.238	-0.113	-0.034	-0.092	-0.133	-0.068	-0.218	-0.158	0.135	-0.110	-0.077	-0.248	-0.104	-0.089	0.108	0.049	0.223	0.171	0.045	-0.469	0.051	0.238	0.148	0.162	0.109
Magneto	AMB_RS00045	AMB_RS00045		thioredoxin	-0.079	-0.351	-0.282	0.042	-0.075	-0.222	-0.065	0.104	0.041	-0.305	-0.034	-0.432	0.109	0.105	-0.051	0.069	0.095	0.139	-0.403	-0.068	-0.224	0.053	0.029	0.001	-0.685	-0.524	-0.560	-0.448	-0.457	-0.295	-0.333	-1.460	-1.096	-0.561	-1.013	-0.602
Magneto	AMB_RS00050	AMB_RS00050		ATP-dependent protease	0.019	-0.056	0.085	0.225	0.211	0.123	-0.140	0.054	-0.010	-0.058	1.063	0.025	0.151	0.077	0.039	-0.164	-0.080	0.054	0.186	0.054	0.121	-0.283	0.076	0.024	-0.279	-0.538	-0.454	-1.000	-0.852	-0.422	0.457	0.175	-0.029	0.481	0.291	0.293
Magneto	AMB_RS00060	AMB_RS00060		DUF971 domain-containing protein	0.244	0.146	-0.089	-0.140	-0.034	-0.086	-0.048	-0.153	-0.118	-0.074	-0.243	0.173	-0.003	0.181	0.071	-0.093	0.057	0.049	0.002	-0.249	0.046	0.166	-0.072	0.144	-0.011	-0.264	-0.052	-0.167	-0.167	0.005	-0.274	0.208	0.119	0.231	0.039	-0.274
Magneto	AMB_RS00065	AMB_RS00065		Cys-tRNA(Pro) deacylase	-0.623	0.214	-0.145	-0.336	-0.092	0.117	-0.113	-0.016	0.095	0.052	-0.188	-0.249	-0.078	-0.410	-0.113	-0.274	-0.168	-0.031	-0.111	-0.280	-0.206	-0.123	0.022	-0.147	-0.450	-0.412	-0.108	-0.506	-0.433	-0.465	-0.126	-0.477	-0.138	-0.685	-0.654	-0.448
Magneto	AMB_RS00075	AMB_RS00075		P-II family nitrogen regulator	-2.773	-2.067	-0.581	0.695	0.275	-0.492	-0.742	0.454	0.611	-0.413	-0.334	-0.022	-0.966	-0.657	0.244	-0.398	-0.454	0.109	-0.239	-0.133	-1.358	-0.867	-0.594	-0.323	-2.595	-2.117	-3.423	-3.715	-1.624	-3.337	-4.216	-3.197	-1.986	-1.152	-4.352	-3.368
Magneto	AMB_RS00080	AMB_RS00080		ammonium transporter	0.253	-0.107	-0.032	-0.076	-0.230	-0.236	0.018	0.089	0.210	-0.315	-0.335	-0.035	-0.033	-0.522	-0.225	0.165	-0.054	-0.405	-0.485	-0.292	0.025	-0.103	0.023	-0.374	-0.924	-1.112	-0.776	-0.507	-0.661	-1.181	-0.257	0.188	-0.135	-0.097	0.075	0.714
Magneto	AMB_RS00085	AMB_RS00085		aspartate aminotransferase	0.636	-1.195	0.222	0.071	0.099	-0.028	-0.738	-0.340	0.018	-0.343	0.467	-0.029	-0.049	-0.392	0.294	0.012	-0.364	0.304	-0.055	-0.058	0.232	0.097	0.383	0.245	-1.444	-0.429	-0.179	-0.805	-0.630	-0.608	-1.512	-0.079	0.433	-0.095	-1.410	-0.867
