orgId	locusId	sysName	geneName	desc	set1IT050 an_mag_3	set1IT053 carbonsource_all	set1IT055 carbonsource_succinate	set1IT057 150_initial_1	set1IT058 150_initial_2	set1IT059 150_initial_3	set1IT060 150_mag_1	set1IT061 150_mag_2	set1IT062 150_mag_3	set1IT063 150_nonmag_1	set1IT064 150_nonmag_2	set1IT065 150_nonmag_3	set1IT066 30_initial_1	set1IT067 30_initial_2	set1IT068 30_initial_3	set1IT069 30_mag_1	set1IT070 30_mag_2	set1IT071 30_mag_3	set1IT072 30_nonmag_1	set1IT073 30_nonmag_2	set1IT074 30_nonmag_3	set1IT075 without_iron1	set1IT076 without_iron2	set1IT077 without_iron3	set2IT046 30_an_initial_1	set2IT047 30_an_initial_2	set2IT048 30_an_initial_3	set2IT049 30_an_mag_1	set2IT050 30_an_mag_2	set2IT051 30_an_mag_3	set2IT052 30_an_nonmag_1	set2IT053 30_an_nonmag_2	set2IT054 30_an_nonmag_3	set2IT061 150_an_nonmag_1	set2IT062 150_an_nonmag_2	set2IT063 150_an_nonmag_3
Magneto	AMB_RS00010	AMB_RS00010		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	-0.396	-1.634	-2.211	-1.865	-3.461	-2.267	-2.963	-1.180	-1.406	-2.001	-1.460	-2.347	-2.585	-1.507	-2.423	-2.554	-3.266	-3.367	-2.165	-2.472	-3.328	-2.710	-1.954	-4.244	-1.571	-1.292	-1.397	-1.764	-1.868	-1.815	-0.895	-1.494	-1.265	-1.034	-1.174	-1.463
Magneto	AMB_RS00015	AMB_RS00015		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	0.644	-1.058	1.280	1.495	1.679	1.845	2.507	3.097	0.874	-0.723	-1.096	-0.168	2.648	1.281	1.687	1.011	1.408	0.891	-0.256	0.843	-0.376	1.929	0.443	0.610	-0.865	-0.268	-0.812	0.357	0.601	-0.240	-0.801	-2.902	-3.240	-1.298	-0.261	-0.537
Magneto	AMB_RS00035	AMB_RS00035		hypothetical protein	0.594	0.255	0.037	-1.009	-0.702	-1.221	-1.457	-0.953	-0.861	-1.584	-1.848	-1.100	-0.664	-0.191	-0.621	-0.737	-0.392	-1.179	-0.872	0.628	-0.503	-0.500	-1.405	-0.607	-0.541	0.606	0.311	1.535	1.201	0.266	-1.264	0.282	0.835	0.498	1.009	0.713
Magneto	AMB_RS00045	AMB_RS00045		thioredoxin	-0.257	-0.957	-1.403	0.216	-0.399	-1.417	-0.323	0.522	0.204	-1.794	-0.063	-1.813	0.591	0.682	-0.309	0.346	0.537	0.987	-2.119	-0.280	-1.504	0.304	0.148	0.008	-3.187	-2.094	-2.625	-2.185	-2.438	-1.426	-0.821	-4.503	-3.031	-1.190	-2.717	-1.954
Magneto	AMB_RS00050	AMB_RS00050		ATP-dependent protease	0.053	-0.254	0.342	1.219	1.016	0.733	-0.599	0.242	-0.046	-0.212	3.503	0.096	1.065	0.504	0.211	-0.741	-0.402	0.264	0.880	0.162	0.464	-1.690	0.396	0.153	-0.747	-1.715	-1.524	-2.411	-2.015	-0.895	0.818	0.369	-0.058	0.878	0.487	0.559
Magneto	AMB_RS00060	AMB_RS00060		DUF971 domain-containing protein	1.057	0.661	-0.542	-0.806	-0.196	-0.462	-0.280	-0.907	-0.691	-0.463	-0.940	0.965	-0.014	1.217	0.436	-0.460	0.326	0.255	0.012	-1.143	0.238	0.975	-0.432	0.841	-0.060	-1.430	-0.276	-0.886	-0.933	0.023	-0.947	1.048	0.527	1.103	0.156	-1.217
Magneto	AMB_RS00065	AMB_RS00065		Cys-tRNA(Pro) deacylase	-0.906	0.569	-0.636	-1.568	-0.409	0.449	-0.401	-0.071	0.413	0.269	-0.498	-0.990	-0.439	-1.459	-0.437	-1.117	-0.603	-0.126	-0.506	-1.355	-0.864	-0.584	0.076	-0.808	-0.907	-0.935	-0.284	-1.005	-1.154	-1.062	-0.300	-1.233	-0.279	-1.101	-1.231	-1.044
Magneto	AMB_RS00075	AMB_RS00075		P-II family nitrogen regulator	-0.641	-1.412	-0.492	1.019	0.393	-0.792	-0.916	0.848	0.931	-0.606	-0.208	-0.025	-1.342	-0.902	0.303	-0.531	-0.606	0.165	-0.291	-0.131	-1.107	-1.238	-0.855	-0.464	-1.829	-1.539	-2.079	-2.005	-1.206	-1.908	-0.937	-1.331	-1.152	-0.674	-1.221	-1.418
Magneto	AMB_RS00080	AMB_RS00080		ammonium transporter	0.394	-0.363	-0.100	-0.238	-0.758	-0.825	0.049	0.325	0.740	-1.323	-0.501	-0.110	-0.127	-1.624	-0.694	0.763	-0.182	-1.345	-1.699	-0.721	0.094	-0.335	0.072	-1.118	-1.937	-1.713	-1.651	-1.014	-1.299	-2.186	-0.322	0.325	-0.234	-0.142	0.147	1.405
Magneto	AMB_RS00085	AMB_RS00085		aspartate aminotransferase	1.777	-1.682	0.561	0.182	0.231	-0.068	-0.893	-0.804	0.047	-0.718	0.339	-0.042	-0.103	-0.764	0.657	0.031	-0.824	0.755	-0.087	-0.080	0.344	0.239	0.895	0.718	-1.191	-0.464	-0.209	-0.782	-0.634	-0.613	-0.328	-0.071	0.411	-0.065	-0.539	-0.636
