expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set6IT027	D-Alanine	GFF2992	HP15_2936		periplasmic sensor signal transduction histidine kinase	-1.1429535626091	-5.04887524163982	FALSE
carbon source	set6IT009	D-Trehalose dihydrate	GFF1281	HP15_1251		sodium: solute symporter family protein	-1.52975515808502	-7.0878789621868	FALSE
carbon source	set6IT022	D-Trehalose dihydrate	GFF1281	HP15_1251		sodium: solute symporter family protein	-1.42921737813539	-5.58915676172254	FALSE
carbon source	set6IT022	D-Trehalose dihydrate	GFF3193	HP15_3135		iron-containing alcohol dehydrogenase	-1.28761341069455	-6.33544085521147	FALSE
carbon source	set6IT022	D-Trehalose dihydrate	GFF3491	HP15_3433		aconitate hydratase 1	-1.24331743492828	-7.60739289651761	FALSE
carbon source	set6IT009	D-Trehalose dihydrate	GFF3491	HP15_3433		aconitate hydratase 1	-1.24108113006201	-6.96124439634222	FALSE
carbon source	set6IT005	Ethanol	GFF1092	HP15_1070		TRAP-type uncharacterized transport system, fused permease component	-1.62286800421648	-8.33707038777723	FALSE
carbon source	set6IT018	Ethanol	GFF1092	HP15_1070		TRAP-type uncharacterized transport system, fused permease component	-1.47266565516841	-9.87442429796463	FALSE
carbon source	set6IT005	Ethanol	GFF2278	HP15_2228		ribonuclease activity regulator protein RraA	-2.19661059646692	-5.70990008842565	FALSE
carbon source	set6IT018	Ethanol	GFF2278	HP15_2228		ribonuclease activity regulator protein RraA	-2.05147329332951	-6.22086504599268	FALSE
carbon source	set6IT018	Ethanol	GFF2281	HP15_2231		pitrilysin metallopeptidase 1	-2.36804409982049	-17.7976420467037	FALSE
carbon source	set6IT005	Ethanol	GFF2281	HP15_2231		pitrilysin metallopeptidase 1	-2.34853755544434	-14.5372583909163	FALSE
carbon source	set6IT018	Ethanol	GFF2970	HP15_2914		protein containing Methyltransferase type 11 domain	-1.85274294453936	-5.1162264285283	FALSE
carbon source	set6IT005	Ethanol	GFF3192	HP15_3134		two-component system sensor protein	-2.5392978489285	-15.0369386255996	TRUE
carbon source	set6IT018	Ethanol	GFF3192	HP15_3134		two-component system sensor protein	-2.41297226027604	-18.5118781388003	TRUE
carbon source	set6IT018	Ethanol	GFF3193	HP15_3135		iron-containing alcohol dehydrogenase	-2.62326023261554	-13.9883801975214	TRUE
carbon source	set6IT005	Ethanol	GFF3193	HP15_3135		iron-containing alcohol dehydrogenase	-2.14956558373622	-8.58055262598157	TRUE
carbon source	set6IT018	Ethanol	GFF3195	HP15_3137		pyrroloquinoline quinone biosynthesis protein PqqE	-2.12985826995454	-12.3965181781927	TRUE
carbon source	set6IT005	Ethanol	GFF3195	HP15_3137		pyrroloquinoline quinone biosynthesis protein PqqE	-1.81142296337276	-8.50775834843452	TRUE
carbon source	set6IT005	Ethanol	GFF3196	HP15_3138		coenzyme PQQ synthesis D	-2.71423125473852	-5.62673147865071	TRUE
carbon source	set6IT018	Ethanol	GFF3196	HP15_3138		coenzyme PQQ synthesis D	-2.42214310459274	-6.72389384326544	TRUE
carbon source	set6IT018	Ethanol	GFF3197	HP15_3139		pyrroloquinoline quinone biosynthesis protein PqqC	-1.88581285067757	-7.79415211982928	TRUE
carbon source	set6IT005	Ethanol	GFF3198	HP15_3140		pyrroloquinoline quinone biosynthesis protein PqqB	-2.12334469345403	-8.04431492879353	TRUE
carbon source	set6IT018	Ethanol	GFF3198	HP15_3140		pyrroloquinoline quinone biosynthesis protein PqqB	-1.9084535635581	-9.43461724173029	TRUE
carbon source	set6IT005	Ethanol	GFF3202	HP15_3144		NAD-dependent aldehyde dehydrogenase	-2.64452831800588	-10.3341384086861	TRUE
carbon source	set6IT018	Ethanol	GFF3202	HP15_3144		NAD-dependent aldehyde dehydrogenase	-2.53400705003277	-14.4734049792523	TRUE
carbon source	set6IT005	Ethanol	GFF3220	HP15_3162		cytochrome c550	-2.02716154259477	-6.96726456525875	TRUE
carbon source	set6IT018	Ethanol	GFF3220	HP15_3162		cytochrome c550	-1.97421859008856	-7.09017927974408	TRUE
carbon source	set6IT018	Ethanol	GFF3222	HP15_3164		quinoprotein alcohol dehydrogenase	-2.18895048634274	-15.1746031795878	TRUE
carbon source	set6IT005	Ethanol	GFF3222	HP15_3164		quinoprotein alcohol dehydrogenase	-2.06955842276566	-11.5596513419147	TRUE
carbon source	set6IT005	Ethanol	GFF3223	HP15_3165		pentapeptide repeat family protein	-2.02604395052733	-11.034382070122	TRUE
carbon source	set6IT018	Ethanol	GFF3223	HP15_3165		pentapeptide repeat family protein	-1.74442402458007	-8.59519480707548	TRUE
carbon source	set6IT005	Ethanol	GFF3225	HP15_3167		integral membrane sensor signal transduction histidine kinase	-2.07121552512116	-8.98233493359601	TRUE
carbon source	set6IT018	Ethanol	GFF3225	HP15_3167		integral membrane sensor signal transduction histidine kinase	-1.99227718882173	-10.7365946051196	TRUE
carbon source	set6IT005	Ethanol	GFF3241	HP15_3183		two component transcriptional regulator, LuxR family	-2.89146870694582	-11.5438309331761	TRUE
carbon source	set6IT018	Ethanol	GFF3241	HP15_3183		two component transcriptional regulator, LuxR family	-2.52685879559616	-12.9596918960405	TRUE
carbon source	set6IT018	Ethanol	GFF3442	HP15_3384		HIT (histidine triad) family protein	-2.12166712388857	-6.99724530731197	FALSE
