orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Methanococcus_S2	set15S700	Formate 200 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	892	3669937	4188	2814410	2811904	69	5004	2260.3729903537	0.127769440020337	0.254079708150888	1.10691520391651	1.08458178851467	0.0290257303673633	-0.0489340306614891	0.000630118353525233	1.65812265929031	stress	Formate 200 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S700	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	200											
Methanococcus_S2	set15S701	Formate 200 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	893	3773172	3671	3077677	3075452	76	5004	2472.22829581994	0.192511453210787	0.271002529447373	1.15780306160937	1.08458178851467	0.0960527420011017	0.0703871966959215	-0.0309315858238331	3.23827069044571	stress	Formate 200 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S701	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	200											
Methanococcus_S2	set15S702	Formate 100 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	894	3407636	19499	1822143	1818241	370.5	5004	1461.60852090032	0.694751966010737	0.311507495079917	1.16321155605264	1.08458178851467	0.529935991863664	-0.00694933895984377	-0.0570323167931006	12.2080762675642	stress	Formate 100 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S702	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	100											
Methanococcus_S2	set15S703	Formate 100 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	895	3344478	22975	1546783	1541884	445.5	5004	1239.45659163987	0.695695488828605	0.285535540349851	1.16981564837298	1.08458178851467	0.554051908987067	-0.0242825213140691	-0.0520417507240851	11.6323520589797	stress	Formate 100 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S703	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	100											
Methanococcus_S2	set15S704	Formate 100 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	896	3137886	22417	1331794	1326726	421	5004	1066.5	0.67627415498835	0.2047527847928	1.19636540951635	1.08458178851467	0.524069847934441	0.027666719041099	-0.0615595866496023	10.7513136147923	stress	Formate 100 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S704	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	100											
Methanococcus_S2	set15S705	Formate no stress control	24-Jul Methanococcus_S2_ML1_set15	897	3055539	43512	1643511	1634555	799.5	5004	1313.95096463023	0.641999362668856	0.146197260879633	1.14027526038229	1.08458178851467	0.543290230138577	0.175634012214543	-0.104720396783389	0.638465831646167	formate no stress control	Formate no stress control	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S705	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm														
Methanococcus_S2	set15S706	Formate no stress control	24-Jul Methanococcus_S2_ML1_set15	898	2951041	40964	1587193	1580385	757.5	5004	1270.40594855305	0.653374791783785	0.144111523510111	1.13293438907105	1.08458178851467	0.558380124309076	0.140364077125093	-0.09582032903377	0.793039416991613	formate no stress control	Formate no stress control	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S706	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm														
Methanococcus_S2	set15S707	Formate no stress control	24-Jul Methanococcus_S2_ML1_set15	899	2645419	37308	1421065	1414533	696.5	5004	1137.08440514469	0.628273477073205	0.154094134125716	1.14107455837195	1.08458178851467	0.555077931274973	0.163957262463244	-0.104064425261517	0.688293208389388	formate no stress control	Formate no stress control	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S707	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm														
Methanococcus_S2	set15S708	Formate 50 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	900	2842058	38433	1529752	1521766	736	5004	1223.2845659164	0.655651171100036	0.143382056074006	1.14072306939695	1.08458178851467	0.539928671719793	0.0951830486408835	-0.106428008027386	1.04508129271547	stress	Formate 50 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S708	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	50											
Methanococcus_S2	set15S709	Formate 50 mM hypophosphite	24-Jul Methanococcus_S2_ML1_set15	901	2936707	40608	1581668	1575279	743.5	5004	1266.30144694534	0.663127743985735	0.167300830618944	1.15341320311657	1.08458178851467	0.600741488296427	0.0916573047264441	-0.0919285022569004	1.18413761869234	stress	Formate 50 mM hypophosphite	Methanococcus_S2_ML1	Leslie Day	24-Jul	Methanococcus_S2_ML1_set15	S709	McCas_formate_complete	37	7	5 mL Balch Tube	Anaerobic	Liquid	180 rpm	Sodium hypophosphite	mM	50											
