expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
formate no stress control	set15S706		MMP_RS06535	MMP_RS06535		2-oxoacid:acceptor oxidoreductase family protein	-2.33932788167031	-9.07765447786262	FALSE
formate no stress control	set15S707		MMP_RS06535	MMP_RS06535		2-oxoacid:acceptor oxidoreductase family protein	-2.15204182286738	-8.77475928717877	FALSE
formate no stress control	set15S705		MMP_RS06535	MMP_RS06535		2-oxoacid:acceptor oxidoreductase family protein	-1.6358339575634	-7.14374616093115	FALSE
formate no stress control	set15S707		MMP_RS06545	MMP_RS06545		ferredoxin family protein	-1.95674768723813	-5.47867566215194	FALSE
formate no stress control	set15S706		MMP_RS06545	MMP_RS06545		ferredoxin family protein	-1.72544774673508	-7.34671733771636	FALSE
formate no stress control	set15S705		MMP_RS06545	MMP_RS06545		ferredoxin family protein	-1.60871036490434	-6.79606431129629	FALSE
iron	set7IT033	Iron (II) chloride tetrahydrate	MMP_RS06300	MMP_RS06300		ABC transporter substrate-binding protein	1.22223104402179	5.34162757844861	FALSE
mixed community	set1IT069	1,3-Propanediol	MMP_RS02225	MMP_RS02225		carbohydrate kinase family protein	-1.63692262276341	-9.54419247331825	FALSE
mixed community	set1IT067	1,3-Propanediol	MMP_RS03210	MMP_RS03210		tRNA guanosine(15) transglycosylase TgtA	-1.49411568647342	-11.8180358251111	FALSE
mixed community	set1IT068	1,3-Propanediol	MMP_RS03410	MMP_RS03410		hypothetical protein	-1.34668656966039	-8.62359122626568	FALSE
mixed community	set1IT069	1,3-Propanediol	MMP_RS03410	MMP_RS03410		hypothetical protein	-1.33179275837573	-9.68716270558136	FALSE
mixed community	set1IT067	1,3-Propanediol	MMP_RS03410	MMP_RS03410		hypothetical protein	-1.2275466017533	-7.21893450723616	FALSE
mixed community	set1IT068	1,3-Propanediol	MMP_RS03685	MMP_RS03685		Mrp/NBP35 family ATP-binding protein	-2.20358033864345	-13.5258191224035	FALSE
mixed community	set1IT069	1,3-Propanediol	MMP_RS03685	MMP_RS03685		Mrp/NBP35 family ATP-binding protein	-1.9348629824432	-13.2578974268266	FALSE
mixed community	set1IT067	1,3-Propanediol	MMP_RS03685	MMP_RS03685		Mrp/NBP35 family ATP-binding protein	-1.86326233449863	-11.2666238715505	FALSE
mixed community	set1IT067	1,3-Propanediol	MMP_RS03755	MMP_RS03755		MarR family transcriptional regulator	-1.44502752479733	-11.5819499579553	FALSE
mixed community	set1IT069	1,3-Propanediol	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-1.04566628517829	-6.50859387385394	FALSE
mixed community	set1IT068	1,3-Propanediol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-3.11936889902852	-8.06303751626634	FALSE
mixed community	set1IT069	1,3-Propanediol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-3.04569721581807	-11.2820203727325	FALSE
mixed community	set1IT067	1,3-Propanediol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-2.91906081505757	-7.74019118311151	FALSE
mixed community	set1IT065	1,3-Propanediol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-1.52207230711197	-7.05682975415029	FALSE
mixed community	set1IT059	Ethanol	MMP_RS00235	MMP_RS00235		HDIG domain-containing protein	-1.17938042927522	-6.63009042743491	FALSE
mixed community	set1IT060	Ethanol	MMP_RS02225	MMP_RS02225		carbohydrate kinase family protein	-1.56987788034065	-6.47268233083319	FALSE
mixed community	set1IT059	Ethanol	MMP_RS02225	MMP_RS02225		carbohydrate kinase family protein	-1.49593472185212	-6.65983051725374	FALSE
mixed community	set1IT058	Ethanol	MMP_RS02645	MMP_RS02645		ArsR family transcriptional regulator	-3.22363041869047	-13.3373940843501	FALSE
mixed community	set1IT058	Ethanol	MMP_RS02650	MMP_RS02650		flavodoxin family protein	-2.47467889145147	-11.944725687734	FALSE
mixed community	set1IT060	Ethanol	MMP_RS02775	MMP_RS02775		hypothetical protein	-1.18733586351157	-8.44935723428209	FALSE
mixed community	set1IT060	Ethanol	MMP_RS02785	MMP_RS02785		MarR family transcriptional regulator	-1.43991642359291	-7.86695477487514	FALSE
mixed community	set1IT057	Ethanol	MMP_RS02785	MMP_RS02785		MarR family transcriptional regulator	-1.23839055074955	-6.60182174103515	FALSE
mixed community	set1IT058	Ethanol	MMP_RS03410	MMP_RS03410		hypothetical protein	-2.47040676502986	-12.1482753826459	FALSE
mixed community	set1IT059	Ethanol	MMP_RS03410	MMP_RS03410		hypothetical protein	-2.34100576072508	-12.3594004884969	FALSE
mixed community	set1IT060	Ethanol	MMP_RS03410	MMP_RS03410		hypothetical protein	-2.17343856370383	-11.2898233276729	FALSE
mixed community	set1IT055	Ethanol	MMP_RS03410	MMP_RS03410		hypothetical protein	-1.29373767618601	-5.96875593628853	FALSE
mixed community	set1IT058	Ethanol	MMP_RS03685	MMP_RS03685		Mrp/NBP35 family ATP-binding protein	-4.65539121045606	-14.0345111150614	FALSE
mixed community	set1IT060	Ethanol	MMP_RS05110	MMP_RS05110		16S ribosomal RNA methyltransferase A	-1.83317002896629	-10.4432265581216	FALSE
mixed community	set1IT058	Ethanol	MMP_RS05110	MMP_RS05110		16S ribosomal RNA methyltransferase A	-1.70944002749255	-7.66885548324498	FALSE
mixed community	set1IT059	Ethanol	MMP_RS05110	MMP_RS05110		16S ribosomal RNA methyltransferase A	-1.511254467552	-5.12270252441548	FALSE
mixed community	set1IT060	Ethanol	MMP_RS05125	MMP_RS05125		D-aminoacyl-tRNA deacylase	-1.74341319339	-11.5089005696507	FALSE
mixed community	set1IT059	Ethanol	MMP_RS05125	MMP_RS05125		D-aminoacyl-tRNA deacylase	-1.72260252498595	-12.0819400078849	FALSE
mixed community	set1IT058	Ethanol	MMP_RS05125	MMP_RS05125		D-aminoacyl-tRNA deacylase	-1.51489348093599	-9.99204807338659	FALSE
mixed community	set1IT055	Ethanol	MMP_RS05125	MMP_RS05125		D-aminoacyl-tRNA deacylase	-1.07022324690754	-5.36353747220754	FALSE
mixed community	set1IT058	Ethanol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-7.95325616139457	-6.95559384398703	FALSE
mixed community	set1IT059	Ethanol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-2.19912749135252	-7.53715099769694	FALSE
mixed community	set1IT060	Ethanol	MMP_RS08075	MMP_RS08075		DUF749 domain-containing protein	-1.61093892218967	-6.04712412864255	FALSE
mixed community	set1IT058	Ethanol	MMP_RS08575	MMP_RS08575		hypothetical protein	-1.25286976779165	-9.79239263884993	FALSE
mixed community	set1IT058	Ethanol	MMP_RS08945	MMP_RS08945		hypothetical protein	-4.31891073525117	-15.9175959962391	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS00560	MMP_RS00560		cation:proton antiporter	1.3569912048156	5.28539527307692	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS00560	MMP_RS00560		cation:proton antiporter	1.81883206415025	7.90934433485418	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS00565	MMP_RS00565		CBS domain-containing protein	1.4986163463512	5.24112595440888	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS00565	MMP_RS00565		CBS domain-containing protein	1.6823616699142	6.35776006067425	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS00565	MMP_RS00565		CBS domain-containing protein	2.25260042264931	5.33226592153664	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS00975	MMP_RS00975		HD domain-containing protein	1.26894245119519	7.30424938834661	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS02085	MMP_RS02085		inosine/xanthosine triphosphatase	-2.87102923443634	-5.33876222243786	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS02550	MMP_RS02550		helix-turn-helix transcriptional regulator	2.54366109272997	9.00495299450296	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS02550	MMP_RS02550		helix-turn-helix transcriptional regulator	3.67227980942944	13.1650752770865	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS02715	MMP_RS02715		molybdopterin molybdotransferase MoeA	-1.21408761871018	-5.29898634769961	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS03150	MMP_RS03150		phosphoglycerate mutase	1.44783958829954	6.83765393884585	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS03210	MMP_RS03210		tRNA guanosine(15) transglycosylase TgtA	-1.80010756075169	-5.85817501762354	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS03685	MMP_RS03685		Mrp/NBP35 family ATP-binding protein	-1.94869131722448	-5.45736914790207	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS04165	MMP_RS04165		TetR/AcrR family transcriptional regulator	1.6818061544106	5.81685534289046	FALSE
mixed community	set1IT075	Ethanolamine	MMP_RS04165	MMP_RS04165		TetR/AcrR family transcriptional regulator	1.68489122822605	6.81420633560413	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS04165	MMP_RS04165		TetR/AcrR family transcriptional regulator	3.16687062655709	12.4515410077968	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS04210	MMP_RS04210		aldo/keto reductase	-1.81123265465934	-5.77677713782607	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS04210	MMP_RS04210		aldo/keto reductase	-1.41550186780927	-5.83595449365538	FALSE
mixed community	set1IT075	Ethanolamine	MMP_RS04210	MMP_RS04210		aldo/keto reductase	-1.20253318703324	-7.02420167686012	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS04715	MMP_RS04715		CBS domain-containing protein	-1.55687581318375	-5.69967613619402	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS04895	MMP_RS04895		AI-2E family transporter	-2.12247284510659	-10.6600108695676	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS04895	MMP_RS04895		AI-2E family transporter	-1.82620539112303	-7.85076402723148	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS04895	MMP_RS04895		AI-2E family transporter	-1.58361150801624	-8.5635686191115	FALSE
mixed community	set1IT075	Ethanolamine	MMP_RS04895	MMP_RS04895		AI-2E family transporter	-1.0803682777676	-7.73620094296873	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS05145	MMP_RS05145		hypothetical protein	-1.40434552559925	-5.17939966995872	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS05625	MMP_RS05625		glycosyltransferase	-1.02546676748188	-5.10234423453809	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-4.53065869430369	-7.41351651748219	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-4.43661241195165	-5.59373116124427	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-3.74452946933582	-6.06198434995631	FALSE
mixed community	set1IT075	Ethanolamine	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-2.29508742423611	-8.57972610895014	FALSE
mixed community	set1IT073	Ethanolamine	MMP_RS07795	MMP_RS07795		site-2 protease family protein	-1.89750592426285	-7.69884658293095	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS08285	MMP_RS08285		serine/threonine protein kinase	1.24274182707678	5.85558877195344	FALSE
mixed community	set1IT078	Ethanolamine	MMP_RS08575	MMP_RS08575		hypothetical protein	-2.86278987941059	-7.49081093280918	FALSE
mixed community	set1IT076	Ethanolamine	MMP_RS08575	MMP_RS08575		hypothetical protein	-1.97348615734574	-9.71365580568372	FALSE
mixed community	set1IT077	Ethanolamine	MMP_RS08575	MMP_RS08575		hypothetical protein	-1.5948463303827	-6.79005228245314	FALSE
mixed community	set1IT075	Ethanolamine	MMP_RS08850	MMP_RS08850		hypothetical protein	1.52199029643735	12.8746412853446	FALSE
