orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Mucilaginibacter_YX36	set1S579	R2A_low_K2HPO4	4/20/23 Mucilaginibacter_YX36_ML5_set1	3	7514567	275	5113319	5110072	938.5	3631.5	1432.99831744251	0.299196316391547	0.137276314562246	1.18122122339467	1.14518623053636	0.217814072808311	0.038528168475615	-0.0508525507642177	0.984431203322348	stress	R2A_low_K2HPO4	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S579	R2A_low_K2HPO4	30		tube	Aerobic	Liquid	200 rpm														
Mucilaginibacter_YX36	set1S580	R2A_high_K2HPO4	4/20/23 Mucilaginibacter_YX36_ML5_set1	4	7040270	294	4792523	4789395	874.5	3631.5	1343.07206954571	0.281166289503837	0.138168573442281	1.16068231921184	1.14518623053636	0.21271736711746	0.0406295332410312	-0.0838848642433831	0.924217065291602	stress	R2A_high_K2HPO4	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S580	R2A_high_K2HPO4	30		tube	Aerobic	Liquid	200 rpm														
Mucilaginibacter_YX36	set1S581	NaCl stress 100 mM	4/20/23 Mucilaginibacter_YX36_ML5_set1	5	7839788	307	5320481	5316838	997.5	3631.5	1490.98093101514	0.323774192124731	0.133323388405132	1.17664905598493	1.14518623053636	0.2412130506064	0.0216195191822844	-0.0266253183924482	1.22948030701014	stress	NaCl stress 100 mM	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S581	R2A	30		tube	Aerobic	Liquid	200 rpm	Sodium Chloride	mM	100											
Mucilaginibacter_YX36	set1S582	copper (II) chloride stress 1 mM	4/20/23 Mucilaginibacter_YX36_ML5_set1	6	7806956	300	5301537	5297610	974	3631.5	1485.58889512058	0.3974559621679	0.143304882493156	1.17572402262846	1.14518623053636	0.275604641385536	0.0363240314883082	-0.0434144663715366	2.51564553858029	stress	copper (II) chloride dihydrate stress 1 mM	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S582	R2A	30		tube	Aerobic	Liquid	200 rpm	copper (II) chloride dihydrate	mM	1											
Mucilaginibacter_YX36	set1S583	potassium fluoride stress 30 mM	4/20/23 Mucilaginibacter_YX36_ML5_set1	7	6347805	328	4328198	4325387	776.5	3631.5	1212.95204711161	0.380909643144541	0.141457227764806	1.17886224147711	1.14518623053636	0.263598138520405	0.0228899092459762	0.0463793194504408	3.0543012743377	stress	potassium fluoride stress 30 mM	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S583	R2A	30		tube	Aerobic	Liquid	200 rpm	potassium fluoride	mM	30											
Mucilaginibacter_YX36	set1S584	Quercetin stress 0.05 mg/ml	4/20/23 Mucilaginibacter_YX36_ML5_set1	8	7000914	241	4760599	4757687	872.5	3631.5	1334.1803140774	0.379568084224396	0.148896209626876	1.19699135987351	1.14518623053636	0.250943816262681	-0.00754440338846678	-0.0677816462165702	1.48485350911436	stress	Quercetin stress 0.05 mg/ml	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S584	R2A	30		tube	Aerobic	Liquid	200 rpm	Quercetin	mg/ml	0.05											
Mucilaginibacter_YX36	set1S585	Esculin Monohydrate stress 5 mM	4/20/23 Mucilaginibacter_YX36_ML5_set1	9	7272741	286	4938757	4935377	931	3631.5	1384.00925406618	0.284354685567949	0.138323165881843	1.17390580859817	1.14518623053636	0.275169081603121	0.0667412770173217	-0.115022859095232	1.17445914919775	stress	Esculin Monohydrate stress 5 mM	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S585	R2A	30		tube	Aerobic	Liquid	200 rpm	Esculin Monohydrate	mM	5											
Mucilaginibacter_YX36	set1S586	Kanamycin sulfate stress 0.05 mg/ml	4/20/23 Mucilaginibacter_YX36_ML5_set1	10	7400214	239	5025841	5022704	903	3631.5	1408.49803701626	0.372533946279423	0.14423662182973	1.17492622329132	1.14518623053636	0.231731758483509	0.0778360982146417	0.0312037681247648	1.05453918262261	stress	Kanamycin sulfate stress 0.05 mg/ml	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S586	R2A	30		tube	Aerobic	Liquid	200 rpm	Kanamycin sulfate	mg/ml	0.05											
Mucilaginibacter_YX36	set1S590	R2A 30C	4/20/23 Mucilaginibacter_YX36_ML5_set1	13	6585477	211	4478925	4476191	816	3631.5	1255.24144699944	0.326104768554369	0.1436544834829	1.19206746078586	1.14518623053636	0.230958613427622	0.0144050925269791	-0.0666479909202816	0.935474432185055	temperature	R2A 30C	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S590	R2A	30		tube	Aerobic	Liquid	200 rpm														
Mucilaginibacter_YX36	set1S592	D-Glucose (C)	4/20/23 Mucilaginibacter_YX36_ML5_set1	15	6118306	219	4147660	4144937	779	3631.5	1162.34913067863	0.349412788821826	0.139194027926215	1.15755880325621	1.14518623053636	0.19082150576527	0.0447684662664779	-0.0406971599790369	0.95701768211179	carbon source	D-Glucose carbon source	Mucilaginibacter_YX36_ML5a	Marta Torres	4/20/23	Mucilaginibacter_YX36_ML5_set1	S592	RCH2_defined_noCarbon	30		tube	Aerobic	Liquid	200 rpm	D-Glucose	mM	20											
