expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set5S692	D-Cellobiose	ABZR88_RS00280	ABZR88_RS00280		Gfo/Idh/MocA family oxidoreductase	-2.71045359378671	-6.99215766540772	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS00280	ABZR88_RS00280		Gfo/Idh/MocA family oxidoreductase	-2.30302799508588	-7.912336254698	FALSE
carbon source	set5S691	D-Cellobiose	ABZR88_RS00280	ABZR88_RS00280		Gfo/Idh/MocA family oxidoreductase	-1.83306885906246	-7.78027330935197	FALSE
carbon source	set5S679	D-Cellobiose	ABZR88_RS00280	ABZR88_RS00280		Gfo/Idh/MocA family oxidoreductase	-1.81308139707004	-6.08732733026408	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS01490	ABZR88_RS01490		SPW repeat protein	1.08749361988839	5.9136387054267	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS11525	ABZR88_RS11525		hypothetical protein	1.10115197870394	7.30664641098582	FALSE
carbon source	set5S692	D-Cellobiose	ABZR88_RS11525	ABZR88_RS11525		hypothetical protein	1.11312993240959	8.38815630624432	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS13180	ABZR88_RS13180		DUF1080 domain-containing protein	-1.66740242434294	-8.47308056048292	FALSE
carbon source	set5S679	D-Cellobiose	ABZR88_RS13180	ABZR88_RS13180		DUF1080 domain-containing protein	-1.61280385993102	-8.04875968065077	FALSE
carbon source	set5S692	D-Cellobiose	ABZR88_RS13180	ABZR88_RS13180		DUF1080 domain-containing protein	-1.54839170034362	-9.25554724264448	FALSE
carbon source	set5S691	D-Cellobiose	ABZR88_RS13180	ABZR88_RS13180		DUF1080 domain-containing protein	-1.42605699525358	-8.15937479872582	FALSE
carbon source	set5S692	D-Cellobiose	ABZR88_RS13230	ABZR88_RS13230		hypothetical protein	-1.10742838115315	-5.46434872086167	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS13230	ABZR88_RS13230		hypothetical protein	-1.03817001099161	-6.22268892929673	FALSE
carbon source	set5S679	D-Cellobiose	ABZR88_RS14125	ABZR88_RS14125		Glu/Leu/Phe/Val dehydrogenase	-1.3449769695774	-5.29313533082401	FALSE
carbon source	set5S691	D-Cellobiose	ABZR88_RS20945	ABZR88_RS20945		DUF4199 domain-containing protein	2.63997898307459	17.8669707032338	FALSE
carbon source	set5S692	D-Cellobiose	ABZR88_RS20945	ABZR88_RS20945		DUF4199 domain-containing protein	2.68835772397199	17.1517191373132	FALSE
carbon source	set5S680	D-Cellobiose	ABZR88_RS20945	ABZR88_RS20945		DUF4199 domain-containing protein	2.72802655249147	18.2973916325421	FALSE
carbon source	set5S679	D-Cellobiose	ABZR88_RS20945	ABZR88_RS20945		DUF4199 domain-containing protein	2.73574035507243	15.8703124736318	FALSE
carbon source	set1S593	D-Fructose	ABZR88_RS03755	ABZR88_RS03755		carbohydrate kinase	-4.19912564781916	-8.63558193202253	TRUE
carbon source	set1S641	D-Fructose	ABZR88_RS03755	ABZR88_RS03755		carbohydrate kinase	-3.99371179124001	-9.51924661933034	TRUE
carbon source	set1S593	D-Fructose	ABZR88_RS11160	ABZR88_RS11160		sulfatase	1.64936332388687	7.3559695271022	FALSE
carbon source	set1S641	D-Fructose	ABZR88_RS11160	ABZR88_RS11160		sulfatase	1.70235903511615	7.86786242848434	FALSE
carbon source	set1S641	D-Fructose	ABZR88_RS15275	ABZR88_RS15275		L-fucose:H+ symporter permease	-1.63314828622681	-9.25236494891421	TRUE
carbon source	set1S593	D-Fructose	ABZR88_RS15275	ABZR88_RS15275		L-fucose:H+ symporter permease	-1.49421978277171	-9.8206453988828	TRUE
carbon source	set1S596	D-Xylose	ABZR88_RS16150	ABZR88_RS16150		xylose isomerase	-5.43730717364738	-13.8321355427728	TRUE
carbon source	set1S644	D-Xylose	ABZR88_RS16150	ABZR88_RS16150		xylose isomerase	-5.08348538880306	-11.225411296455	TRUE
carbon source	set4S762	L-Arabinose	ABZR88_RS09650	ABZR88_RS09650		cation-translocating P-type ATPase	-1.21829169552451	-9.43845987075121	FALSE
carbon source	set5S688	L-Arabinose	ABZR88_RS09650	ABZR88_RS09650		cation-translocating P-type ATPase	-1.20079455365845	-7.91617713135503	FALSE
carbon source	set4S714	L-Arabinose	ABZR88_RS12505	ABZR88_RS12505		alpha-amylase family glycosyl hydrolase	-1.3725303604776	-8.1906951613691	FALSE
carbon source	set5S676	L-Arabinose	ABZR88_RS13995	ABZR88_RS13995		hypothetical protein	1.43387501755849	5.01473047323111	FALSE
carbon source	set5S676	L-Arabinose	ABZR88_RS21080	ABZR88_RS21080		transcription-repair coupling factor	-1.48169691819163	-8.22886441034671	FALSE
carbon source	set4S714	L-Arabinose	ABZR88_RS21080	ABZR88_RS21080		transcription-repair coupling factor	-1.10199429604501	-6.85554280622515	FALSE
carbon source	set5S688	L-Arabinose	ABZR88_RS21080	ABZR88_RS21080		transcription-repair coupling factor	-1.09917570679312	-6.48562232580524	FALSE
carbon source	set1S642	L-Rhamnose monohydrate	ABZR88_RS03470	ABZR88_RS03470		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	-1.85025715604333	-5.18349780023123	FALSE
carbon source	set1S642	L-Rhamnose monohydrate	ABZR88_RS04640	ABZR88_RS04640		aldose 1-epimerase family protein	4.19725010931475	21.8378205988827	FALSE
carbon source	set1S594	L-Rhamnose monohydrate	ABZR88_RS04640	ABZR88_RS04640		aldose 1-epimerase family protein	4.2061804179466	28.9174060118586	FALSE
carbon source	set1S642	L-Rhamnose monohydrate	ABZR88_RS12555	ABZR88_RS12555		response regulator transcription factor	-1.19007767236855	-5.86812715991273	FALSE
carbon source	set1S594	L-Rhamnose monohydrate	ABZR88_RS12555	ABZR88_RS12555		response regulator transcription factor	-1.08458336631274	-6.71527059247909	FALSE
carbon source	set1S642	L-Rhamnose monohydrate	ABZR88_RS15180	ABZR88_RS15180		(Fe-S)-binding protein	-1.43705535374708	-5.88413920241328	TRUE
