expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set2S606	D,L-Malic Acid	Rv3667	Rv3667		Acetyl-coenzyme A synthetase Acs (acetate--CoA ligase) (acetyl-CoA synthetase) (acetyl-CoA synthase) (acyl-activating enzyme) (acetate thiokinase) (acetyl-activating enzyme) (acetate--coenzyme A ligase) (acetyl-coenzyme A synthase)	-1.43917073403919	-8.35250651307329	FALSE
carbon source	set1S226	D-Glucose	Rv3331	Rv3331		Probable sugar-transport integral membrane protein SugI	-3.46674358495582	-9.71540643188418	FALSE
carbon source	set1S225	D-Glucose	Rv3331	Rv3331		Probable sugar-transport integral membrane protein SugI	-3.09729700149586	-7.56785701626796	FALSE
carbon source	set2S607	D-Trehalose dihydrate	Rv1236	Rv1236		Probable sugar-transport integral membrane protein ABC transporter SugA	-1.80019017132024	-9.0395211051533	TRUE
carbon source	set2S608	D-Trehalose dihydrate	Rv1236	Rv1236		Probable sugar-transport integral membrane protein ABC transporter SugA	-1.79621176862084	-9.42804936790645	TRUE
carbon source	set2S608	D-Trehalose dihydrate	Rv1238	Rv1238		Probable sugar-transport ATP-binding protein ABC transporter SugC	-1.62687524194649	-6.11427133796348	FALSE
carbon source	set2S607	D-Trehalose dihydrate	Rv3777	Rv3777		Probable oxidoreductase	1.21532786907121	6.41202348242223	FALSE
carbon source	set1S220	Glycerol	Rv0243	Rv0243		Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase)	-1.57748141079572	-8.60106128835142	FALSE
carbon source	set1S230	L-Asparagine	Rv0037c	Rv0037c		Probable conserved integral membrane protein	-2.07960369214612	-14.8921818747277	FALSE
carbon source	set1S229	L-Asparagine	Rv0037c	Rv0037c		Probable conserved integral membrane protein	-1.50859100018328	-9.10841279660011	FALSE
carbon source	set1S229	L-Asparagine	Rv0530A	Rv0530A		Conserved protein	1.37929324282449	8.42990063540405	FALSE
carbon source	set1S230	L-Asparagine	Rv0530A	Rv0530A		Conserved protein	1.51986498542011	9.73956521027707	FALSE
carbon source	set1S230	L-Asparagine	Rv1180	Rv1180		Probable polyketide beta-ketoacyl synthase Pks3	1.3962570573768	6.30158020345307	FALSE
carbon source	set1S230	L-Asparagine	Rv1181	Rv1181		Probable polyketide beta-ketoacyl synthase Pks4	1.08165340523008	7.19271803901277	FALSE
carbon source	set1S230	L-Asparagine	Rv2127	Rv2127		L-asparagine permease AnsP1	-1.78548281307661	-10.3702312282557	FALSE
carbon source	set1S229	L-Asparagine	Rv2127	Rv2127		L-asparagine permease AnsP1	-1.72812064455507	-11.1474463377242	FALSE
carbon source	set1S230	L-Asparagine	Rv2462c	Rv2462c		Probable trigger factor (TF) protein Tig	-1.63337939141374	-5.42369047380647	FALSE
carbon source	set1S230	L-Asparagine	Rv2618	Rv2618		Conserved hypothetical protein	-1.38620128078578	-5.09422530133477	FALSE
carbon source	set1S230	L-Asparagine	Rv3145	Rv3145		Probable NADH dehydrogenase I (chain A) NuoA (NADH-ubiquinone oxidoreductase chain A)	-1.72558344548486	-9.93830392114769	FALSE
carbon source	set1S230	L-Asparagine	Rv3146	Rv3146		Probable NADH dehydrogenase I (chain B) NuoB (NADH-ubiquinone oxidoreductase chain B)	-1.42744199781304	-8.80172448314291	FALSE
carbon source	set1S229	L-Asparagine	Rv3146	Rv3146		Probable NADH dehydrogenase I (chain B) NuoB (NADH-ubiquinone oxidoreductase chain B)	-1.31886751459272	-7.02126510380784	FALSE
carbon source	set1S229	L-Asparagine	Rv3149	Rv3149		Probable NADH dehydrogenase I (chain E) NuoE (NADH-ubiquinone oxidoreductase chain E)	-1.46901486861189	-7.57532032850303	FALSE
