expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
anaerobic	set2H42	Sodium D,L-Lactate	Dsui_0128	Dsui_0128		D-alanyl-D-alanine carboxypeptidase	1.57284352108593	12.1239582059113	FALSE
anaerobic	set2H36	Sodium D,L-Lactate	Dsui_0635	Dsui_0635		periplasmic component of amino acid ABC-type transporter/signal transduction system	1.43037188933105	9.82665547550155	FALSE
anaerobic	set2H34	Sodium D,L-Lactate	Dsui_0635	Dsui_0635		periplasmic component of amino acid ABC-type transporter/signal transduction system	1.65030304810501	11.9644446718096	FALSE
anaerobic	set2H35	Sodium D,L-Lactate	Dsui_0635	Dsui_0635		periplasmic component of amino acid ABC-type transporter/signal transduction system	1.6543351157567	10.6787512311316	FALSE
anaerobic	set2H33	Sodium D,L-Lactate	Dsui_0635	Dsui_0635		periplasmic component of amino acid ABC-type transporter/signal transduction system	1.73736448164472	11.461499783666	FALSE
anaerobic	set2H43	Sodium D,L-Lactate	Dsui_0746	Dsui_0746		glutathione synthetase	1.77093775652164	6.63022063471974	FALSE
anaerobic	set2H44	Sodium D,L-Lactate	Dsui_0746	Dsui_0746		glutathione synthetase	1.83913513590192	7.76026032566958	FALSE
anaerobic	set2H42	Sodium D,L-Lactate	Dsui_0746	Dsui_0746		glutathione synthetase	1.87096787231969	7.43743582247511	FALSE
anaerobic	set2H41	Sodium D,L-Lactate	Dsui_0746	Dsui_0746		glutathione synthetase	1.95938725701744	7.28382363472069	FALSE
anaerobic	set2H42	Sodium D,L-Lactate	Dsui_1263	Dsui_1263		TRAP-type mannitol/chloroaromatic compound transport system, small permease component	1.36631855064102	6.5981079684735	FALSE
anaerobic	set2H41	Sodium D,L-Lactate	Dsui_1690	Dsui_1690		cAMP-binding protein	-1.45390509517225	-5.41190741475962	FALSE
anaerobic	set2H41	Sodium D,L-Lactate	Dsui_1745	Dsui_1745		flagellar biosynthetic protein FliQ	-1.19325486011769	-6.66630993967437	FALSE
anaerobic	set2H43	Sodium D,L-Lactate	Dsui_1755	Dsui_1755		flagellar motor switch protein FliG	-1.33667267550138	-5.61776550104703	FALSE
anaerobic	set2H42	Sodium D,L-Lactate	Dsui_1755	Dsui_1755		flagellar motor switch protein FliG	-1.28156055288858	-5.44944778308662	FALSE
