expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set4IT018	Agro_defined_trehalose	CA265_RS13285	CA265_RS13285		magnesium transporter	-5.06505780518203	-11.0633375434806	FALSE
carbon source	set4IT011	Agro_defined_trehalose	CA265_RS13285	CA265_RS13285		magnesium transporter	-4.21041828997822	-7.63777289407543	FALSE
carbon source	set4IT011	Agro_defined_trehalose	CA265_RS13685	CA265_RS13685		hypothetical protein	1.40253038192991	5.47481188141418	FALSE
carbon source	set4IT018	Agro_defined_trehalose	CA265_RS13685	CA265_RS13685		hypothetical protein	1.57957207585085	6.24134995104915	FALSE
carbon source	set4IT018	Agro_defined_trehalose	CA265_RS16250	CA265_RS16250		secretory protein	1.37891237026362	5.27988684854707	FALSE
carbon source	set4IT011	Agro_defined_trehalose	CA265_RS16250	CA265_RS16250		secretory protein	1.49584242008806	6.18502970027727	FALSE
carbon source	set4IT011	Agro_defined_trehalose	CA265_RS20480	CA265_RS20480		restriction endonuclease subunit S	1.39671632747993	7.63130739878735	FALSE
carbon source	set4IT018	Agro_defined_trehalose	CA265_RS22975	CA265_RS22975		hypothetical protein	-3.63835913297142	-5.39338757319909	FALSE
carbon source	set2IT056	Beta-Lactose	CA265_RS06070	CA265_RS06070		hypothetical protein	1.00349462406898	5.33681207638497	FALSE
carbon source	set2IT062	D-Cellobiose	CA265_RS21460	CA265_RS21460		5-formyltetrahydrofolate cyclo-ligase	-1.56609277285954	-5.80296300099115	FALSE
carbon source	set2IT061	D-Galactose	CA265_RS06120	CA265_RS06120		galactose-1-phosphate uridylyltransferase	-5.47650838975869	-15.3846853536163	TRUE
carbon source	set2IT048	D-Galactose	CA265_RS06120	CA265_RS06120		galactose-1-phosphate uridylyltransferase	-5.29727989362878	-14.4433181954786	TRUE
carbon source	set2IT061	D-Galactose	CA265_RS06125	CA265_RS06125		galactokinase	-5.23932602379456	-14.9490551730088	TRUE
carbon source	set2IT048	D-Galactose	CA265_RS06125	CA265_RS06125		galactokinase	-5.13366797889154	-15.3066010532135	TRUE
carbon source	set2IT061	D-Galactose	CA265_RS06130	CA265_RS06130		sodium transporter	-1.25856980941783	-9.40853988454116	FALSE
carbon source	set2IT048	D-Galactose	CA265_RS06130	CA265_RS06130		sodium transporter	-1.12276999819123	-8.9233458625071	FALSE
carbon source	set2IT048	D-Galactose	CA265_RS07845	CA265_RS07845		signal transduction protein	-2.19995105993439	-7.7074867600549	FALSE
carbon source	set2IT061	D-Galactose	CA265_RS07845	CA265_RS07845		signal transduction protein	-1.9497376469293	-7.35914720612963	FALSE
